"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nStreams"	"eccentricity"	"polarAngle"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"cueType"	"cuePos0"	"responsePos"	"fixationReject"	"ID"
"main"	20	"CLEndN6 "	" oneCued "	0	" left "	2	6	0	"T "	"H "	0	0	0	-6	"TUGBKEHALJWXRNCSQOYFPIDVMZ"	"AUIVRHDJNKPXBYTWMCELGSOFQZ"	"-99"	"-99"	"-99"	"-99"	0	"endogenous"	6	0	TRUE	"CL"
"main"	21	"CLEndN6 "	" oneCued "	0	" left "	2	6	120	"G "	"J "	0	1	0	1	"FNEZCKQSPGDBAJIYWMUVRTXHLO"	"KCZVTMJGPUEQYILHNARBXDWOFS"	"-99"	"-99"	"-99"	"-99"	0	"endogenous"	6	7	FALSE	"CL"
"main"	22	"CLEndN6 "	" oneCued "	0	" left "	6	6	120	"P "	"Q "	0	5	0	3	"BGLYIXQEKNDPOSVMAJRZFUWTHC"	"FYNODJQEKWXSTBUVIZGLCRMAPH"	"ABOYZGVXLCWITHQFMPDNJKRSUE"	"NKGAFBQZLIRCUJWETPYXDHOVMS"	"DHWAUJSBTLECKPOQFYMINRZGVX"	"JTESYDAQUIPRZXMOKGBVFHWLNC"	4	"endogenous"	7	10	FALSE	"CL"
"main"	23	"CLEndN6 "	" oneCued "	0	" left "	6	6	0	"L "	"D "	0	3	0	4	"TVYIRHPAXBEZDSUQJMKLGFCNOW"	"ASXCZIMQFETPOKYDRUJHLBNVGW"	"ZWXDVBCOIFYGLASEPJTQKRUNHM"	"WHYXUEKVGDNQILJBRTOZPSMFCA"	"NYOPEURQLKDFJTGCXBMISZHWVA"	"APDNVQSYOCLIGKHZUFRJTXMBWE"	2	"endogenous"	9	13	FALSE	"CL"
"main"	24	"CLEndN6 "	" oneCued "	0	" left "	2	6	60	"G "	"G "	1	1	0	0	"KFYRENMXPISGUVCLZADOBHQJWT"	"WRSYLXTVCGHEPQKFBODJMANUZI"	"-99"	"-99"	"-99"	"-99"	0	"endogenous"	9	9	FALSE	"CL"
"main"	25	"CLEndN6 "	" oneCued "	0	" left "	2	6	60	"W "	"R "	0	1	0	2	"JBIDVLEOQAURSYHWXTFNZCMPGK"	"FXUOTLNGRPWZSHIBMYACJVEKQD"	"-99"	"-99"	"-99"	"-99"	0	"endogenous"	8	10	FALSE	"CL"
"main"	26	"CLEndN6 "	" oneCued "	0	" left "	2	6	60	"P "	"E "	0	0	0	1	"NSQWRXDVGJEPHZTLBOIUKCAYMF"	"GBJSMTVXHERNULWKADYCFPIZOQ"	"-99"	"-99"	"-99"	"-99"	0	"endogenous"	10	11	FALSE	"CL"
"main"	27	"CLEndN6 "	" oneCued "	0	" left "	6	6	60	"X "	"C "	0	1	0	1	"URFXPKOLJHBCEZQWNVIGTADYSM"	"ZDSHQYCXNFKJMRTIALWGVOBEUP"	"FEHXWCLVGMDYTOABZQUKPJNISR"	"JYGATXVCZHEQURBNLWPIMFOSKD"	"LCKJHWEPTZIMFSNAVQBDXYUOGR"	"IYXRJAWULFEKPDSTHOQCGMNVBZ"	2	"endogenous"	6	7	FALSE	"CL"
"main"	28	"CLEndN6 "	" oneCued "	0	" left "	2	6	60	"L "	"L "	1	1	0	0	"LSKWGMZEHYDNAXRJBPFICQOTUV"	"GZFAPRTLDKYOXBWUSICEVQHMJN"	"-99"	"-99"	"-99"	"-99"	0	"endogenous"	7	7	FALSE	"CL"
"main"	29	"CLEndN6 "	" oneCued "	0	" left "	2	6	0	"S "	"N "	0	0	0	3	"WOVALGPZNJDSCKRYBHUFEMXTIQ"	"DOIHALVPFNEJWTBQGXUYZSMKCR"	"-99"	"-99"	"-99"	"-99"	0	"endogenous"	8	11	FALSE	"CL"
"main"	30	"CLEndN6 "	" oneCued "	0	" left "	2	6	60	"I "	"K "	0	0	0	-8	"ITLFEJNYKUZXGQBVHDCOPMARWS"	"WQYNSCAUEFTVOIBGMXZLKRJHPD"	"-99"	"-99"	"-99"	"-99"	0	"endogenous"	8	0	FALSE	"CL"
"main"	31	"CLEndN6 "	" oneCued "	0	" left "	2	6	120	"A "	"O "	0	1	0	2	"MNIWJXUGCZETLSPBVHQODKAFRY"	"KYCIVXPBNJOFARQLGDHSUZTEMW"	"-99"	"-99"	"-99"	"-99"	0	"endogenous"	10	12	FALSE	"CL"
"main"	32	"CLEndN6 "	" oneCued "	0	" left "	6	6	0	"T "	"W "	0	0	0	12	"LRUXBEPDCGWKINYVFJQZSOTHAM"	"SLBUPKXGQMTHCZFDOINEVYAJRW"	"LFJMCAOYRBUIGHNSXTWKDEVZQP"	"XPTDNOVUSBYAQFILHGWZMJRKEC"	"IUJTXHKLPESMFCWORVBYZGQAND"	"GMLDYWUSZJKAPTNQBRIXEHVFOC"	3	"endogenous"	10	22	FALSE	"CL"
"main"	33	"CLEndN6 "	" oneCued "	0	" left "	6	6	0	"S "	"G "	0	0	0	1	"AWFUPDVIEGSYMLCNHBXROQTZJK"	"TZWBFMREYSCIQVHGAPXNOKUDJL"	"PZJLSBXOVNACEIRTFUQMWKGYDH"	"CKDBTRAIQHMSEOGPYXLWFUVJNZ"	"WURJMXPEKVOGSYFDZHATLBCQIN"	"FBCIHXEYOKWNASMRGUDVZTQJPL"	3	"endogenous"	9	10	FALSE	"CL"
"main"	34	"CLEndN6 "	" oneCued "	0	" left "	6	6	120	"J "	"S "	0	5	0	5	"MXAFCDTEJYBUQRLHONVGIWPSKZ"	"XFDNZTYRSLBWPUOVEIAQKHMJCG"	"TDYZCQFENPKRXGWHABSMLJIUVO"	"CGUPMWTIEZKQSOJLBNXHVFRAYD"	"GVLEBNFYTAOKZPSJXHICQWURDM"	"ERCKYUOMQSZPXIJVTNWLBAGDFH"	2	"endogenous"	9	14	FALSE	"CL"
"main"	35	"CLEndN6 "	" oneCued "	0	" left "	6	6	60	"X "	"P "	0	4	0	1	"CSVZNDEBHRKYGFJIQTAXLMUWPO"	"TSGQXICARVHMZPLFKOYNWBDUEJ"	"NBMHYOZLRAKGPDXUSCWTFIJVEQ"	"FYZCXIBJLMRVDTOEHSQGUAPNKW"	"SMGJQANCEPXZKYVTOHIDLRWFBU"	"YNPAZJHWMITCKEBFVGQDXSORUL"	0	"endogenous"	9	10	FALSE	"CL"
"main"	36	"CLEndN6 "	" oneCued "	0	" left "	2	6	60	"L "	"Z "	0	0	0	6	"CTBOXDZWMNJQLIFAPYGEHSRUVK"	"DBQVGYFTELCHIRPMXOZKWSUNAJ"	"-99"	"-99"	"-99"	"-99"	0	"endogenous"	6	12	FALSE	"CL"
"main"	37	"CLEndN6 "	" oneCued "	0	" left "	6	6	60	"P "	"Z "	0	1	0	15	"EMVRPHQOZJBYWALUTSDNKXGCFI"	"JXVYSHANZQTRKDEIUMCOBGWPLF"	"TDAMFEUQYWJOPNBKHRXVSLZGCI"	"XHCYBMORIDNGAKTSQFJVLUPZWE"	"ZJXUFGBTEKLWOCDNISAPRMHYQV"	"VNYFCPWGXDOZITMKHQEBLAURSJ"	2	"endogenous"	8	23	FALSE	"CL"
"main"	38	"CLEndN6 "	" oneCued "	0	" left "	6	6	0	"J "	"X "	0	3	0	5	"AVHOKCFGTPERNXDQIMSUBYLJZW"	"XUTDYFNHQOIGVPBKCZRJMWLAES"	"TQVHDGYFMECWPASUJLBIXNZKOR"	"PTGBHYRXKEONJCVDIZSMALFUQW"	"DYUZEFQXHJWOIBMLVSARNKCGTP"	"BMJWHVIDPOUACRFXZKNTSLEQGY"	2	"endogenous"	7	12	FALSE	"CL"
"main"	39	"CLEndN6 "	" oneCued "	0	" left "	2	6	120	"H "	"J "	0	0	0	3	"MEAUXZVBYJNGHCSPITWLFOQDRK"	"RYCFHQUEDSMPGLOWKZXATINJBV"	"-99"	"-99"	"-99"	"-99"	1	"endogenous"	9	12	FALSE	"CL"
"main"	40	"CLEndN6 "	" oneCued "	0	" left "	6	6	0	"W "	"X "	0	3	0	5	"PIDKQJCGEMXANZOWTRLYHBVFUS"	"EFMHUCDRJPXVAZWTGNYBOILSKQ"	"KHGWNXUTLVBQYDJZRFIAECSPOM"	"IYOERNXFGMVWPSUTZLCHQJBKDA"	"MEYCPIDVHXUZTKSJFQWLGOARBN"	"MIWRKSLBJYQHUVGFTCDOZXAEPN"	0	"endogenous"	6	11	FALSE	"CL"
"main"	41	"CLEndN6 "	" oneCued "	0	" left "	2	6	60	"G "	"K "	0	1	0	3	"JTWHGPVXSDKALCINFYEMBROZQU"	"MOLBEDYPIFKVQGSTXZNJARCUWH"	"-99"	"-99"	"-99"	"-99"	0	"endogenous"	10	13	FALSE	"CL"
"main"	42	"CLEndN6 "	" oneCued "	0	" left "	6	6	0	"E "	"G "	0	0	0	2	"ILHJMZGWEYFAUPNCXSQTRODBVK"	"ZOGJRWKAXPLNEVYHBDCSIFUTMQ"	"MEUYSQLNOKVZBJPWAIHFCTRXDG"	"JSVLNXCUYFOGAHQZTIKWRDEMPB"	"XUWLJQAINMVTECYHGRFDZOSKBP"	"TBMXEJIQKUHRFOZSNPWCLDGVAY"	1	"endogenous"	6	8	TRUE	"CL"
"main"	43	"CLEndN6 "	" oneCued "	0	" left "	2	6	0	"A "	"X "	0	0	0	3	"JDOBKTICHQXUPAEVYGWNLSZRMF"	"GJDSNLFPWXCQAVYKMITEHBOZRU"	"-99"	"-99"	"-99"	"-99"	0	"endogenous"	10	13	FALSE	"CL"
"main"	44	"CLEndN6 "	" oneCued "	0	" left "	6	6	60	"W "	"W "	1	1	0	0	"HXKVMOJQRSZNWEGTYLPBUFADIC"	"LVCZOFKXATWUMRYNHBIDQESPJG"	"RCUPQXDTLZKOGNMAFHWEYIJSVB"	"NJLHCTAYBGKWODXZQFUIPESMVR"	"PVCOAYUEBFLQNJGMZDSXTRHKIW"	"SAQPMOUBIEFCWXZVGHLTRNYDJK"	0	"endogenous"	10	10	FALSE	"CL"
"main"	45	"CLEndN6 "	" oneCued "	0	" left "	6	6	0	"S "	"L "	0	0	0	16	"ZMNARGILCFTJKEUWVYOPBHDSXQ"	"RZGNJCVYOWSFMTXLQBDUPAHIEK"	"KXAQBFUYORGTICWJNLVPMZSDHE"	"RPJMTKVUCAFNIOLYZSWHQBEDGX"	"HKWSUQAYJBRPGDVZXFOCMNIELT"	"FKVWOQNTDBAUXCIRZPGHMSJLYE"	6	"endogenous"	7	23	FALSE	"CL"
"main"	46	"CLEndN6 "	" oneCued "	0	" left "	6	6	0	"B "	"E "	0	0	0	-5	"YSHBACFXEKDOJNIQZVRUGPLTMW"	"FJYEZWLQMBIHKTVCXPOGSDANRU"	"DHSJRWKYPQOVGBCFMLNTZAXUEI"	"WELCJHBPTRYDUGNFAXSIQKZVMO"	"ACDLXNEPKFIUWHQJZYBTOSGMVR"	"MXVQKYWLRJEHONZDFPIBSACUGT"	1	"endogenous"	8	3	FALSE	"CL"
