"xDomain","p","participant","condition"
-1,0.068,"AJ7","twoStreams"
-1,0.014,"AN14","twoStreams"
-1,0,"BB6","twoStreams"
-1,0.019,"IK4","twoStreams"
-1,0,"JA8","twoStreams"
-1,0.2182,"LH9","twoStreams"
-1,0,"LS2","twoStreams"
-1,0.0236,"LT5","twoStreams"
-1,0.3968,"RN12","twoStreams"
-1,0.005,"YZ15","twoStreams"
-1,0.845,"AJ7","eightStreams"
-1,0.9662,"AN14","eightStreams"
-1,0.4384,"BB6","eightStreams"
-1,0.9658,"IK4","eightStreams"
-1,0.4936,"JA8","eightStreams"
-1,0.9178,"LH9","eightStreams"
-1,0.9396,"LS2","eightStreams"
-1,0.9926,"LT5","eightStreams"
-1,0.5886,"RN12","eightStreams"
-1,0.755,"YZ15","eightStreams"
