Participant,Group,BF
AJ7,twoStreams,8.565688e+05
AN14,twoStreams,1.033721e+04
BB6,twoStreams,1.629370e+10
IK4,twoStreams,2.947341e+05
JA8,twoStreams,1.075587e+16
LH9,twoStreams,1.475233e+02
LS2,twoStreams,8.395087e+08
LT5,twoStreams,2.142525e+06
RN12,twoStreams,1.403833e+00
YZ15,twoStreams,2.649419e+03
AJ7,eightStreams,4.370490e+00
AN14,eightStreams,1.109378e+00
BB6,eightStreams,2.830876e+00
IK4,eightStreams,1.021512e+00
JA8,eightStreams,6.427179e+00
LH9,eightStreams,3.446135e+00
LS2,eightStreams,1.504821e+00
LT5,eightStreams,1.152281e+00
RN12,eightStreams,1.410284e+00
YZ15,eightStreams,1.302969e+00
