Group,Estimate
twoStreams,0.4352
twoStreams,0.3363
twoStreams,0.0442
twoStreams,0.4211
twoStreams,0.2547
twoStreams,0.0645
twoStreams,0.1386
twoStreams,0.1644
twoStreams,0.2857
twoStreams,0.2000
twoStreams,0.3670
twoStreams,0.2381
twoStreams,0.1081
eightStreams,0.5243
eightStreams,0.3551
eightStreams,0.0357
eightStreams,0.2442
eightStreams,0.2193
eightStreams,0.0818
eightStreams,0.0642
eightStreams,0.1111
eightStreams,0.1250
eightStreams,0.1183
eightStreams,0.2719
eightStreams,0.1696
eightStreams,0.0381
