experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	0	18LS4	6	1	A	0	8	O	False	0	30.0	0	0	0	3	XTNYFVQBOIHASMEZDULGKJPR	MKFHSPQOXJZNREYLTBVDAIGU	PFNOBGXKUYDJZHQMRETSLIVA	GDVHNXASUKTLMZIPQFYBORJE	OLURIVXPENHKTBJGYQSZDFMA	XGMILKPYQVTDOHUFNESJBAZR	999	999	999	999	999	999	999	999	999	999	999	999	0
main	1	18LS4	2	0	H	0	9	T	False	120	120.0	0	0	0	2	KDBGFRNPXTOHIZYJVMEALSQU	JLZRXMYIDPSGQNHOFEUVTBAK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	2	18LS4	2	1	X	0	6	N	False	60	90.0	0	0	0	1	VBDORTNXIGEZQLPSJKUMYHAF	DLNXVSHOUEYQMRKAJFIZGTBP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	3	18LS4	6	1	D	0	8	M	False	60	270.0	0	1	4	2	NOAEMXZVJSGRLUYBKTHFPDIQ	QADFSZNYBIGUOXREPHKJTVLM	PFIROYKZDLQENASTVMHGBJXU	YZSNQMGPOHVTEUAIBLJFKDRX	HKVSEURAMFDJZLTBGYNPXQOI	ABEMDFPRIQNVJGLSXHYUTZKO	999	999	999	999	999	999	999	999	999	999	999	999	0
main	4	18LS4	2	2	E	0	9	S	False	120	300.0	0	1	1	12	YTPJBZUENOAVRQHLDFXGMISK	RTKFHAYQPSLODXGJBUNMIEVZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	5	18LS4	2	0	P	0	6	N	False	120	300.0	0	1	1	1	JGURBKMZTODNAFQSPVHYEIXL	QHIOTYNPFMSRGZELKXDVBUAJ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	6	18LS4	18	2	A	0	10	T	False	0	0.0	0	0	12	1	RKZDAVXIQLMJOPEGNYTHUSBF	JLAGZQDYUNPMSHVIRBXKTOEF	OIXVJBFKZELDPAQURHTYNGMS	PFLEUVJZGYNIKMTODRBHQAXS	ADQPFZJGVXKELMHBTORSNUYI	ZADBPQKYJNIHMSORXUGVLETF	ZSOFLMKIDYHVXTRJBQPANUGE	YOGBMFISPNRULTEJQXKVAHZD	BGJDXKLUVTNEZQHOIPSAYFRM	JIZSUKTMNYQOXHDBRPGLFVAE	PSZEADNVLFRUXGTOQBYIMHKJ	NFGSAZQUYPHVTOMBDJLIRXEK	DZIMVULEKOTAYPRSNFHGBJXQ	IDZBEOGFHSJQRKTLPVNUAMXY	XYQGUAILRDFNOETJBSHMPZKV	VHSQYGRPBXOFUDTKJZLNEAIM	FMOEYBIKTHQJRXUADVSGZLNP	ZHPQFIDMUONKVEBAJYLRXGTS	0
main	7	18LS4	6	1	S	0	9	D	False	0	30.0	0	0	0	2	YVIFMRTUEDBSOZLJGXPQHKNA	NDJTVIAPKMGEYSHFZROQUXBL	BVGNLIQFXPDJOESHZKYRUMAT	DEOZATLSMYPKRFBXJIQVHNGU	FPKXOMSEZVGHYBTJURQLADIN	GYQDONMPITKZVLBHSURAXFEJ	999	999	999	999	999	999	999	999	999	999	999	999	0
main	8	18LS4	18	2	S	0	8	T	False	60	240.0	0	1	16	1	KMISYLJNQUZEGBRDTPVAXFHO	INKLVXMJQDOPHABYSETZGFRU	AEJPHBRVDQKUTGLFOMXNYISZ	KEPNOTRFSUGVDLXYIHQMJZBA	RNEBYXUODGIKJPFTAVMQHSZL	VORPKFASNIUDHJMLBGZTYQXE	KGEXPVBTIQOLYUDNSRJZHAFM	PVLBJKMYDNHETXISZAFQOGRU	HVMZXFAEDJQUPRSBYKNLGTOI	IYLAKFRPVTOBNJZQUHDGMSXE	DGLJYVXFSAOHQRNPIMZKEUTB	FENPQZYGRLSOKBVADUMHIXJT	KOTNASQJZHFRILYPXUVDEBMG	DYXULIMQOEJRZBHNPSFGAVKT	DYPUJTXBNOGFMAHZVQISLRKE	AYBTVGRQSXJNHEPUIDKOLFZM	YORXLJKGTSVHFAPDQNBEZMUI	SUEOHMARPGBLXVQTJDINKFZY	0
main	9	18LS4	18	2	R	0	7	I	False	0	180.0	0	1	15	2	YQFOTMSZAEDXKVRBIJLUGHPN	FPDXIOETGRHSMBYNAKUJQZVL	ALRHKMNDPJTEOSYIQBXZVGFU	JZQTEPURAFIODYBMNVKSGXLH	LTKFRISAZVMNUHYQBPDJEGOX	EUBLXFJVKRSYPGHINAQOTZDM	LQFNGJVHAEOUMDRBZKIYPSTX	MEHOYXBLDNQVURZKIAJGPFST	LRJUXVEZBDAOYHFIPMGKNSQT	NBAVRDTSLYKIZJGQEHOMXUPF	ZLXGSQJKNUPHIDFOEBVYRMAT	BGAVJZTRHXDSPQFYOKLMUIEN	OREFILMTHXZGNPDJKVABSQUY	ZVFIDNJESTAHLUKXBQPRYOGM	QBUIKSXHRTVYLJZENFMOAGDP	ATSLUHXIZRYJQKOBEVPFNMGD	FARXYGNSDEIHVJKMTLQOUBZP	MVAOUYHXENLZBSFGPDKRJQTI	0
main	10	18LS4	2	0	R	0	8	R	True	0	0.0	0	0	0	0	ZQVUGOJNRHSDYMIFEATBPKXL	NOXQZVEDJUISTFGPHKYMLARB	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	11	18LS4	18	1	T	0	9	G	False	0	30.0	0	0	6	1	DHMPTLXVYEJSBUOGFAKQZINR	JVHFOSZMNIPAEQTLKDRYUGBX	ZPDVTMLINJGKUYSXBEHRQFOA	NKXSOYFIEQJVULMTARDPGHZB	PGBRJMQNLTOVFYIUSZEKXADH	USORFHEIAGLNMXDKQVTPBYZJ	NRHBEMQYVGTOSDZPUFKIXJAL	RUZJDLNOBAYPXKIMQVESHGFT	YLDMUHPABIZTSXFQERKGOVJN	MEYXPNJUDZGBQKRIATFSLHOV	KLRSZOUJEPAHTQIVXYBMDFNG	OPGFKEZJIDRSXBYULQTVAMNH	XTHYGQROVLBENASDKFPIMUZJ	BRZXHADVPJQNKILUGYOETSMF	QPNEAUVMLGZYSIHKFRXBOTJD	EAKOTPNRYQVBJXGUDSMFIHZL	HRQIYZBLTPFVSOUJXDMGEKAN	LPNSIOJTFQERMBZVKDYGXAUH	0
main	12	18LS4	2	1	A	0	7	O	False	120	330.0	0	1	1	-5	LYQIJERFTHDOMNSABPVUKGZX	PEAJUGROINFQVHYXTMLBZKSD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	13	18LS4	2	1	R	0	9	I	False	0	210.0	0	1	1	-9	IZYRJSHBMXDNFQKOGLPVATEU	RVXQJSBLFIYPMGNOKDZUHATE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
