experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	0	18TM5	2	2	M	0	7	N	False	0	0.0	0	0	0	11	ZTDIUAFNYLJQRSGBHXMOPEVK	VBFADXJRLHESOKGUYMIQTZNP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	1	18TM5	2	1	S	0	6	Z	False	120	150.0	0	0	0	2	JYTEOHZFSVRBUAQDPLGMKIXN	ITVSZEJNPFAYOBMHGKRUXDLQ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	2	18TM5	6	1	E	0	8	N	False	60	270.0	0	1	4	-6	OBNTEIRAHQYKMSDLUFPJXGVZ	HZGTAMESNPOVFRDBLIKXQYUJ	DURVKMSXEQNPTZOFHBLYAJIG	SDLNTXKERUAYBIHMJOQVGPZF	SXEZDLVKNFTHBIUOMQGJYPRA	GKJPISMFLHVAEQNXTDBYUROZ	999	999	999	999	999	999	999	999	999	999	999	999	0
main	3	18TM5	2	0	K	0	10	A	False	120	120.0	0	0	0	-1	MHYTJNIUPKAEXBVQROZLSGDF	JPVISMADNGQXEYLKFHOBURTZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	4	18TM5	18	2	M	0	7	K	False	120	120.0	0	0	14	2	AVKBDQGLIHRMUOPNYXZEJSFT	ADROILGXZUQFHVBSENYJTKPM	DFTMQJXSOZNGBREVYKHAUILP	AKNVOZQSLPRJFXTHBIMGYDEU	KYNMOHEVTDULFQIRJBPZXSAG	MTLBZHUFIDOJAQXEPYRGNSKV	QLFXVEAKGMHYPDZUONBTSIJR	TAHZBGSMPNURIYQKXJDVFLOE	LMDJSIVQOEYZTUABFXHNGRPK	AUOHJQFGKLYEXBRVSNPITMDZ	QHRNYFLIBJEPMDSAKUVTOGZX	ZYBJQOXPHVSALKDUREINGFTM	ZXBSVFNUKTQLIHAGDRPYJOME	XQKOHUDAFYLSIVNJBPRTGEZM	HETAGVFKXMJNQBORLYDSPUIZ	PDGHLBETIOQSAUJNKVFRYMXZ	ZGUSJFRDHKVONPBQALETYXMI	QIABUFJSRZHGDLTEPKYMNXOV	0
main	5	18TM5	2	0	F	0	10	J	False	0	0.0	0	0	0	2	VOTDRNAXPYJSFIZQULGEKMBH	OUPZYBJIMTVSGLNHRXAKFEQD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	6	18TM5	18	0	G	0	8	Z	False	120	120.0	0	0	2	6	IPYKSHGTFUXMAEJZODLBNVQR	QAZDUTXYBIKNRHJGOMLPFVSE	ITXJBEVFZQUNMDGKLRYAOPSH	AIEMLTUNDSYBKPFRQJXZOVHG	KRAPBQHTLYXJFOMZGEUNIVDS	YAHFSQLVTEJIXZKGPMRUOBDN	DFGHYXKQOARBSTENPJUIVZLM	NMGLYXKRDUFTJZHBPIOSVEQA	NKOFXZQEHBGTALDVSRYIUMPJ	XUDSKIFQLETBJHVYMPGRZNAO	TJZODNMHBKVLQUARPIXGFYES	PNDEUFMYQAKXSZRGBHTVLOJI	UDLPSAQETBYMKFGINXRHVJOZ	YKFXTHINJRZBODUPESGQVMAL	FSEPYXABQOGNUIKTZRJHLVMD	NQZKULBGRXSYDMPAEHVTFOJI	AZGEMRQDPJKXUBNSYLHTFOIV	UXEVFHJLKMZNYPRGOTQSBIAD	0
main	7	18TM5	6	2	N	0	10	G	False	60	240.0	0	1	4	1	ZVHYIDFUAMTBLENSXKOGQJPR	ZURIYEOGPDHMALJXKFQBNVTS	IRKVTPUQFZYNAXBDLJOMSEGH	DZMXEVYKUNFAOJGBRLITHSQP	JBIRETXPFDGNZQOUYAVMSLKH	EKOGXYLQFPHSIDUZBMARJNVT	999	999	999	999	999	999	999	999	999	999	999	999	0
main	8	18TM5	18	2	H	0	7	Y	False	0	180.0	0	1	15	4	QMTUHZRGJNDIOYLSVFXABEPK	EFIMLYGZNTQRHSJDVXBOUAPK	JARHOPEYGIDZUXBMKFLVQTSN	KXDLTIYMSBAPNQHEFVOGJURZ	LGYUZEVQNIAKRXDFJTMPOSHB	MRAQJGSOYUXNEDPTZFIVLHKB	TOKELIVFRJGMZUHYXNSDQBPA	ZLVFMXIATJNQYESOBDHPGKUR	SKJAXUHNTEDIRMLYPFZBOQGV	HKZYXMGRSNLFQTUJAVIBDOEP	ZLMQYEOAGPTNDJFBUKXHVSRI	LEYOKBGRMUJNZPHSFXITVQAD	DRTYGNUZIVOBMJPKLFXSAHEQ	FDLNQVTBYJIXAPHUOKEMRGSZ	IUDQNFJVKMOZRLYXSAPETHBG	QGTLVDFYRNAHBXOEIJSUKMZP	IUPAONXBKLSJTGVYQMHEFRDZ	BMNUERKFLSZTPJXDYHQGIOVA	0
main	9	18TM5	2	1	X	0	6	D	False	120	330.0	0	1	1	1	HNSBQGJFEOLXIKUDTAYVZPMR	GRTMIQDXYPLKHSVAFOEJZNUB	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
