RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_Y	CURRENT_FIX_X	TRIAL_INDEX	TRIAL_LABEL
18JC	NONE	389.20	499.50	1	Trial: 1
18JC	NONE	384.70	513.40	2	Trial: 2
18JC	NONE	382.80	509.30	3	Trial: 3
18JC	NONE	388.30	509.70	4	Trial: 4
18JC	NONE	382.50	509.70	5	Trial: 5
18JC	NONE	387.00	506.20	6	Trial: 6
18JC	NONE	388.10	509.30	6	Trial: 6
18JC	NONE	386.60	509.50	7	Trial: 7
18JC	NONE	397.40	512.60	7	Trial: 7
18JC	AFTER	381.80	511.00	8	Trial: 8
18JC	BEFORE	389.20	506.50	8	Trial: 8
18JC	NONE	388.60	517.70	9	Trial: 9
18JC	NONE	380.20	512.80	10	Trial: 10
18JC	AFTER	383.40	508.70	11	Trial: 11
18JC	BEFORE	391.20	500.90	11	Trial: 11
18JC	NONE	378.60	506.20	12	Trial: 12
18JC	NONE	395.10	513.00	13	Trial: 13
18JC	NONE	399.10	517.20	13	Trial: 13
18JC	NONE	377.00	503.60	14	Trial: 14
18JC	NONE	383.10	513.70	15	Trial: 15
18JC	NONE	383.40	510.00	15	Trial: 15
18JC	NONE	387.40	509.80	16	Trial: 16
18JC	NONE	380.50	507.70	17	Trial: 17
18JC	NONE	389.90	508.50	18	Trial: 18
18JC	NONE	387.60	505.60	19	Trial: 19
18JC	NONE	373.40	513.20	20	Trial: 20
18JC	NONE	371.70	506.90	20	Trial: 20
18JC	NONE	377.90	510.30	21	Trial: 21
18JC	NONE	374.10	500.70	21	Trial: 21
18JC	AFTER	379.80	510.70	22	Trial: 22
18JC	BEFORE	381.90	510.40	22	Trial: 22
18JC	NONE	371.30	509.70	23	Trial: 23
18JC	NONE	371.20	503.80	23	Trial: 23
18JC	NONE	379.60	515.70	24	Trial: 24
18JC	AFTER	382.90	508.50	25	Trial: 25
18JC	BEFORE	375.70	500.00	25	Trial: 25
18JC	NONE	385.00	513.50	26	Trial: 26
18JC	NONE	392.50	511.10	26	Trial: 26
18JC	AFTER	382.80	510.00	27	Trial: 27
18JC	BEFORE	386.50	508.80	27	Trial: 27
18JC	NONE	381.90	509.50	28	Trial: 28
18JC	NONE	381.00	512.80	29	Trial: 29
18JC	NONE	385.00	515.10	30	Trial: 30
18JC	NONE	391.40	515.60	30	Trial: 30
18JC	NONE	387.70	508.80	31	Trial: 31
18JC	NONE	377.00	514.90	32	Trial: 32
18JC	NONE	381.40	510.80	33	Trial: 33
18JC	NONE	381.80	519.00	34	Trial: 34
18JC	NONE	369.30	512.20	35	Trial: 35
18JC	NONE	369.70	505.00	35	Trial: 35
18JC	NONE	381.20	509.10	36	Trial: 36
18JC	NONE	386.20	508.60	36	Trial: 36
18JC	AFTER	381.60	504.70	37	Trial: 37
18JC	BEFORE	378.10	509.60	37	Trial: 37
18JC	AFTER	381.60	513.30	38	Trial: 38
18JC	BEFORE	375.50	511.90	38	Trial: 38
18JC	NONE	371.90	509.50	39	Trial: 39
18JC	AFTER	382.90	509.60	40	Trial: 40
18JC	BEFORE	377.00	514.40	40	Trial: 40
18JC	AFTER	387.10	512.10	41	Trial: 41
18JC	BEFORE	375.80	512.60	41	Trial: 41
18JC	NONE	370.00	505.40	42	Trial: 42
18JC	NONE	372.70	506.50	43	Trial: 43
18JC	NONE	370.40	496.60	43	Trial: 43
18JC	AFTER	376.70	504.40	44	Trial: 44
18JC	BEFORE	389.60	500.50	44	Trial: 44
18JC	AFTER	382.10	513.70	45	Trial: 45
18JC	BEFORE	377.20	515.70	45	Trial: 45
18JC	AFTER	387.00	512.80	46	Trial: 46
18JC	BEFORE	382.90	507.40	46	Trial: 46
18JC	AFTER	385.90	511.70	47	Trial: 47
18JC	BEFORE	376.00	510.20	47	Trial: 47
18JC	AFTER	384.70	507.00	48	Trial: 48
18JC	BEFORE	376.00	514.90	48	Trial: 48
18JC	NONE	382.60	507.90	48	Trial: 48
18JC	AFTER	381.30	506.80	49	Trial: 49
18JC	BEFORE	380.50	514.00	49	Trial: 49
18JC	AFTER	383.60	511.30	50	Trial: 50
18JC	BEFORE	387.00	513.20	50	Trial: 50
18JC	AFTER	383.10	506.60	51	Trial: 51
18JC	BEFORE	378.80	509.90	51	Trial: 51
18JC	AFTER	383.60	511.40	52	Trial: 52
18JC	BEFORE	375.00	514.40	52	Trial: 52
18JC	AFTER	377.40	509.50	53	Trial: 53
18JC	BEFORE	361.60	508.90	53	Trial: 53
18JC	AFTER	384.00	509.10	54	Trial: 54
18JC	BEFORE	372.20	505.90	54	Trial: 54
18JC	AFTER	382.90	510.30	55	Trial: 55
18JC	BEFORE	394.30	506.60	55	Trial: 55
18JC	AFTER	383.30	509.50	56	Trial: 56
18JC	BEFORE	379.70	506.40	56	Trial: 56
18JC	AFTER	384.30	509.40	57	Trial: 57
18JC	BEFORE	371.30	508.00	57	Trial: 57
18JC	NONE	382.80	501.20	58	Trial: 58
18JC	NONE	376.90	511.50	59	Trial: 59
18JC	AFTER	387.20	505.40	60	Trial: 60
18JC	BEFORE	383.20	510.70	60	Trial: 60
18JC	AFTER	379.90	513.80	61	Trial: 61
18JC	BEFORE	387.20	512.00	61	Trial: 61
18JC	NONE	388.10	506.40	61	Trial: 61
18JC	AFTER	382.60	513.10	62	Trial: 62
18JC	BEFORE	374.20	513.70	62	Trial: 62
18JC	NONE	384.10	515.30	63	Trial: 63
18JC	NONE	383.80	506.90	63	Trial: 63
18JC	NONE	373.50	507.10	64	Trial: 64
18JC	NONE	380.70	510.70	65	Trial: 65
18JC	NONE	376.80	511.90	66	Trial: 66
18JC	NONE	374.50	516.00	67	Trial: 67
18JC	AFTER	386.30	514.30	68	Trial: 68
18JC	BEFORE	382.20	517.00	68	Trial: 68
18JC	NONE	375.40	517.30	69	Trial: 69
18JC	NONE	371.10	511.50	70	Trial: 70
18JC	NONE	373.30	496.40	71	Trial: 71
18JC	NONE	375.20	509.90	72	Trial: 72
18JC	AFTER	384.50	514.90	73	Trial: 73
18JC	BEFORE	375.50	515.40	73	Trial: 73
18JC	AFTER	382.50	510.50	74	Trial: 74
18JC	BEFORE	384.70	508.20	74	Trial: 74
18JC	AFTER	388.70	513.90	75	Trial: 75
18JC	BEFORE	384.10	512.70	75	Trial: 75
18JC	AFTER	383.30	510.30	76	Trial: 76
18JC	BEFORE	387.90	515.40	76	Trial: 76
18JC	AFTER	384.80	509.50	77	Trial: 77
18JC	BEFORE	372.60	516.00	77	Trial: 77
18JC	NONE	376.90	511.50	78	Trial: 78
18JC	AFTER	380.30	516.10	79	Trial: 79
18JC	BEFORE	375.20	520.50	79	Trial: 79
18JC	NONE	382.00	510.50	80	Trial: 80
18JC	AFTER	385.50	510.80	81	Trial: 81
18JC	BEFORE	370.00	506.20	81	Trial: 81
18JC	NONE	371.90	508.70	82	Trial: 82
18JC	NONE	378.90	511.90	83	Trial: 83
18JC	NONE	380.50	496.20	84	Trial: 84
18JC	NONE	374.90	505.90	85	Trial: 85
18JC	AFTER	386.60	516.30	86	Trial: 86
18JC	BEFORE	376.50	513.80	86	Trial: 86
18JC	NONE	389.60	502.90	86	Trial: 86
18JC	NONE	380.60	513.20	87	Trial: 87
18JC	NONE	384.40	508.20	88	Trial: 88
18JC	NONE	380.60	509.80	89	Trial: 89
