RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_END	CURRENT_FIX_START	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX	TRIAL_LABEL
18RP	NONE	1160	7	512.50	382.20	1	Trial: 1
18RP	NONE	2085	1226	520.50	375.00	1	Trial: 1
18RP	NONE	2087	7	509.90	383.10	2	Trial: 2
18RP	NONE	2079	7	511.20	379.40	3	Trial: 3
18RP	NONE	2082	7	511.90	387.20	4	Trial: 4
18RP	NONE	2095	7	517.60	384.70	5	Trial: 5
18RP	NONE	2078	7	512.20	381.80	6	Trial: 6
18RP	NONE	2079	7	514.20	377.10	7	Trial: 7
18RP	NONE	2080	7	515.70	384.90	8	Trial: 8
18RP	NONE	2089	7	509.90	383.40	9	Trial: 9
18RP	NONE	2097	7	516.40	380.10	10	Trial: 10
18RP	NONE	2099	7	510.00	382.20	11	Trial: 11
18RP	NONE	2078	7	509.80	387.40	12	Trial: 12
18RP	AFTER	90	7	520.30	384.80	13	Trial: 13
18RP	BEFORE	2097	270	522.40	394.00	13	Trial: 13
18RP	NONE	2079	7	513.70	386.50	14	Trial: 14
18RP	NONE	2085	7	513.30	377.50	15	Trial: 15
18RP	NONE	2102	7	511.40	385.60	16	Trial: 16
18RP	NONE	2089	7	511.90	388.50	17	Trial: 17
18RP	NONE	2011	7	519.00	381.50	18	Trial: 18
18RP	NONE	2095	7	511.60	381.20	19	Trial: 19
18RP	NONE	2090	7	517.30	380.90	20	Trial: 20
18RP	NONE	2082	7	513.80	378.90	21	Trial: 21
18RP	NONE	2101	7	514.30	382.80	22	Trial: 22
18RP	NONE	2089	7	511.00	388.90	23	Trial: 23
18RP	NONE	2092	7	505.10	383.60	24	Trial: 24
18RP	NONE	2078	7	509.80	379.60	25	Trial: 25
18RP	NONE	1338	111	516.20	389.40	26	Trial: 26
18RP	NONE	1941	1381	621.80	220.10	26	Trial: 26
18RP	NONE	2105	7	507.30	383.30	27	Trial: 27
18RP	NONE	2089	7	508.80	383.90	28	Trial: 28
18RP	NONE	2089	7	514.40	384.70	29	Trial: 29
18RP	NONE	2089	7	506.60	380.00	30	Trial: 30
18RP	NONE	2093	7	520.90	390.30	31	Trial: 31
18RP	NONE	2088	7	518.10	387.70	32	Trial: 32
18RP	NONE	2088	7	511.70	390.00	33	Trial: 33
18RP	NONE	2088	7	509.40	386.40	34	Trial: 34
18RP	NONE	2098	7	512.00	387.30	35	Trial: 35
18RP	NONE	2103	7	515.40	389.40	36	Trial: 36
18RP	AFTER	480	7	510.20	383.40	37	Trial: 37
18RP	BEFORE	2098	667	510.20	380.40	37	Trial: 37
18RP	NONE	2077	7	507.20	383.20	38	Trial: 38
18RP	NONE	2088	7	511.40	385.20	39	Trial: 39
18RP	NONE	2098	7	509.90	375.00	40	Trial: 40
18RP	NONE	2083	7	506.40	377.20	41	Trial: 41
