experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cue0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	0	Hubert	2	1	Z	0	False	A	False	120	150.0	0	0	0	NA	O	F	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	177
main	1	Hubert	2	1	Z	0	False	A	False	120	330.0	0	1	1	NA	L	O	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	189
main	2	Hubert	2	1	Z	0	False	A	False	60	270.0	0	1	1	NA	K	G	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	183
main	3	Hubert	2	1	Z	0	False	A	False	120	150.0	0	0	0	NA	F	G	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	183
main	4	Hubert	2	0	Z	0	False	A	False	60	60.0	0	0	0	NA	Q	X	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	183
main	5	Hubert	2	0	Z	0	False	A	False	0	0.0	0	0	0	NA	I	D	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	184
main	6	Hubert	2	0	Z	0	False	A	False	60	60.0	0	0	0	NA	T	B	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	183
main	7	Hubert	2	1	Z	0	False	A	False	60	270.0	0	1	1	NA	D	I	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	185
main	8	Hubert	2	1	Z	0	True	A	False	120	330.0	0	1	1	NA	T	E	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	184
main	9	Hubert	2	0	Z	0	True	A	False	60	240.0	0	1	1	NA	X	S	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	184
main	10	Hubert	2	0	Z	0	True	A	True	0	0.0	0	0	0	NA	Z	O	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	187
main	11	Hubert	2	1	Z	0	False	A	False	120	150.0	0	0	0	NA	H	U	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	185
main	12	Hubert	2	2	Z	0	True	A	False	60	240.0	0	1	1	NA	T	P	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	186
main	13	Hubert	2	0	Z	0	True	A	False	60	60.0	0	0	0	NA	H	Q	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	185
main	14	Hubert	2	0	Z	0	True	A	False	120	120.0	0	0	0	NA	F	N	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	188
main	15	Hubert	2	0	Z	0	False	A	False	120	300.0	0	1	1	NA	N	K	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	189
main	16	Hubert	2	0	Z	0	True	A	False	0	0.0	0	0	0	NA	B	Y	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	186
main	17	Hubert	2	2	Z	0	False	A	False	0	180.0	0	1	1	NA	B	F	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	188
main	18	Hubert	2	0	Z	0	True	A	False	0	180.0	0	1	1	NA	P	H	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	186
main	19	Hubert	2	2	Z	0	False	A	False	60	240.0	0	1	1	NA	R	F	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	184
main	20	Hubert	2	1	Z	0	False	A	False	120	330.0	0	1	1	NA	N	N	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	188
main	21	Hubert	2	1	Z	0	True	A	False	60	270.0	0	1	1	NA	R	R	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	185
main	22	Hubert	2	2	Z	0	True	A	False	120	120.0	0	0	0	NA	S	D	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	186
main	23	Hubert	2	2	Z	0	False	A	False	60	240.0	0	1	1	NA	T	T	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	190
main	24	Hubert	2	2	Z	0	True	A	False	0	0.0	0	0	0	NA	R	G	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	186
main	25	Hubert	2	1	Z	0	True	A	False	60	270.0	0	1	1	NA	U	E	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	188
main	26	Hubert	2	1	Z	0	True	A	False	60	270.0	0	1	1	NA	J	N	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	187
main	27	Hubert	2	0	Z	0	True	A	True	60	60.0	0	0	0	NA	Z	F	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	185
main	28	Hubert	2	2	Z	0	True	A	False	60	240.0	0	1	1	NA	P	S	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	183
main	29	Hubert	2	2	Z	0	True	A	False	120	300.0	0	1	1	NA	I	G	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	188
main	30	Hubert	2	1	Z	0	True	A	False	0	210.0	0	1	1	NA	B	D	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	186
main	31	Hubert	2	0	Z	0	False	A	False	120	300.0	0	1	1	NA	B	E	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	186
main	32	Hubert	2	1	Z	0	False	A	False	0	30.0	0	0	0	NA	V	N	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	189
main	33	Hubert	2	1	Z	0	False	A	False	120	150.0	0	0	0	NA	U	Q	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	188
main	34	Hubert	2	1	Z	0	True	A	False	60	90.0	0	0	0	NA	F	E	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	186
main	35	Hubert	2	0	Z	0	False	A	False	0	0.0	0	0	0	NA	Y	U	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	188
main	36	Hubert	2	0	Z	0	True	A	False	120	300.0	0	1	1	NA	H	Y	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	189
main	37	Hubert	2	0	Z	0	True	A	False	60	60.0	0	0	0	NA	K	Z	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	188
main	38	Hubert	2	2	Z	0	True	A	False	60	60.0	0	0	0	NA	I	J	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	189
main	39	Hubert	2	1	Z	0	True	A	False	60	270.0	0	1	1	NA	A	H	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	185
main	40	Hubert	2	2	Z	0	True	A	False	60	60.0	0	0	0	NA	D	B	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	186
main	41	Hubert	2	2	Z	0	True	A	False	120	120.0	0	0	0	NA	J	I	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	190
main	42	Hubert	2	0	Z	0	True	A	False	60	60.0	0	0	0	NA	V	A	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	186
main	43	Hubert	2	1	Z	0	False	A	False	0	30.0	0	0	0	NA	R	N	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	189
main	44	Hubert	2	0	Z	0	False	A	False	60	60.0	0	0	0	NA	B	G	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	190
main	45	Hubert	2	1	Z	0	True	A	False	60	270.0	0	1	1	NA	Q	V	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	187
main	46	Hubert	2	1	Z	0	True	A	False	60	90.0	0	0	0	NA	T	Y	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	187
main	47	Hubert	2	1	Z	0	True	A	False	120	330.0	0	1	1	NA	Y	T	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	187
main	48	Hubert	2	0	Z	0	True	A	False	120	120.0	0	0	0	NA	N	T	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	184
main	49	Hubert	2	1	Z	0	True	A	False	120	150.0	0	0	0	NA	T	U	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	189
main	50	Hubert	2	0	Z	0	True	A	False	60	60.0	0	0	0	NA	D	R	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	190
main	51	Hubert	2	1	Z	0	False	A	False	0	210.0	0	1	1	NA	J	G	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	183
main	52	Hubert	2	0	Z	0	False	A	False	60	60.0	0	0	0	NA	K	G	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	189
main	53	Hubert	2	2	Z	0	False	A	False	0	180.0	0	1	1	NA	U	K	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	182
main	54	Hubert	2	2	Z	0	True	A	False	60	240.0	0	1	1	NA	M	Q	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	189
main	55	Hubert	2	2	Z	0	True	A	False	0	0.0	0	0	0	NA	M	K	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	188
main	56	Hubert	2	2	Z	0	False	A	False	60	240.0	0	1	1	NA	V	X	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	188
main	57	Hubert	2	1	Z	0	False	A	False	0	210.0	0	1	1	NA	M	Y	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	94
