experimentPhase	trialnum	subject	nStreams	ring	crowded	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	0	AG12SONA	2	0	Bouma	K	0	7	S	False	120	300.0	0	1	1	-5	LDKTOPRJFZMNUHQBXIGSYVEA	QLKYJOTSZPGBNDRFHIMXUVAE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	1	AG12SONA	2	1	Yes	M	0	8	F	False	60	90.0	0	0	0	14	IEKGLVXRFONYPTSUJDBZQAMH	UMDIYRQHVTELNJXBPASFOZGK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	2	AG12SONA	2	0	Bouma	T	0	9	J	False	0	0.0	0	0	0	1	ANZKYHLDRJTPUGIOFSQBEXMV	PJSFRZQDVIKLMXYUGHETAONB	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	3	AG12SONA	2	1	Bouma	A	0	6	G	False	60	270.0	0	1	1	-1	UPBITVZOHJAXLRKFGMYNEDSQ	XUDHEAGJMNFIVYKRZSBPLTOQ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	4	AG12SONA	2	0	Bouma	T	0	7	X	False	60	240.0	0	1	1	1	YTESHBPLMOGIXUQKJDVANZFR	DKEJVMNXTPUFRQZOHLAYIGSB	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	5	AG12SONA	2	0	Bouma	N	0	10	K	False	0	0.0	0	0	0	1	UYSHIRDQFBKNTPZGJLEAVXMO	AVZLMEHQGTDJFYIPRBSOXKUN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	6	AG12SONA	2	2	Yes	B	0	6	E	False	0	180.0	0	1	1	-4	ZFXJNEUIPAMGDBSYRQKLVHTO	DHBVXPEOKURIFTQSJLYMZANG	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	7	AG12SONA	2	0	Bouma	M	0	10	Z	False	120	300.0	0	1	1	2	MONSHYTGEAFDIRXQUPKBZJVL	LJNIKGBTFVZDMOSAEPHRYXQU	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	8	AG12SONA	2	0	Yes	G	0	6	B	False	120	300.0	0	1	1	1	ISKURMJZFPODVHGXNEBATYLQ	JKEYANBGXSMZQPVOTIFRDLHU	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	9	AG12SONA	2	1	Yes	O	0	8	U	False	60	270.0	0	1	1	1	IOXKTQMJSDRAHUPFZVEYLBNG	HMGDQYTBUONJILFSRZXVEPKA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	10	AG12SONA	2	1	Yes	P	0	9	N	False	60	90.0	0	0	0	14	XOHRAJDGBNQZFIKEYTUVLMSP	FLMVIQXTHJPDRZKGENAUOYBS	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
