experimentPhase	trialnum	subject	nStreams	ring	crowded	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	0	CharlieSingleShot	2	0	Bouma	G	0	2	G	True	120	300.0	0	1	1	0	##P##	##G##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	1	CharlieSingleShot	2	0	Bouma	G	0	2	G	True	60	240.0	0	1	1	0	##T##	##G##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	2	CharlieSingleShot	2	1	Bouma	N	0	2	N	True	60	270.0	0	1	1	0	##S##	##N##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	3	CharlieSingleShot	2	0	Bouma	P	0	2	P	True	0	0.0	0	0	0	0	##P##	##K##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	4	CharlieSingleShot	2	0	Bouma	G	0	2	G	True	60	60.0	0	0	0	0	##G##	##R##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	5	CharlieSingleShot	2	0	Bouma	F	0	2	F	True	120	120.0	0	0	0	0	##F##	##A##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	6	CharlieSingleShot	2	2	Bouma	G	0	2	Q	False	120	120.0	0	0	0	999	##Q##	##Q##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	7	CharlieSingleShot	2	2	Bouma	M	0	2	M	True	60	240.0	0	1	1	0	##N##	##M##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	8	CharlieSingleShot	2	0	Bouma	L	0	2	L	True	60	60.0	0	0	0	0	##L##	##L##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	9	CharlieSingleShot	2	1	Bouma	U	0	2	U	True	60	270.0	0	1	1	0	##D##	##U##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	10	CharlieSingleShot	2	2	Bouma	E	0	2	E	True	60	240.0	0	1	1	0	##Y##	##E##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	11	CharlieSingleShot	2	1	Bouma	S	0	2	S	True	120	150.0	0	0	0	0	##S##	##D##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	12	CharlieSingleShot	2	0	Bouma	Z	0	2	Z	True	0	180.0	0	1	1	0	##Q##	##Z##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	13	CharlieSingleShot	2	2	Bouma	G	0	2	G	True	120	300.0	0	1	1	0	##U##	##G##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	14	CharlieSingleShot	2	1	Bouma	S	0	2	S	True	120	150.0	0	0	0	0	##S##	##H##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	15	CharlieSingleShot	2	2	Bouma	T	0	2	T	True	0	180.0	0	1	1	0	##F##	##T##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	16	CharlieSingleShot	2	0	Bouma	J	0	2	J	True	120	300.0	0	1	1	0	##N##	##J##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	17	CharlieSingleShot	2	0	Bouma	Y	0	2	Y	True	60	60.0	0	0	0	0	##Y##	##U##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	18	CharlieSingleShot	2	2	Bouma	V	0	2	Y	False	120	300.0	0	1	1	999	##X##	##Y##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	19	CharlieSingleShot	2	1	Bouma	G	0	2	G	True	0	210.0	0	1	1	0	##F##	##G##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	20	CharlieSingleShot	2	2	Bouma	A	0	2	A	True	0	0.0	0	0	0	0	##A##	##S##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	21	CharlieSingleShot	2	1	Bouma	Y	0	2	Y	True	120	330.0	0	1	1	0	##V##	##Y##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	22	CharlieSingleShot	2	0	Bouma	K	0	2	K	True	60	60.0	0	0	0	0	##K##	##G##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	23	CharlieSingleShot	2	0	Bouma	M	0	2	M	True	0	180.0	0	1	1	0	##I##	##M##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	24	CharlieSingleShot	2	0	Bouma	Y	0	2	Y	True	120	120.0	0	0	0	0	##Y##	##L##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	25	CharlieSingleShot	2	1	Bouma	O	0	2	O	True	0	210.0	0	1	1	0	##P##	##O##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	26	CharlieSingleShot	2	2	Bouma	P	0	2	P	True	120	120.0	0	0	0	0	##P##	##G##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	27	CharlieSingleShot	2	1	Bouma	Z	0	2	X	False	60	270.0	0	1	1	999	##H##	##X##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	28	CharlieSingleShot	2	2	Bouma	N	0	2	N	True	120	120.0	0	0	0	0	##N##	##N##	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
