experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	0 	SH 	 oneCued 	 0.0 	 right 	D 	K 	0.0 	3 	0 	7.0 	FXZHYIGNMKBQWDLAJREOUCSVTP	FEUVQXANSJMWILBZOPTDCRKGHY	JIHAZDRXNLEGBQCFMVOTPKSUYW	ZUBOSFXHPTKRNQGIADMLWCEYVJ	SJUTNREBQKMFOLCYDIPXGHWAZV	AUXJWLQEOZPBIVCYHKNGTFSRMD	0
main	1 	SH 	 oneCued 	 0.0 	 right 	S 	G 	0.0 	4 	0 	7.0 	CYSQLJDWGERIMPZHXKUTAFVBNO	QXKPFLWCGUNIYEMTRVSADBHOJZ	TZXHAPMQWFEONRJKLDSUVCBYIG	KFTJLOVYQCSMPRNXEBHUADWZIG	WXUYVIDRMGZJOFCHSEBTQKPANL	VPIYHRJASGDWKCEOXBTMQFUNLZ	0
main	2 	SH 	 oneCued 	 0.0 	 left 	N 	L 	0.0 	2 	0 	-10.0 	NZGDMAJQIPVXRKUTWEOSLCBYFH	MRALOSJFPUNZKTDGYIWEHXVBCQ	NHGTRDCKESLBWZQAYFIVOMXJPU	SNCIXBLPYMAQVDWETJHFZUGKOR	SUKDECJVQIYXWFBTZLGMPOHANR	OXZSGBWTALKUPJVEDCQYMHFRNI	0
main	3 	SH 	 oneCued 	 0.0 	 left 	Q 	G 	0.0 	4 	0 	14.0 	VGUJZLEAYQPXMOBDFTSNHWRKCI	MLTDCHBRJWFPXVOYEZKQAINSGU	MJXHURKPVEWLCIDYOFNTGQZSAB	MYABFHKSGVRDLCXZJNUQEPIOTW	BEYSOZGFKVCXRLNIWPUHQTMDAJ	ERTNWGFPQVJZKUIBLYAMCHOXDS	0
main	4 	SH 	 oneCued 	 0.0 	 right 	R 	S 	0.0 	3 	0 	4.0 	CEHRKDWPXLZTYIOVUJGMAQNFBS	GJEPKZBLFCNMAYWIXOHRSVDQUT	GOVMBUFPRTACKQJYWHDLNEZXIS	GAPUQDSHBTRCJFXOZNLWKVMYEI	BJVLUMESQZCADGTYPKROXFNHIW	SNWVXZFCJTEPUDIKQAMROYGHBL	0
main	5 	SH 	 oneCued 	 0.0 	 left 	N 	O 	0.0 	1 	0 	3.0 	NFSRMDLHTQVOIUPWYEJAZBXCKG	XTGUYCIPOLVNEQSKJAHBDWZMFR	UGQVHTNFBDMLAREPKJCOZYWXIS	HVMCTUDNJOGKLIYEBQFWZPSAXR	UYPHJEONIKAWFXVDCSZQTLRMBG	LVUDABGKJMNFYWQIPXOZCSHERT	0
main	6 	SH 	 oneCued 	 0.0 	 left 	N 	N 	1.0 	4 	0 	0.0 	OJFPIEASXBVWMRDKLCQHNGTYUZ	JBYIRZETSWDXCUQVFNMGLAOKHP	DZTGEXHWLFJQPKAUBNMYVCIRSO	ZATIYQPKJNFCUOVHMGSLBRDXWE	ZKDFBMTNPVEOQCYWGXIJULARHS	WAMYDHVENILBPQSJKTXURGZOFC	0
main	7 	SH 	 oneCued 	 0.0 	 left 	G 	Y 	0.0 	5 	0 	-1.0 	DBCMIEAKGJNTHXRWZOPULQFYVS	BMHJGKDURTVWQPICFOYNSZELAX	QXWITNYPVDJHKSZMGBAFREOUCL	XZPECWOYTKJSMDBLRFGUQNHAIV	UZQFTHONVGJYBCSXMLEDWIKRPA	LRAXOQIFWGYUCHMVJZKETPDSNB	0
main	8 	SH 	 oneCued 	 0.0 	 right 	S 	T 	0.0 	5 	0 	3.0 	GLHKIWDQCEAZVSUFTNPYJOBXMR	HNPULWJCDOSRYEFVQAZTKBMIGX	RELWBFXKVNOJMZDPYHAGUTCQIS	PFHOKSAWBNCEMDTUXQRLJYZGIV	XFVPSDCLIBGNKMUTZJHEWRYOQA	DLPWNIECTBYSMKZXOQRGFAJHVU	0
main	9 	SH 	 oneCued 	 0.0 	 left 	T 	G 	0.0 	3 	0 	6.0 	VKDJQESMTOWXRAYPUHZBCFNLGI	VWYJEPCBTLGAFRNUQZHIOSDKXM	ODTSCJYVLRBZIKEHUAMPGWXFQN	QJKUBYMGNSPWCTDFZHXIRALVEO	IEVQLJBUXZPSYNCARFGWHDKMTO	HWXMKFGJIAOEVRCSQTLPYBZNUD	0
