RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX	TRIAL_LABEL
CLEndN6	NONE	545.20	472.90	1	Trial: 1
CLEndN6	NONE	638.60	497.10	1	Trial: 1
CLEndN6	NONE	618.90	494.90	2	Trial: 2
CLEndN6	NONE	650.30	502.80	2	Trial: 2
CLEndN6	NONE	642.40	489.80	2	Trial: 2
CLEndN6	NONE	637.90	490.30	3	Trial: 3
CLEndN6	NONE	648.10	493.00	3	Trial: 3
CLEndN6	NONE	640.30	488.40	3	Trial: 3
CLEndN6	NONE	659.00	484.30	4	Trial: 4
CLEndN6	NONE	644.40	492.90	4	Trial: 4
CLEndN6	NONE	647.40	500.20	4	Trial: 4
CLEndN6	NONE	643.50	487.10	5	Trial: 5
CLEndN6	NONE	643.30	504.00	6	Trial: 6
CLEndN6	NONE	606.00	488.40	7	Trial: 7
CLEndN6	NONE	628.70	496.10	7	Trial: 7
CLEndN6	NONE	638.50	492.80	7	Trial: 7
CLEndN6	NONE	606.20	508.70	8	Trial: 8
CLEndN6	NONE	636.40	498.40	8	Trial: 8
CLEndN6	NONE	615.60	513.70	9	Trial: 9
CLEndN6	NONE	642.10	502.40	9	Trial: 9
CLEndN6	NONE	637.50	496.70	9	Trial: 9
CLEndN6	NONE	648.00	511.00	10	Trial: 10
CLEndN6	NONE	645.30	503.50	10	Trial: 10
CLEndN6	NONE	623.10	511.60	11	Trial: 11
CLEndN6	NONE	645.60	501.60	11	Trial: 11
CLEndN6	NONE	624.30	510.70	12	Trial: 12
CLEndN6	NONE	653.00	508.30	12	Trial: 12
CLEndN6	NONE	642.70	505.60	12	Trial: 12
CLEndN6	NONE	645.50	502.90	13	Trial: 13
CLEndN6	NONE	637.20	507.40	13	Trial: 13
CLEndN6	NONE	638.70	493.30	13	Trial: 13
CLEndN6	NONE	617.20	506.00	14	Trial: 14
CLEndN6	NONE	629.00	504.90	14	Trial: 14
CLEndN6	NONE	641.00	503.30	14	Trial: 14
CLEndN6	NONE	644.20	498.80	15	Trial: 15
CLEndN6	NONE	638.80	497.30	15	Trial: 15
CLEndN6	NONE	632.30	513.10	16	Trial: 16
CLEndN6	NONE	644.40	502.20	16	Trial: 16
CLEndN6	NONE	640.00	514.20	17	Trial: 17
CLEndN6	NONE	647.30	503.00	17	Trial: 17
CLEndN6	NONE	675.80	515.50	18	Trial: 18
CLEndN6	NONE	649.20	527.20	18	Trial: 18
CLEndN6	NONE	646.80	506.80	18	Trial: 18
CLEndN6	NONE	671.30	517.00	19	Trial: 19
CLEndN6	NONE	647.70	504.10	19	Trial: 19
CLEndN6	NONE	619.00	505.60	20	Trial: 20
CLEndN6	NONE	636.30	509.20	20	Trial: 20
CLEndN6	NONE	647.30	504.70	20	Trial: 20
CLEndN6	NONE	672.50	531.50	21	Trial: 21
CLEndN6	NONE	654.60	517.70	21	Trial: 21
CLEndN6	NONE	652.60	510.40	21	Trial: 21
CLEndN6	NONE	661.00	503.60	22	Trial: 22
CLEndN6	NONE	648.90	504.90	22	Trial: 22
CLEndN6	NONE	640.90	494.80	22	Trial: 22
CLEndN6	NONE	674.40	530.30	23	Trial: 23
CLEndN6	NONE	661.60	519.90	23	Trial: 23
CLEndN6	NONE	645.60	499.50	23	Trial: 23
CLEndN6	NONE	624.50	513.80	24	Trial: 24
CLEndN6	NONE	641.00	504.20	24	Trial: 24
CLEndN6	NONE	646.70	502.60	25	Trial: 25
CLEndN6	NONE	645.60	504.10	25	Trial: 25
CLEndN6	NONE	637.40	498.50	25	Trial: 25
CLEndN6	NONE	643.40	502.20	26	Trial: 26
CLEndN6	NONE	625.60	533.70	27	Trial: 27
CLEndN6	NONE	644.20	507.00	27	Trial: 27
CLEndN6	NONE	617.20	530.80	28	Trial: 28
CLEndN6	NONE	641.20	507.90	28	Trial: 28
CLEndN6	NONE	678.00	507.80	29	Trial: 29
CLEndN6	NONE	653.40	517.90	29	Trial: 29
CLEndN6	NONE	640.50	503.00	29	Trial: 29
CLEndN6	NONE	669.20	513.40	30	Trial: 30
CLEndN6	NONE	654.70	517.50	30	Trial: 30
CLEndN6	NONE	641.60	503.50	30	Trial: 30
CLEndN6	NONE	627.80	518.20	31	Trial: 31
CLEndN6	NONE	643.70	506.60	31	Trial: 31
CLEndN6	NONE	618.10	528.90	32	Trial: 32
CLEndN6	NONE	646.80	512.00	32	Trial: 32
CLEndN6	NONE	602.70	548.40	33	Trial: 33
CLEndN6	NONE	625.10	536.40	33	Trial: 33
CLEndN6	NONE	645.20	526.50	33	Trial: 33
CLEndN6	NONE	645.00	504.00	33	Trial: 33
CLEndN6	NONE	624.70	524.90	34	Trial: 34
CLEndN6	NONE	637.60	504.80	34	Trial: 34
CLEndN6	NONE	639.50	503.70	35	Trial: 35
CLEndN6	NONE	679.30	503.00	36	Trial: 36
CLEndN6	NONE	657.00	507.40	36	Trial: 36
CLEndN6	NONE	642.90	503.00	36	Trial: 36
CLEndN6	NONE	638.30	499.40	36	Trial: 36
CLEndN6	NONE	642.90	512.10	36	Trial: 36
CLEndN6	NONE	611.20	515.50	37	Trial: 37
CLEndN6	NONE	639.50	504.10	37	Trial: 37
CLEndN6	NONE	604.40	515.10	38	Trial: 38
CLEndN6	NONE	636.50	498.40	38	Trial: 38
CLEndN6	NONE	658.30	511.80	39	Trial: 39
CLEndN6	NONE	641.20	517.30	39	Trial: 39
CLEndN6	NONE	633.30	506.40	39	Trial: 39
CLEndN6	NONE	633.80	528.60	40	Trial: 40
CLEndN6	NONE	644.90	524.80	40	Trial: 40
CLEndN6	NONE	642.30	506.30	40	Trial: 40
CLEndN6	NONE	626.50	509.60	41	Trial: 41
CLEndN6	NONE	644.50	508.20	41	Trial: 41
CLEndN6	NONE	666.00	528.10	42	Trial: 42
CLEndN6	NONE	651.20	524.30	42	Trial: 42
CLEndN6	NONE	643.10	507.70	42	Trial: 42
CLEndN6	NONE	639.80	514.20	43	Trial: 43
CLEndN6	NONE	646.40	519.80	44	Trial: 44
CLEndN6	NONE	658.80	518.00	44	Trial: 44
CLEndN6	NONE	643.10	508.40	44	Trial: 44
CLEndN6	NONE	656.80	532.30	45	Trial: 45
CLEndN6	NONE	630.20	529.30	45	Trial: 45
CLEndN6	NONE	647.30	520.80	45	Trial: 45
CLEndN6	NONE	611.90	480.70	45	Trial: 45
CLEndN6	NONE	632.70	514.90	45	Trial: 45
CLEndN6	NONE	629.20	535.40	46	Trial: 46
