RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_LABEL	TRIAL_INDEX
CLExN6	AFTER	601.30	517.60	Trial: 1	1
CLExN6	BEFORE	622.20	548.60	Trial: 1	1
CLExN6	NONE	628.90	539.40	Trial: 1	1
CLExN6	NONE	621.70	540.70	Trial: 2	2
CLExN6	NONE	639.40	526.20	Trial: 2	2
CLExN6	NONE	637.90	525.40	Trial: 3	3
CLExN6	NONE	631.30	518.40	Trial: 3	3
CLExN6	NONE	632.20	536.10	Trial: 4	4
CLExN6	NONE	641.30	531.60	Trial: 4	4
CLExN6	NONE	629.10	524.00	Trial: 4	4
CLExN6	NONE	627.00	546.70	Trial: 5	5
CLExN6	NONE	644.10	538.40	Trial: 5	5
CLExN6	NONE	638.90	529.50	Trial: 5	5
CLExN6	NONE	639.80	529.30	Trial: 5	5
CLExN6	NONE	607.00	531.40	Trial: 6	6
CLExN6	NONE	634.80	520.00	Trial: 6	6
CLExN6	NONE	618.30	529.20	Trial: 7	7
CLExN6	NONE	632.50	529.70	Trial: 7	7
CLExN6	NONE	634.30	535.50	Trial: 8	8
CLExN6	NONE	597.80	559.90	Trial: 9	9
CLExN6	NONE	633.60	534.20	Trial: 9	9
CLExN6	NONE	611.70	530.30	Trial: 10	10
CLExN6	NONE	631.80	535.80	Trial: 10	10
CLExN6	NONE	630.90	526.50	Trial: 11	11
CLExN6	NONE	631.20	555.30	Trial: 12	12
CLExN6	NONE	633.90	532.40	Trial: 12	12
CLExN6	NONE	664.60	547.90	Trial: 13	13
CLExN6	NONE	643.10	529.30	Trial: 13	13
CLExN6	NONE	622.80	524.70	Trial: 13	13
CLExN6	NONE	624.50	546.40	Trial: 14	14
CLExN6	NONE	644.20	543.00	Trial: 14	14
CLExN6	NONE	640.40	534.80	Trial: 14	14
CLExN6	NONE	660.10	555.40	Trial: 15	15
CLExN6	NONE	641.00	531.30	Trial: 15	15
CLExN6	NONE	628.60	554.20	Trial: 16	16
CLExN6	NONE	636.60	529.10	Trial: 16	16
CLExN6	NONE	627.40	536.70	Trial: 17	17
CLExN6	NONE	637.20	532.40	Trial: 17	17
CLExN6	NONE	614.30	546.90	Trial: 18	18
CLExN6	NONE	632.20	527.50	Trial: 18	18
CLExN6	NONE	617.00	546.20	Trial: 19	19
CLExN6	NONE	635.30	534.60	Trial: 19	19
CLExN6	NONE	634.90	534.10	Trial: 20	20
CLExN6	NONE	641.70	540.40	Trial: 20	20
CLExN6	NONE	640.60	531.60	Trial: 20	20
CLExN6	NONE	627.60	549.90	Trial: 21	21
CLExN6	NONE	642.80	527.60	Trial: 21	21
CLExN6	NONE	629.20	537.20	Trial: 22	22
CLExN6	NONE	643.90	532.30	Trial: 22	22
CLExN6	NONE	603.00	550.60	Trial: 23	23
CLExN6	NONE	638.00	534.40	Trial: 23	23
CLExN6	NONE	636.20	540.70	Trial: 24	24
CLExN6	NONE	620.50	538.50	Trial: 24	24
CLExN6	NONE	652.20	545.50	Trial: 24	24
CLExN6	NONE	639.60	532.30	Trial: 24	24
CLExN6	NONE	631.60	534.10	Trial: 25	25
CLExN6	NONE	654.20	531.80	Trial: 25	25
CLExN6	NONE	641.60	525.40	Trial: 25	25
CLExN6	NONE	621.00	557.60	Trial: 26	26
CLExN6	NONE	641.40	529.60	Trial: 26	26
CLExN6	NONE	624.90	528.30	Trial: 26	26
CLExN6	NONE	643.70	556.70	Trial: 27	27
CLExN6	NONE	646.10	539.70	Trial: 27	27
CLExN6	NONE	670.00	561.90	Trial: 28	28
CLExN6	NONE	656.20	556.40	Trial: 28	28
CLExN6	NONE	643.50	534.70	Trial: 28	28
CLExN6	NONE	633.20	538.60	Trial: 29	29
CLExN6	NONE	621.50	551.20	Trial: 30	30
CLExN6	NONE	634.00	528.80	Trial: 30	30
CLExN6	NONE	629.50	550.30	Trial: 31	31
CLExN6	NONE	638.10	533.40	Trial: 31	31
CLExN6	NONE	624.50	547.50	Trial: 32	32
CLExN6	NONE	641.80	531.00	Trial: 32	32
CLExN6	NONE	645.90	547.80	Trial: 33	33
CLExN6	NONE	648.30	549.40	Trial: 34	34
CLExN6	NONE	648.30	552.70	Trial: 35	35
CLExN6	NONE	639.60	539.80	Trial: 35	35
CLExN6	NONE	659.40	569.30	Trial: 36	36
CLExN6	NONE	635.30	558.90	Trial: 36	36
CLExN6	NONE	639.20	539.20	Trial: 36	36
CLExN6	NONE	659.30	531.70	Trial: 36	36
CLExN6	NONE	633.70	598.40	Trial: 37	37
CLExN6	NONE	616.80	560.40	Trial: 37	37
CLExN6	NONE	634.30	539.50	Trial: 37	37
CLExN6	NONE	627.10	544.20	Trial: 38	38
CLExN6	NONE	639.00	534.80	Trial: 38	38
CLExN6	NONE	643.90	554.80	Trial: 39	39
CLExN6	NONE	631.70	552.40	Trial: 39	39
CLExN6	NONE	635.10	534.50	Trial: 39	39
CLExN6	NONE	633.40	558.60	Trial: 40	40
CLExN6	NONE	646.70	541.30	Trial: 40	40
CLExN6	NONE	638.10	552.50	Trial: 41	41
CLExN6	NONE	634.00	541.90	Trial: 41	41
CLExN6	NONE	658.80	867.00	Trial: 42	42
CLExN6	NONE	677.70	670.20	Trial: 42	42
CLExN6	NONE	668.40	566.90	Trial: 42	42
CLExN6	NONE	655.00	541.40	Trial: 42	42
CLExN6	NONE	642.70	548.40	Trial: 43	43
CLExN6	NONE	650.60	529.80	Trial: 43	43
CLExN6	NONE	626.50	525.20	Trial: 44	44
CLExN6	NONE	645.20	530.40	Trial: 44	44
CLExN6	NONE	630.90	541.60	Trial: 45	45
CLExN6	NONE	650.80	529.70	Trial: 45	45
CLExN6	NONE	627.20	542.00	Trial: 46	46
CLExN6	NONE	646.80	531.30	Trial: 46	46
CLExN6	NONE	638.20	544.40	Trial: 47	47
CLExN6	NONE	646.50	532.80	Trial: 47	47
CLExN6	NONE	659.50	559.50	Trial: 48	48
CLExN6	NONE	645.00	528.40	Trial: 48	48
CLExN6	NONE	643.50	524.50	Trial: 49	49
CLExN6	NONE	657.50	523.50	Trial: 49	49
CLExN6	NONE	636.10	524.80	Trial: 49	49
CLExN6	NONE	623.50	546.00	Trial: 50	50
CLExN6	NONE	633.70	528.80	Trial: 50	50
CLExN6	NONE	641.50	523.00	Trial: 50	50
CLExN6	NONE	666.20	518.90	Trial: 51	51
CLExN6	NONE	639.40	515.70	Trial: 51	51
CLExN6	NONE	658.50	547.30	Trial: 52	52
CLExN6	NONE	632.80	533.70	Trial: 52	52
CLExN6	NONE	659.00	539.50	Trial: 53	53
CLExN6	NONE	642.20	541.90	Trial: 53	53
CLExN6	NONE	627.30	552.40	Trial: 54	54
CLExN6	NONE	639.50	519.00	Trial: 54	54
CLExN6	NONE	632.50	517.00	Trial: 54	54
CLExN6	NONE	639.10	518.80	Trial: 55	55
CLExN6	NONE	640.50	533.50	Trial: 55	55
CLExN6	NONE	642.00	519.60	Trial: 55	55
CLExN6	NONE	650.00	554.40	Trial: 56	56
CLExN6	NONE	642.80	529.90	Trial: 56	56
CLExN6	NONE	636.40	543.10	Trial: 57	57
CLExN6	NONE	645.50	524.50	Trial: 57	57
CLExN6	NONE	636.50	558.10	Trial: 58	58
CLExN6	NONE	646.20	523.20	Trial: 58	58
CLExN6	NONE	645.60	530.20	Trial: 59	59
CLExN6	NONE	621.10	574.40	Trial: 60	60
CLExN6	NONE	638.70	530.20	Trial: 60	60
CLExN6	NONE	670.20	568.00	Trial: 61	61
CLExN6	NONE	656.50	573.50	Trial: 61	61
CLExN6	NONE	650.80	548.90	Trial: 61	61
CLExN6	NONE	664.20	564.00	Trial: 62	62
CLExN6	NONE	675.90	558.80	Trial: 62	62
CLExN6	NONE	652.50	546.20	Trial: 62	62
CLExN6	NONE	619.60	548.60	Trial: 63	63
CLExN6	NONE	641.90	547.00	Trial: 63	63
CLExN6	NONE	615.20	558.40	Trial: 64	64
CLExN6	NONE	633.20	554.30	Trial: 64	64
CLExN6	NONE	649.10	549.20	Trial: 64	64
CLExN6	NONE	625.00	551.30	Trial: 65	65
CLExN6	NONE	641.60	537.30	Trial: 65	65
CLExN6	NONE	621.10	547.20	Trial: 66	66
CLExN6	NONE	638.20	533.80	Trial: 66	66
CLExN6	NONE	619.70	557.40	Trial: 67	67
CLExN6	NONE	636.40	546.70	Trial: 67	67
CLExN6	NONE	647.30	538.30	Trial: 67	67
CLExN6	NONE	624.20	561.60	Trial: 68	68
CLExN6	NONE	640.40	531.80	Trial: 68	68
CLExN6	NONE	687.60	547.10	Trial: 69	69
CLExN6	NONE	679.10	540.70	Trial: 69	69
CLExN6	NONE	645.20	541.30	Trial: 69	69
CLExN6	NONE	670.40	552.40	Trial: 70	70
CLExN6	NONE	651.70	541.30	Trial: 70	70
CLExN6	NONE	618.70	565.30	Trial: 71	71
CLExN6	NONE	639.80	548.30	Trial: 71	71
CLExN6	NONE	652.60	542.90	Trial: 71	71
CLExN6	NONE	649.90	535.30	Trial: 71	71
CLExN6	NONE	633.60	559.30	Trial: 72	72
CLExN6	NONE	639.40	539.50	Trial: 72	72
CLExN6	NONE	689.20	539.80	Trial: 73	73
CLExN6	NONE	657.10	550.10	Trial: 73	73
CLExN6	NONE	646.90	538.10	Trial: 73	73
CLExN6	NONE	669.00	551.60	Trial: 74	74
CLExN6	NONE	642.10	534.90	Trial: 74	74
CLExN6	NONE	619.80	541.40	Trial: 75	75
CLExN6	NONE	636.60	546.20	Trial: 75	75
CLExN6	NONE	650.60	544.20	Trial: 75	75
CLExN6	NONE	651.70	534.20	Trial: 75	75
CLExN6	NONE	632.30	545.00	Trial: 76	76
CLExN6	NONE	648.50	542.40	Trial: 76	76
CLExN6	NONE	640.50	555.20	Trial: 77	77
CLExN6	NONE	649.50	539.70	Trial: 77	77
CLExN6	NONE	636.30	549.70	Trial: 78	78
CLExN6	NONE	640.40	539.20	Trial: 78	78
CLExN6	NONE	621.80	553.40	Trial: 79	79
CLExN6	NONE	640.10	533.20	Trial: 79	79
CLExN6	NONE	595.00	545.00	Trial: 80	80
CLExN6	NONE	619.10	541.90	Trial: 80	80
CLExN6	NONE	653.50	521.50	Trial: 80	80
CLExN6	NONE	681.40	569.70	Trial: 81	81
CLExN6	NONE	639.40	513.70	Trial: 81	81
CLExN6	NONE	661.00	528.30	Trial: 82	82
CLExN6	NONE	651.10	525.70	Trial: 82	82
CLExN6	NONE	644.70	545.00	Trial: 83	83
CLExN6	NONE	658.90	545.40	Trial: 83	83
CLExN6	NONE	647.60	526.40	Trial: 83	83
CLExN6	NONE	622.40	531.80	Trial: 84	84
CLExN6	NONE	636.80	510.90	Trial: 84	84
CLExN6	NONE	612.30	520.50	Trial: 85	85
CLExN6	NONE	631.60	512.30	Trial: 85	85
CLExN6	NONE	630.50	516.70	Trial: 86	86
CLExN6	NONE	634.30	503.80	Trial: 86	86
CLExN6	NONE	620.50	531.00	Trial: 87	87
CLExN6	NONE	638.70	516.40	Trial: 87	87
CLExN6	NONE	670.00	522.90	Trial: 88	88
CLExN6	NONE	654.00	523.20	Trial: 88	88
CLExN6	NONE	642.00	518.70	Trial: 88	88
CLExN6	NONE	624.70	543.40	Trial: 89	89
CLExN6	NONE	641.60	540.40	Trial: 89	89
CLExN6	NONE	645.10	529.80	Trial: 89	89
CLExN6	NONE	636.90	524.60	Trial: 90	90
CLExN6	NONE	633.70	533.30	Trial: 91	91
CLExN6	NONE	624.40	543.00	Trial: 92	92
CLExN6	NONE	641.00	528.40	Trial: 92	92
CLExN6	NONE	621.00	548.10	Trial: 93	93
CLExN6	NONE	638.60	529.50	Trial: 93	93
CLExN6	NONE	621.70	542.80	Trial: 94	94
CLExN6	NONE	641.60	524.50	Trial: 94	94
CLExN6	NONE	628.40	521.00	Trial: 94	94
CLExN6	NONE	636.90	520.80	Trial: 95	95
CLExN6	NONE	634.00	640.80	Trial: 96	96
CLExN6	NONE	624.80	526.90	Trial: 96	96
CLExN6	NONE	645.00	517.70	Trial: 96	96
CLExN6	NONE	617.20	552.60	Trial: 97	97
CLExN6	NONE	642.90	525.60	Trial: 97	97
CLExN6	NONE	647.00	521.10	Trial: 98	98
CLExN6	NONE	659.80	535.80	Trial: 99	99
CLExN6	NONE	645.10	527.50	Trial: 99	99
CLExN6	NONE	639.20	522.20	Trial: 99	99
CLExN6	NONE	618.90	531.90	Trial: 100	100
CLExN6	NONE	640.90	522.00	Trial: 100	100
CLExN6	NONE	669.80	534.80	Trial: 101	101
CLExN6	NONE	656.10	535.50	Trial: 101	101
CLExN6	NONE	642.60	525.90	Trial: 101	101
CLExN6	NONE	623.00	537.00	Trial: 102	102
CLExN6	NONE	639.80	524.70	Trial: 102	102
CLExN6	NONE	605.80	548.50	Trial: 103	103
CLExN6	NONE	629.90	546.60	Trial: 103	103
CLExN6	NONE	644.60	537.90	Trial: 103	103
CLExN6	NONE	639.10	528.80	Trial: 103	103
CLExN6	NONE	614.30	542.50	Trial: 104	104
CLExN6	NONE	633.30	521.00	Trial: 104	104
CLExN6	NONE	621.50	548.10	Trial: 105	105
CLExN6	NONE	635.00	536.40	Trial: 105	105
CLExN6	NONE	648.30	531.20	Trial: 105	105
CLExN6	NONE	638.00	517.00	Trial: 105	105
CLExN6	NONE	631.40	544.30	Trial: 106	106
CLExN6	NONE	639.40	527.40	Trial: 106	106
CLExN6	NONE	658.50	651.60	Trial: 107	107
CLExN6	NONE	663.40	579.50	Trial: 107	107
CLExN6	NONE	660.70	520.50	Trial: 107	107
CLExN6	NONE	657.00	544.00	Trial: 108	108
CLExN6	NONE	653.30	517.30	Trial: 108	108
CLExN6	NONE	648.40	515.30	Trial: 109	109
CLExN6	NONE	652.30	506.80	Trial: 109	109
CLExN6	NONE	663.60	539.80	Trial: 110	110
CLExN6	NONE	647.80	516.00	Trial: 110	110
CLExN6	NONE	647.10	515.80	Trial: 111	111
CLExN6	NONE	662.80	512.20	Trial: 111	111
CLExN6	NONE	654.10	514.00	Trial: 111	111
CLExN6	NONE	629.30	524.00	Trial: 112	112
CLExN6	NONE	648.10	524.00	Trial: 112	112
CLExN6	NONE	652.10	519.90	Trial: 112	112
CLExN6	NONE	640.20	527.60	Trial: 113	113
CLExN6	NONE	649.00	510.00	Trial: 113	113
CLExN6	NONE	648.70	504.00	Trial: 114	114
CLExN6	NONE	636.80	492.60	Trial: 114	114
CLExN6	NONE	637.20	513.80	Trial: 115	115
CLExN6	NONE	657.20	519.30	Trial: 115	115
CLExN6	NONE	644.30	519.10	Trial: 115	115
CLExN6	NONE	646.40	535.80	Trial: 116	116
CLExN6	NONE	658.10	532.50	Trial: 116	116
CLExN6	NONE	651.00	525.90	Trial: 116	116
CLExN6	NONE	637.70	537.00	Trial: 117	117
CLExN6	NONE	649.90	520.80	Trial: 117	117
CLExN6	NONE	640.70	548.70	Trial: 118	118
CLExN6	NONE	652.20	527.90	Trial: 118	118
CLExN6	NONE	653.30	521.20	Trial: 119	119
CLExN6	NONE	639.10	522.50	Trial: 120	120
CLExN6	NONE	651.40	525.00	Trial: 120	120
CLExN6	NONE	650.80	517.80	Trial: 120	120
CLExN6	NONE	656.90	539.80	Trial: 121	121
CLExN6	NONE	645.90	522.30	Trial: 121	121
CLExN6	NONE	637.10	509.90	Trial: 121	121
CLExN6	NONE	654.90	526.30	Trial: 122	122
CLExN6	NONE	654.10	529.80	Trial: 122	122
CLExN6	NONE	643.10	513.30	Trial: 122	122
CLExN6	NONE	645.10	508.70	Trial: 122	122
CLExN6	NONE	637.30	523.00	Trial: 123	123
CLExN6	NONE	646.60	519.30	Trial: 123	123
CLExN6	NONE	622.00	536.30	Trial: 124	124
CLExN6	NONE	639.30	532.90	Trial: 124	124
CLExN6	NONE	655.80	527.70	Trial: 124	124
CLExN6	NONE	649.40	513.60	Trial: 124	124
CLExN6	NONE	651.90	534.10	Trial: 125	125
CLExN6	NONE	633.40	512.70	Trial: 125	125
CLExN6	NONE	650.40	527.20	Trial: 126	126
CLExN6	NONE	640.20	533.00	Trial: 127	127
CLExN6	NONE	647.60	516.10	Trial: 127	127
CLExN6	NONE	643.40	507.80	Trial: 127	127
CLExN6	NONE	687.00	532.00	Trial: 128	128
CLExN6	NONE	674.30	517.20	Trial: 128	128
CLExN6	NONE	645.50	525.60	Trial: 128	128
CLExN6	NONE	658.70	541.30	Trial: 129	129
CLExN6	NONE	640.40	525.80	Trial: 129	129
CLExN6	NONE	630.80	544.20	Trial: 130	130
CLExN6	NONE	664.20	535.60	Trial: 130	130
CLExN6	NONE	648.20	528.40	Trial: 130	130
CLExN6	NONE	666.20	539.30	Trial: 131	131
CLExN6	NONE	649.50	519.40	Trial: 131	131
CLExN6	NONE	666.60	535.60	Trial: 132	132
CLExN6	NONE	646.30	520.80	Trial: 132	132
CLExN6	NONE	641.90	542.10	Trial: 133	133
CLExN6	NONE	645.20	538.50	Trial: 133	133
CLExN6	NONE	635.60	525.90	Trial: 133	133
CLExN6	NONE	647.30	601.80	Trial: 134	134
CLExN6	NONE	648.20	535.40	Trial: 134	134
CLExN6	NONE	683.30	520.90	Trial: 134	134
CLExN6	NONE	635.20	541.80	Trial: 135	135
CLExN6	NONE	645.40	529.30	Trial: 135	135
CLExN6	NONE	646.00	565.80	Trial: 136	136
CLExN6	NONE	632.50	542.50	Trial: 136	136
CLExN6	NONE	639.70	529.70	Trial: 136	136
CLExN6	NONE	661.60	545.70	Trial: 137	137
CLExN6	NONE	647.50	531.90	Trial: 137	137
CLExN6	NONE	641.70	538.80	Trial: 138	138
CLExN6	NONE	627.70	548.70	Trial: 139	139
CLExN6	NONE	641.80	530.40	Trial: 139	139
CLExN6	NONE	621.60	545.90	Trial: 140	140
CLExN6	NONE	637.80	535.90	Trial: 140	140
CLExN6	NONE	665.50	565.70	Trial: 141	141
CLExN6	NONE	641.90	548.80	Trial: 141	141
CLExN6	NONE	641.30	530.00	Trial: 141	141
CLExN6	NONE	622.00	539.20	Trial: 141	141
CLExN6	NONE	641.70	548.10	Trial: 142	142
CLExN6	NONE	662.20	539.10	Trial: 142	142
CLExN6	NONE	644.00	523.50	Trial: 142	142
CLExN6	NONE	642.50	534.10	Trial: 143	143
CLExN6	NONE	651.70	531.60	Trial: 143	143
CLExN6	NONE	644.70	518.60	Trial: 143	143
CLExN6	NONE	592.00	512.00	Trial: 143	143
CLExN6	NONE	635.70	540.10	Trial: 144	144
CLExN6	NONE	637.40	506.90	Trial: 144	144
CLExN6	NONE	639.30	533.50	Trial: 145	145
CLExN6	NONE	645.90	505.00	Trial: 145	145
CLExN6	NONE	608.50	505.30	Trial: 145	145
CLExN6	NONE	679.10	532.70	Trial: 146	146
CLExN6	NONE	641.00	521.10	Trial: 146	146
CLExN6	NONE	660.60	514.80	Trial: 146	146
CLExN6	NONE	646.30	505.90	Trial: 146	146
CLExN6	NONE	632.30	530.40	Trial: 147	147
CLExN6	NONE	640.20	513.50	Trial: 147	147
CLExN6	NONE	648.80	526.30	Trial: 148	148
CLExN6	NONE	644.60	509.40	Trial: 148	148
CLExN6	NONE	643.20	550.60	Trial: 149	149
CLExN6	NONE	635.30	545.30	Trial: 149	149
CLExN6	NONE	645.60	523.90	Trial: 149	149
CLExN6	NONE	610.00	513.30	Trial: 150	150
CLExN6	NONE	630.50	524.90	Trial: 150	150
CLExN6	NONE	638.60	518.40	Trial: 150	150
CLExN6	NONE	628.00	543.40	Trial: 151	151
CLExN6	NONE	651.30	530.70	Trial: 151	151
CLExN6	NONE	641.70	522.90	Trial: 151	151
CLExN6	NONE	641.40	522.70	Trial: 152	152
CLExN6	NONE	666.30	569.50	Trial: 153	153
CLExN6	NONE	656.40	520.90	Trial: 153	153
CLExN6	NONE	655.50	506.50	Trial: 153	153
CLExN6	NONE	611.60	521.30	Trial: 154	154
CLExN6	NONE	640.20	511.10	Trial: 154	154
CLExN6	NONE	659.80	522.00	Trial: 154	154
CLExN6	NONE	646.50	509.30	Trial: 154	154
CLExN6	NONE	666.80	536.30	Trial: 155	155
CLExN6	NONE	648.80	527.80	Trial: 155	155
CLExN6	NONE	629.20	541.20	Trial: 156	156
CLExN6	NONE	636.50	525.00	Trial: 156	156
CLExN6	NONE	618.50	544.10	Trial: 157	157
CLExN6	NONE	640.50	531.80	Trial: 157	157
CLExN6	NONE	629.40	534.20	Trial: 158	158
CLExN6	NONE	642.90	549.30	Trial: 158	158
CLExN6	NONE	634.50	524.30	Trial: 158	158
CLExN6	NONE	664.80	546.50	Trial: 159	159
CLExN6	NONE	646.60	543.10	Trial: 159	159
CLExN6	NONE	631.50	529.00	Trial: 159	159
CLExN6	NONE	632.80	555.00	Trial: 160	160
CLExN6	NONE	640.70	528.20	Trial: 160	160
CLExN6	NONE	597.40	544.20	Trial: 161	161
CLExN6	NONE	626.50	526.20	Trial: 161	161
CLExN6	NONE	632.80	537.20	Trial: 162	162
CLExN6	NONE	635.90	525.50	Trial: 162	162
CLExN6	NONE	626.40	553.60	Trial: 163	163
CLExN6	NONE	641.70	533.40	Trial: 163	163
CLExN6	NONE	629.40	521.30	Trial: 163	163
CLExN6	NONE	636.60	554.50	Trial: 164	164
CLExN6	NONE	643.40	539.60	Trial: 164	164
CLExN6	NONE	621.10	538.90	Trial: 165	165
CLExN6	NONE	633.70	535.60	Trial: 165	165
CLExN6	NONE	644.90	526.90	Trial: 165	165
CLExN6	NONE	626.50	531.90	Trial: 166	166
CLExN6	NONE	642.10	524.50	Trial: 166	166
CLExN6	NONE	600.60	520.40	Trial: 166	166
CLExN6	NONE	630.60	547.10	Trial: 167	167
CLExN6	NONE	651.50	539.40	Trial: 167	167
CLExN6	NONE	640.10	534.70	Trial: 167	167
CLExN6	NONE	635.50	536.10	Trial: 168	168
CLExN6	NONE	662.60	546.40	Trial: 169	169
CLExN6	NONE	655.10	545.40	Trial: 169	169
CLExN6	NONE	650.40	544.80	Trial: 169	169
CLExN6	NONE	641.30	535.40	Trial: 169	169
CLExN6	NONE	650.10	545.40	Trial: 170	170
CLExN6	NONE	648.30	533.60	Trial: 170	170
CLExN6	NONE	621.50	530.40	Trial: 170	170
CLExN6	NONE	635.20	547.00	Trial: 171	171
CLExN6	NONE	643.40	535.80	Trial: 171	171
CLExN6	NONE	673.50	543.30	Trial: 172	172
CLExN6	NONE	649.10	538.50	Trial: 172	172
CLExN6	NONE	633.10	532.00	Trial: 172	172
CLExN6	NONE	659.70	551.80	Trial: 173	173
CLExN6	NONE	633.80	550.80	Trial: 173	173
CLExN6	NONE	658.30	549.80	Trial: 173	173
