experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	0 	EC 	 oneCued 	 0.0 	 left 	W 	F 	0.0 	2 	0 	2.0 	IPTLRJGBUOFYWENQSXVDCZKMHA	ZSDBMOWNIQHCRGJKPYEUFATVLX	TJXKIEDGFMWNOBLPZCRVYQAHSU	RSOTAMXPVHLUNCDIZQEFBYWKJG	EUJZVNLORCGFQPHIYMSDBAWTKX	CHSFLXDJOMYUVBIPKZWTRQAGEN	0
main	1 	EC 	 oneCued 	 0.0 	 left 	E 	N 	0.0 	5 	0 	4.0 	WISNHVOXYJCEMRFQGTULBPDZAK	DWIYOKSCNABEQPTMLRZVXGJHUF	DGUTSZQYKEBPAFHMINXLVOJRWC	SLUGNXHYAIOEJCRDVFKQMBZTWP	PZORITWFGQNXULYSKAEHJCMVBD	KVBYWHNUMJEOZRQXTPFIGSCADL	0
main	2 	EC 	 oneCued 	 0.0 	 right 	M 	M 	1.0 	0 	0 	0.0 	SVYKTDBXMLUWAGNIJOQPCHRFZE	NJIDFBYLEXVSRMQWHAGPTUOZKC	NGZFVDBLUOPHCRXWYTKIQEASJM	WNMOTSYHRDQEFLUAJBIKPCGZVX	MKOUXIQPRHJVBNSALTWGFCZEDY	NVDXUQBOWZHKJFYGRTIEAMPCSL	0
main	3 	EC 	 oneCued 	 0.0 	 left 	E 	M 	0.0 	1 	0 	11.0 	WEHRPCAUXDOQLZBGKNIJVMFTYS	QJITXCPMFYLRBNASDUEZGVOWKH	UINSDTABHPYZRGXVQCEMFWKJLO	CBNOIEZJYWRHQLAXKUMSPTGDFV	TQVZWRPDMGXOEJHUCYSBNLAFKI	VMTGQDHCOPFNASXZLKEBRUJIWY	0
main	4 	EC 	 oneCued 	 0.0 	 right 	W 	W 	1.0 	2 	0 	0.0 	VPMTQHWBKCIJASDLRUEFYXZGON	GDJTSCMOVZRIQPUNBWFHLEAYKX	CMJZSORVXHWBGIQKEFNAPLUDTY	WPYQJLENHIZGSRVMTXUBCAKOFD	UEZLORMJTYQKCDWIAXFNBPGHVS	TAFHVQSPGOMDJKXWYRIUZCBELN	0
main	5 	EC 	 oneCued 	 0.0 	 left 	Z 	P 	0.0 	0 	0 	1.0 	JERMDFOTGPZXCASHLWNIVQBYUK	REOXPNUSAJWILZGMKFVQHBYCTD	DXAPJZOUBHVYEFIQKLWRNMTGCS	IQVCGWSXAFRMOJUBNKTPYHELZD	CTMRBYUDVFGKHPSQXAOIZELJWN	XENWQGIOPVALHBFZSTMDKCUYJR	0
main	6 	EC 	 oneCued 	 0.0 	 left 	B 	B 	1.0 	2 	0 	0.0 	XUDBEWAIMFSHKJRNCVQPYOLGZT	PRNBIOAETLXFQUYVSHGKCDMWJZ	MSVTUOEWZIBJLCNGDPRFQKHYAX	YELKQOFGTUSMIBVARCNPHWJXZD	JNQLIHVPUETMKXWGFBACDYSORZ	OQFAUDYPMIHNRJVKCTBXSWEGLZ	0
main	7 	EC 	 oneCued 	 0.0 	 right 	G 	F 	0.0 	5 	0 	-3.0 	HQZFDJUCYITRABMWSNGLXVPEOK	FCAGPLOWXEMSYDKBRVUZNTQJHI	TSEWLDKNYPXHFAQMJGBOUCRIZV	RXPNWGTVSMUHBIJLKOFDAEZQCY	TSQAZPCHKBLUFMNWOVGXJYRIED	KEZUIWNGYHFQACRBVOXJDSMTLP	0
main	8 	EC 	 oneCued 	 0.0 	 right 	R 	J 	0.0 	0 	0 	2.0 	DKXMNLJORBZGFTAEVUQHISYWPC	TNGQZCEUJSOWBFYKPDRHVLXIAM	IHAXOYQCVPTWRZKFBJSNMLUDGE	DVOGRWFETSAQXUPNHIMBLJKCYZ	OKEZRDJSFWXHVMCQGTLPNBAYUI	MIYEVDRBTWFAOJPXSKZCGLNHQU	0
main	9 	EC 	 oneCued 	 0.0 	 left 	S 	M 	0.0 	3 	0 	1.0 	YVMCFZIDLEJUPQWRXGNOKSBATH	FGVNJPEYQOWBDCIXMZLKURAHTS	IPHJVQMAZTCRDUSWNGYFEBLOXK	VFKIOTWMSYEQXZBUHLDJACGRNP	XZBNROTCIAPGULKSQEVYWFMHDJ	WIOPXFHGQVCMNJUZRDYBKLASET	0
main	10 	EC 	 oneCued 	 0.0 	 right 	G 	G 	1.0 	5 	0 	0.0 	JUMXRIBHOZWAYVEPQKLCNSDFTG	GNSADRTYJWPUMBICKZVQOHEXFL	QHIPUKSEZCTYDVGALXWMNRFBJO	UIFHODXQVYAZGCKTLSPEBMWNJR	CJBNLOZEPWFIRTADKHSXQGMUVY	QHOFJVNEPGBCZWXSAKIUMTRLDY	0
main	11 	EC 	 oneCued 	 0.0 	 right 	P 	Q 	0.0 	4 	0 	3.0 	EQKVIUAZMJXWOTBFCHGSNLDRPY	GWNFIJHDKUCYSVMOLABPQTRZXE	XICPNLHFBMJVROTSGQZEYWUDKA	WUASFLTYQXPHMIRJKBGODNEVCZ	AJZIKHQMCPGEXRDYBVUFLSNOWT	DXLCZMIRSUYKQNHPVOBJEFGATW	0
main	12 	EC 	 oneCued 	 0.0 	 right 	E 	V 	0.0 	0 	0 	1.0 	UINZBGQWVERDOHMLATFXYSCKJP	QJOKMLHBIVUZDSXGAYPTCFWNER	GLUVYOFSKDNBMQITECRPZXAHJW	HXMAITRPLUBSCGQOJZKDYNFWVE	PJMBLYUGZXVHEFKCDRONWTSAQI	RWVFSZLIGJPADOTMYXHEQNBCUK	0
main	13 	EC 	 oneCued 	 0.0 	 left 	G 	H 	0.0 	5 	0 	15.0 	HODQYXNLJKRTMWAZISPUBGVCFE	KGWNYMCFVIDRSTZJPQEOHXAUBL	VZMCKNHXERGLWOYIPQUBJSTDAF	JPZSRHYVMGTBUAFOIWKDEQNLCX	IOBXHSFKPMADYNWLERTUQVGCZJ	FVJKAMURHQIPTZYBEXOSDNWGCL	0
main	14 	EC 	 oneCued 	 0.0 	 right 	E 	H 	0.0 	5 	0 	1.0 	JYKPNMHWCSVEUIRFTGODZLABQX	MHXKBOUDSAIGYFTNJQCVEPLRWZ	YKSNOBXPEIJTCFQWZDLVUGAMRH	WLDRPNCXUJOSAEBVKMTYGIQZHF	YSWGEINTZBCMOJAVLKRPDHUQFX	ZPSRNFDHETLOUABCYWJKIMXQGV	0
main	15 	EC 	 oneCued 	 0.0 	 left 	S 	Y 	0.0 	2 	0 	1.0 	HOXKEFSLZQATPGDYWICBMUVJNR	ETYGNWOBJZMADXLUVIKSCQHPRF	BJOMRCPZIDYSWXTHGQELAKUVNF	RFKGCQMYBWZHTXUSJIANOPDLVE	FWCHTXAVDZIKMLBUOGNSERQJYP	NMHCPZXBESQIDYFOWARKUTLJGV	0
main	16 	EC 	 oneCued 	 0.0 	 right 	S 	E 	0.0 	0 	0 	1.0 	GZNAMJQESKWDULRFVYCTBOIHPX	FDMUSQJAYVGHBRXELNKPWOCZIT	BJIVAPNHMCXUZORFWTYELSQKDG	VYPQOSGWIZLDBHRKMXFAJNEUTC	IMXPHRSEYANBLDCZKOQWJTUVFG	VSDBFEJOIPLNRUXKQTAMYHGCZW	0
main	17 	EC 	 oneCued 	 0.0 	 right 	T 	U 	0.0 	0 	0 	14.0 	XEPYAFMZSUOBGQVRIKNCJHLTDW	GSJNMOCHFQWAKVRLBXPDIUZTEY	QDMSXAKRHIUVZWBEJYPOLGCFNT	XHOTCGBNZRAUWQEVJFMLIKDPYS	JBTYZFIHANDSPMGKUQVLORCEXW	HFXRZTIWMPVOGJLAYKCBEUDQSN	0
main	18 	EC 	 oneCued 	 0.0 	 left 	P 	R 	0.0 	4 	0 	-1.0 	EUBWKXFZJHYIQMPRAVDGLSNTOC	WLKJROSTHMUIYCQEGZXFNPBDVA	PFAIQKXMVHZWGJBNRLCDESYOUT	SQWYBLXTCHFURMIGJPDNKAEVZO	AVODUHYWPRSCFTEZNXMIQKGLJB	EWRPTGALJZXCIFKYNMSVBDUOQH	0
main	19 	EC 	 oneCued 	 0.0 	 left 	G 	G 	1.0 	0 	0 	0.0 	VYSOJWGACXQNMUZEFKDTBHLIPR	ZGDMSCJWEIRBQUFKLTOHAYNPXV	VIQTRWNCYDMUZOKEABLPXHJFSG	IRSWCZJHUNLFTQOVXGEKPDAMBY	SWBLJVXMHNTAOFDYGIKUCZEQRP	CVWMUQZIJOYKDERXBTNHGFLASP	0
main	20 	EC 	 oneCued 	 0.0 	 right 	K 	C 	0.0 	1 	0 	1.0 	PCHNRKSTJBXVIUMYWGLEZAQDFO	GBAPUZCKQMETVLIOXDSHRFWYJN	CFPXYSTOVDRMBHNZULGJKWEIQA	XGEDOCUQKWYSLMPTNRAIJFBHZV	FPHMSGAWCBZVNJIDEXLUKRYTOQ	PMHFWSZUJVNTQCAEGBLYXIDOKR	0
main	21 	EC 	 oneCued 	 0.0 	 left 	B 	T 	0.0 	2 	0 	1.0 	XFWRMGQBSOVPHJCAKYNUELZDTI	NHYGPXTSBWEIARZVQLOFUCKJMD	ZAQSNEJWVXTBCFDUHIROPKLYMG	JWFIXSTMABRQUONGVLEDYPZKHC	MNKLJVPHWBAIOEYURQZFXGCTSD	BNWDOFXTLZSJEHRVPAGIQKUMYC	0
main	22 	EC 	 oneCued 	 0.0 	 left 	X 	F 	0.0 	5 	0 	1.0 	QOHINEZPLXDGCKTMJFSWAYRUBV	FMCWDTLQYVSAPGBUZONJKIHEXR	PEGUKFDYRCQZLTXHWSIVJNBOAM	JKYBFPUWHGXVAQCILRETODMSZN	IBAXMCUPGRJHZVFNSEKYQTLWOD	OKEMSYZCDTFXVUJLQHWINBAPGR	0
main	23 	EC 	 oneCued 	 0.0 	 left 	F 	W 	0.0 	3 	0 	1.0 	SJCHGFIXLQWPBDYMKUTZNAROVE	KVIOCXPQYNMWGSEDAUZHBTFRJL	OAERCJWYXDMZHFGPQTNBUKSVLI	IHNZYVWFQAPKRMSBCGDJEXTLOU	PHRKJWIAONBYTSVMCXDGLFQUEZ	SKDRNTVEYLQMWXBICUHJAZFPGO	0
main	24 	EC 	 oneCued 	 0.0 	 right 	W 	W 	1.0 	2 	0 	0.0 	JXEZVWLQPCUKISAMNBRDHOTYFG	NPYCQJALIUFKREOTWXZSVGBHDM	YXJLTQCWHIVKMBEDSROZGANPFU	MUWYIOSPAGRELHTBNVJKFCDXZQ	ICESHPDVZRUFYBAOLMGKNTWXQJ	QOSJVHPNREXCFYIBTMUAWZDLKG	0
main	25 	EC 	 oneCued 	 0.0 	 right 	G 	O 	0.0 	1 	0 	1.0 	LNZBOQIDVUPTFCMAKHJXYREGSW	NLSPQDXJYTOGKABRWVZHFMCUIE	KBHRADXZVUWOGPNLSFCQJMEYTI	QLUDHSVMIWBCZNRPEYJXGKTOFA	FLXNIKQMEBJGSPZWCYTVDUAHRO	VNSYCGFTEALXMWQPOHZDRKUIJB	0
main	26 	EC 	 oneCued 	 0.0 	 right 	W 	J 	0.0 	4 	0 	3.0 	TXDABLNICOEMFKWHGYPQSRVJZU	LYIGTDQVXCJBWUNFKMOPZRAHSE	MIUPTNEOSAYBXZKFWCGRDLHJQV	AMOFTXIGSULWJBQDCVPZRYNHKE	CPFSZQRHXJAVWEBYTILNUOMKDG	RWSLICTOJKBVNZAHDXFYGEPMQU	0
main	27 	EC 	 oneCued 	 0.0 	 left 	G 	M 	0.0 	3 	0 	1.0 	HWMZCYSBIENQVFPKXLTARGJDOU	MNPHYOIJDFXLRCKTBSGEZAQVWU	PKAUQHLCRVNJXTWEZOYGDFBMSI	RZIFEHPJMGCTNOKALXYVQUBSDW	DIRGPZHEMTNLQOUFCAKSXJYBVW	BRYJSZEQNTUVLDKWGMOIFXAHPC	0
main	28 	EC 	 oneCued 	 0.0 	 right 	W 	V 	0.0 	2 	0 	3.0 	AGLBQEIHKPRUDSWFMZNVJCXYTO	QAPDOJHXCLRTSENFGZWBIYVUMK	EMUAZNYCVOKWSRXLGTIHFDBPJQ	KRZSTVUIWNYCJQXDPELGAFOMBH	FPRUZAOHTJLNYKWGQEXDSBCIVM	IMFDQPTBKOLYSJREHAWXUNVZGC	0
main	29 	EC 	 oneCued 	 0.0 	 left 	M 	X 	0.0 	3 	0 	-3.0 	OENWRYQIPZLKFXHBTVMGSDACUJ	TFPJCOMNUKZRYHSBAXWLGDVIQE	PMVGEDRYQCTIHXLBWKOASZUFNJ	URZAVOMPCXNTEWSJGQBHFLIDKY	LKWPOQTSYDHIREMUZNJAGXCVBF	UNGPTZOJAWXCVMKEDHBSLQFIRY	0
main	30 	EC 	 oneCued 	 0.0 	 left 	S 	P 	0.0 	5 	0 	1.0 	PTRBOUJDXVYSLQWZKMHINFGAEC	MSFEBYKGOJRXCNZIWDUHQTPLAV	TYDXKESGVHPRCUQFWIOZBMLJNA	SIZKQBEUFPRMWNCDJYLHVOGTAX	BUHGYXTOWPDVZAIEJSKRFNMLCQ	HLCIYAJPSODQETWRKNVFMZBUGX	0
main	31 	EC 	 oneCued 	 0.0 	 right 	A 	A 	1.0 	4 	0 	0.0 	KQINGERWLZJOVAMYHFUXCTDBSP	IYACBTLMERZXPKGDHVSNUOFJQW	YOHCLETQKISFUBMGXARDWZPJVN	JVNLAOXFYCEZDGITKUMHPSWRBQ	BDIUZSVPAYOLTNQGWFMHXCJKRE	QABDMIGHSJEOTUCLPYRZNFKVXW	0
main	32 	EC 	 oneCued 	 0.0 	 right 	U 	U 	1.0 	2 	0 	0.0 	XCTRDVEAYPUBNJHQMWOKGLZFIS	UJNVSDYILFZTCQRHPAWKBOEGXM	YQFMPJSTBUDKROZEXLGHWVCAIN	CVQNGASRDPLEKZIFTOXMHBJYUW	ETWKVXHSJNCRGZFQBODAUPMLIY	CRNYOTLXIUASPMEWQHFGZVJDBK	0
main	33 	EC 	 oneCued 	 0.0 	 left 	C 	F 	0.0 	3 	0 	1.0 	FTEHWNUIGCOYVRSLXDZJAMKQPB	YIPQZBUHNFSXDVGAKMJCLROWET	NOYWTRKHFBXLACDPMJZEVUISGQ	ARTMYENFCVQUHBSZKJGXDOPILW	LHUOCKNAEMFZQSDWBIXTYGJVPR	CHQNTAFSZRLGUXPBOEMWKIDVJY	0
main	34 	EC 	 oneCued 	 0.0 	 left 	S 	S 	1.0 	4 	0 	0.0 	TBMOYJXQAFKGEIRUVWLNDZSHCP	ISFYVTCGZPEWQOAUBKMRJHDXLN	JSGWEYKOPDMBURIHLAXZCFVTNQ	YTJESLZAXGBRMHKWIUQFDVPCNO	MLPNICBHSAOGFWUZEQVXTKRDYJ	UCYTEGQZDHFXMSNWPKAJVOLIRB	0
main	35 	EC 	 oneCued 	 0.0 	 right 	W 	W 	1.0 	4 	0 	0.0 	GJROXWKDSVZCNMABHPFLTEQUIY	RLIFSOENQBJVCUXAKYDHMGTPZW	GOYWRDUQBLIHZSAMXPJCFNKTEV	TKWHJXOYINLSBRDQGPZEUMFCVA	ORFCJUXSTAWBKINYQPEVZDMHGL	VKFXBCRLNTQEHUJYPSIODZAWGM	0
main	36 	EC 	 oneCued 	 0.0 	 right 	B 	B 	1.0 	4 	0 	0.0 	EQCYRIHGASVWPFDZTOMNXLJBUK	NEZCRJTFQDXOVUHWPYLKMBAIGS	FXTRLKYWPCQHGOUVJMEZSBANID	IKTHLOCESRGPFMXUWNZDJVYBQA	DWOTEHBGIYAKSMXPJZULRVQNCF	NTYIEQPXFWSARVBOCGJMKHDLUZ	0
main	37 	EC 	 oneCued 	 0.0 	 right 	M 	P 	0.0 	3 	0 	10.0 	VDSTFYQAICJXGWONRKMEZHLPBU	XVUHEYFRPANOTDGBLICMKZQSJW	EMJLGDVZUNYOKFBSQARPXITWCH	FLGBSOAPHDZKJXWEVMYNIQTURC	PNXSMRZJHWCGYIEKVFLDQAUBTO	NLUGTMXPCJZFQOEIAVWDYRSBHK	0
main	38 	EC 	 oneCued 	 0.0 	 left 	X 	Q 	0.0 	1 	0 	9.0 	RQDJEAXUMCHNFWYSLITOPGVBKZ	PCDOVUHAMQYKNWGIRZXJSFBETL	TNVARXBYSDQLKCZOHGEJWIFUMP	CGYMOLNDARQTSUIXFVEBZWHKPJ	DPUSHOWMNRKGBCEJTYXIAVQLZF	WRZGAEIMQBXUFLPOCSVHJTDYKN	0
main	39 	EC 	 oneCued 	 0.0 	 left 	G 	R 	0.0 	0 	0 	-6.0 	GHJADNRCQFMSLVEIBUPKXOTZWY	LTZFGCIEJQWBYKOPUVRSMDHXAN	LDFHAEZVXUCIKBTMQPJGSRYWON	DWKAOGVYPULHSTEJQCBMZIRNFX	IHSZMXCJBVENFQWTPKGODLARYU	PYGQMDLACOFRSBTWZNXEIUHJKV	0
main	40 	EC 	 oneCued 	 0.0 	 right 	Q 	K 	0.0 	5 	0 	1.0 	QWHSJITRNBALVOZXDEFKGMYPCU	VSUCOQAWEMDRFBJPHXTINGKZYL	DQMZOWAPLKSBYGTJICRUHXEFNV	HCRQVOUAMLJTBEFIWKPZDGNYSX	KJXWCIBVUNOSDTZMEQRFYAGPHL	OGCYVLIXNKQFHDRPTAESBZUWMJ	0
main	41 	EC 	 oneCued 	 0.0 	 right 	K 	U 	0.0 	3 	0 	1.0 	AKFJGPWHVNZTULBXQYECSDOMIR	XQJROUTKSCIVAFGBZEHDLMWYPN	PSDBMQYJNETIGHZWUKXVRLCOAF	JMPNEZQTXIUKLWFVCGBYOSHDRA	ARUCJMEISNOYGKFWDVZLHPXBTQ	GXHNMIOCBAZSDTFLJPEWRYKQUV	0
main	42 	EC 	 oneCued 	 0.0 	 right 	G 	N 	0.0 	0 	0 	1.0 	BIMEFWPLNGOXUVHADSTZRCJKYQ	LDBEFNROGZYQWHXAKVMPUJTICS	DQJUXMWNGSYIKHTVZRFLOCPEAB	JZFMVTHGOCDUQNEBILKARXPWYS	JKAGVBWTODEUHYQPFZRMLXNSIC	GVLORIXAUJEWKCDQNFBYHPMTSZ	0
main	43 	EC 	 oneCued 	 0.0 	 left 	Y 	N 	0.0 	0 	0 	2.0 	XUBQPLCNVYTRGESWZAOHJDIMKF	XHJLSWEBGNDCUAVTFRKYPZMQIO	KJXELQVNWPORUMHBICFGZTYSAD	IXZCHTSUGPENJABRLWYVODKFQM	SDAVCGNHXQPFLTYOZWEIRKBMUJ	CXTVQKAGYUMLFSNEPOBRIWJDHZ	0
main	44 	EC 	 oneCued 	 0.0 	 right 	A 	A 	1.0 	4 	0 	0.0 	KFQHRSDBEAYZIMLNXUJGOTVCWP	UAHJLORSFYIPGNETMCQVWBXDZK	TKEPHAXOJCRSMDZVUWLFIGNYBQ	VNBUJSGMOEIKFQTRADZHXLPYWC	POFQKMRVTWAJXCLEDNZSIUYGHB	NZFJTORYUXLBAGHWSQIMKPCEVD	0
main	45 	EC 	 oneCued 	 0.0 	 right 	G 	O 	0.0 	5 	0 	1.0 	MLVOGRUWPSJCNTIBEXHDKZYQFA	RNJMUKWFDHBSQALXPCIVOYEGTZ	ACWLHETXGOYUSVMQRIBFDJNZPK	WHUOERPTBAQLXZSIGYJMCFVNKD	LDKSWCGJXAMPZVUYEQTNOBIHFR	LJFEZSYOGTKHRVANMWPUDXBQCI	0
main	46 	EC 	 oneCued 	 0.0 	 right 	M 	I 	0.0 	3 	0 	-1.0 	SHLTKOAEGPBFJYVCDMXIURNZQW	QDJPEKAOBUZYHGCWFNTRMVLSXI	RVHDKECWTFSJMLBUAZOIXYNGPQ	YHPDSJOMIRZLGEAUXNVWTQKCBF	BDFRGNSMLJTAVZPYWKHIXEUQOC	LROZFDAYVXEGUKIMNTBHPCJWSQ	0
main	47 	EC 	 oneCued 	 0.0 	 left 	S 	Z 	0.0 	3 	0 	1.0 	ZOUQLDSMIJHRKCGNAWPBYXEFVT	OKAVPSMZXNRGHDQJTCWUEIYBFL	JGMORFNUHWQDTVAZBEKLIXSCYP	LHOWDPZSAKGJMNUYRIEBFQTVCX	AFQRNEWLIZJBTHVXOGCPUMDSKY	LMBHNTJYXSQDAVUZRPIWGFOCEK	0
main	48 	EC 	 oneCued 	 0.0 	 left 	W 	I 	0.0 	2 	0 	2.0 	ADCUKFZYXOPWLERJVGTISBQMNH	IFZPWRUDGYNEHMCSOQVTABJKLX	ZVPEYHLGFOINWJQDUKMRCXBAST	CVXRQHAYPGLBZUJMNWDSKEIOFT	CJOKLGWTYIAHMUNERPXZBDQSVF	LPCAGUDBMIKHXJYOWVZTSQNFRE	0
