RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_MSG_TIME_1	CURRENT_FIX_START	CURRENT_FIX_END	CURRENT_FIX_DURATION
AM3	1	NONE	506.80	382.20	.	7	283	277
AM3	1	NONE	464.00	377.20	.	309	590	282
AM3	1	NONE	521.60	380.50	.	617	1639	1023
AM3	1	NONE	509.40	384.60	.	1649	2151	503
AM3	1	NONE	483.80	356.10	.	2173	2573	401
AM3	1	NONE	456.30	374.50	.	2594	2838	245
AM3	2	NONE	517.00	383.80	.	7	298	292
AM3	2	NONE	461.90	398.10	.	324	521	198
AM3	2	NONE	503.80	382.60	.	545	1511	967
AM3	2	NONE	491.30	361.40	.	1534	2273	740
AM3	2	NONE	445.00	387.20	.	2309	2830	522
AM3	3	NONE	508.80	382.00	.	7	328	322
AM3	3	NONE	472.20	338.00	.	352	1058	707
AM3	3	NONE	490.60	366.60	.	1081	1443	363
AM3	3	NONE	459.60	332.40	.	1466	2538	1073
AM3	3	NONE	552.10	425.40	.	2569	2829	261
AM3	4	NONE	509.40	383.70	.	7	242	236
AM3	4	NONE	550.70	425.70	.	268	437	170
AM3	4	NONE	514.70	371.70	.	460	1163	704
AM3	4	NONE	481.60	365.60	.	1183	1571	389
AM3	4	NONE	485.10	336.40	.	1590	2392	803
AM3	4	NONE	423.80	385.40	.	2433	2830	398
AM3	5	NONE	508.70	388.00	.	7	307	301
AM3	5	NONE	487.80	413.10	.	327	500	174
AM3	5	NONE	540.70	362.80	.	526	1174	649
AM3	5	NONE	470.60	440.60	.	1221	1403	183
AM3	5	NONE	519.70	392.90	.	1429	1977	549
AM3	5	NONE	559.00	351.30	.	2001	2406	406
AM3	5	NONE	468.40	438.10	.	2451	2829	379
AM3	6	NONE	510.10	379.60	.	7	2833	2827
AM3	7	NONE	513.20	390.00	.	7	2833	2827
AM3	8	AFTER	510.70	389.90	.	7	427	421
AM3	8	BEFORE	498.90	384.90	.	592	1001	410
AM3	8	NONE	517.50	390.50	.	1019	2418	1400
AM3	8	NONE	580.50	395.20	.	2444	2829	386
AM3	9	NONE	513.50	382.10	.	7	580	574
AM3	9	NONE	503.00	328.50	.	605	1024	420
AM3	9	NONE	506.90	358.10	.	1045	1516	472
AM3	9	NONE	500.80	314.70	.	1538	2829	1292
AM3	10	NONE	509.70	372.10	.	7	2836	2830
AM3	11	NONE	502.20	382.40	.	7	2833	2827
AM3	12	NONE	513.40	384.00	.	7	284	278
AM3	12	NONE	515.90	336.60	.	313	568	256
AM3	12	NONE	515.00	395.50	.	595	1070	476
AM3	12	NONE	507.40	328.30	.	1094	1423	330
AM3	12	NONE	516.70	301.70	.	1436	2829	1394
AM3	13	NONE	524.70	365.60	.	7	2836	2830
AM3	14	NONE	505.80	387.10	.	7	2793	2787
AM3	15	NONE	516.60	386.30	.	7	2829	2823
AM3	16	NONE	511.10	383.40	.	7	1362	1356
AM3	16	NONE	493.70	358.80	.	1383	1862	480
AM3	16	NONE	511.10	370.90	.	1888	2834	947
AM3	17	AFTER	517.10	375.50	.	7	602	596
AM3	17	BEFORE	514.70	374.90	.	857	2837	1981
AM3	18	NONE	512.60	384.30	.	7	281	275
AM3	18	NONE	506.60	366.60	.	300	2829	2530
AM3	19	NONE	513.40	387.80	.	7	281	275
AM3	19	NONE	490.40	370.90	.	296	1101	806
AM3	19	NONE	503.90	363.40	.	1122	2835	1714
AM3	20	NONE	515.70	376.70	.	7	2830	2824
AM3	21	NONE	520.30	374.00	.	7	2830	2824
AM3	22	NONE	521.80	386.70	.	7	2829	2823
AM3	23	NONE	505.80	388.80	.	7	2365	2359
AM3	23	NONE	513.50	326.10	.	2390	2832	443
AM3	24	NONE	515.20	382.70	.	7	2830	2824
AM3	25	AFTER	513.80	379.30	.	7	838	832
AM3	25	BEFORE	503.00	356.70	.	992	1147	156
AM3	25	NONE	508.40	370.80	.	1160	2834	1675
AM3	26	AFTER	501.70	379.00	.	7	801	795
AM3	26	BEFORE	490.60	358.30	.	998	1180	183
AM3	26	NONE	507.10	366.20	.	1199	2407	1209
AM3	26	NONE	465.40	317.30	.	2432	2836	405
AM3	27	AFTER	507.00	381.10	.	7	590	584
AM3	27	BEFORE	502.30	353.40	.	717	1460	744
AM3	27	NONE	493.50	330.10	.	1478	1856	379
AM3	27	NONE	503.60	342.60	.	1880	2830	951
AM3	28	NONE	513.30	376.30	.	7	2830	2824
AM3	29	NONE	511.30	370.10	.	7	2831	2825
AM3	30	NONE	514.90	380.40	.	7	2330	2324
AM3	30	NONE	550.70	344.90	.	2356	2830	475
AM3	31	AFTER	532.80	402.80	.	7	393	387
AM3	31	BEFORE	529.00	363.30	.	516	1161	646
AM3	31	NONE	525.70	369.80	.	1169	2432	1264
AM3	31	NONE	592.50	361.10	.	2459	2837	379
AM3	32	NONE	514.90	377.50	.	7	2830	2824
AM3	33	NONE	500.30	383.40	.	7	751	745
AM3	33	NONE	472.90	397.60	.	767	1176	410
AM3	33	NONE	520.30	390.10	.	1199	2830	1632
AM3	34	AFTER	517.20	386.80	.	7	574	568
AM3	34	BEFORE	510.40	387.70	.	855	2831	1977
AM3	35	AFTER	508.20	380.80	.	7	1011	1005
AM3	35	BEFORE	509.00	378.10	.	1200	1456	257
AM3	35	NONE	520.70	389.50	.	1475	2830	1356
AM3	36	AFTER	510.50	383.00	.	7	920	914
AM3	36	BEFORE	503.30	373.40	.	1136	2831	1696
AM3	37	NONE	510.70	380.10	.	7	344	338
AM3	37	AFTER	515.10	337.20	.	365	585	221
AM3	37	BEFORE	501.20	371.20	.	805	1170	366
AM3	37	NONE	510.60	379.40	.	1178	2013	836
AM3	37	NONE	520.70	310.90	.	2038	2803	766
AM3	38	AFTER	511.90	383.30	.	7	1003	997
AM3	38	BEFORE	502.10	380.70	.	1143	2838	1696
AM3	39	AFTER	504.70	379.90	.	7	1027	1021
AM3	39	BEFORE	503.80	382.20	.	1214	1551	338
AM3	39	NONE	513.70	339.70	.	1575	2832	1258
AM3	40	NONE	519.60	376.20	.	7	2834	2828
AM3	41	NONE	515.40	368.30	.	7	2718	2712
AM3	41	NONE	800.10	369.40	.	2772	2829	58
AM3	42	NONE	504.80	387.60	.	7	271	265
AM3	42	NONE	490.70	381.50	.	286	2835	2550
AM3	43	AFTER	517.30	383.70	.	7	649	643
AM3	43	BEFORE	505.50	378.40	.	843	1058	216
AM3	43	NONE	523.60	381.70	.	1081	2297	1217
AM3	43	NONE	596.60	376.70	.	2331	2835	505
AM3	44	NONE	512.80	374.00	.	7	2831	2825
AM3	45	NONE	514.80	383.60	.	7	285	279
AM3	45	NONE	474.80	374.60	.	306	539	234
AM3	45	AFTER	508.10	372.90	.	562	974	413
AM3	45	BEFORE	498.20	388.20	.	1116	2830	1715
AM3	46	NONE	522.00	379.20	.	7	2829	2823
AM3	47	NONE	511.10	379.80	.	7	289	283
AM3	47	NONE	511.70	321.50	.	312	579	268
AM3	47	NONE	509.10	359.60	.	602	1687	1086
AM3	47	NONE	503.60	298.60	.	1711	2829	1119
AM3	48	NONE	515.60	384.40	.	7	311	305
AM3	48	NONE	490.50	400.30	.	332	603	272
AM3	48	NONE	513.30	394.30	.	623	2836	2214
AM3	49	NONE	514.10	392.80	.	7	1341	1335
AM3	49	NONE	500.40	334.20	.	1364	2834	1471
AM3	50	NONE	504.30	384.80	.	7	427	421
AM3	50	NONE	516.50	370.50	.	451	2830	2380
AM3	51	NONE	510.20	364.70	.	7	2830	2824
AM3	52	AFTER	513.30	384.80	.	7	521	515
AM3	52	BEFORE	512.10	387.70	.	768	1168	401
AM3	52	NONE	526.10	385.00	.	1182	2836	1655
AM3	53	AFTER	515.80	370.60	.	7	599	593
AM3	53	BEFORE	516.50	350.00	.	875	1102	228
AM3	53	NONE	501.70	364.20	.	1115	1772	658
AM3	53	NONE	510.60	330.20	.	1804	2838	1035
AM3	54	NONE	505.80	382.30	.	7	264	258
AM3	54	AFTER	485.30	368.70	.	282	548	267
AM3	54	BEFORE	507.30	372.10	.	799	1556	758
AM3	54	NONE	478.10	372.30	.	1579	2838	1260
AM3	55	AFTER	498.40	378.20	.	7	878	872
AM3	55	BEFORE	500.00	362.00	.	1122	1498	377
AM3	55	NONE	502.80	373.20	.	1512	2817	1306
AM3	56	NONE	507.80	383.70	.	7	296	290
AM3	56	NONE	473.20	379.70	.	320	1114	795
AM3	56	NONE	507.60	375.10	.	1137	2830	1694
AM3	57	NONE	511.50	392.60	.	7	1245	1239
AM3	57	NONE	497.60	358.60	.	1263	1691	429
AM3	57	NONE	525.00	366.30	.	1716	2831	1116
AM3	58	NONE	511.90	381.10	.	7	2838	2832
AM3	59	NONE	513.70	382.70	.	7	1477	1471
AM3	59	NONE	505.50	378.50	.	1495	2830	1336
AM3	60	NONE	531.40	388.90	.	7	251	245
AM3	60	NONE	491.50	374.20	.	273	1016	744
AM3	60	NONE	521.80	381.20	.	1035	2829	1795
AM3	61	NONE	512.50	370.80	.	7	756	750
AM3	61	NONE	525.40	378.60	.	765	2830	2066
AM3	62	NONE	508.50	372.80	.	7	2829	2823
AM3	63	NONE	498.50	370.10	.	7	2832	2826
AM3	64	NONE	509.40	378.50	.	7	2831	2825
AM3	65	NONE	505.10	388.40	.	9	373	365
AM3	65	NONE	517.20	378.90	.	383	2834	2452
AM3	66	NONE	508.30	374.60	.	7	2832	2826
AM3	67	NONE	517.60	373.80	.	7	2830	2824
AM3	68	NONE	512.00	382.50	.	7	2833	2827
AM3	69	AFTER	511.70	380.50	.	7	794	788
AM3	69	BEFORE	505.20	392.10	.	1031	2831	1801
AM3	70	NONE	505.70	389.10	.	119	628	510
AM3	70	NONE	516.20	377.10	.	646	2830	2185
