"RECORDING_SESSION_LABEL"	"TRIAL_LABEL"	"TRIAL_INDEX"	"CURRENT_FIX_BLINK_AROUND"	"CURRENT_FIX_X"	"CURRENT_FIX_Y"
"LT5"	"Trial: 1"	1	"NONE"	506.1	294.7
"LT5"	"Trial: 1"	1	"NONE"	515.7	358.1
"LT5"	"Trial: 1"	1	"NONE"	522.9	314.1
"LT5"	"Trial: 1"	1	"NONE"	521	377.1
"LT5"	"Trial: 2"	2	"NONE"	527.2	381.9
"LT5"	"Trial: 2"	2	"NONE"	517.7	376.5
"LT5"	"Trial: 3"	3	"NONE"	507.5	381.5
"LT5"	"Trial: 3"	3	"NONE"	520	378.8
"LT5"	"Trial: 4"	4	"NONE"	507.3	374.7
"LT5"	"Trial: 5"	5	"NONE"	512.7	378.7
"LT5"	"Trial: 5"	5	"NONE"	520.4	377.6
"LT5"	"Trial: 5"	5	"NONE"	505.4	380.1
"LT5"	"Trial: 5"	5	"NONE"	535	379
"LT5"	"Trial: 6"	6	"AFTER"	510.3	389.8
"LT5"	"Trial: 6"	6	"BEFORE"	535.3	356.4
"LT5"	"Trial: 6"	6	"NONE"	522.9	391.5
"LT5"	"Trial: 7"	7	"NONE"	513.6	371.3
"LT5"	"Trial: 8"	8	"NONE"	518.7	372.7
"LT5"	"Trial: 9"	9	"NONE"	530.5	365.9
"LT5"	"Trial: 9"	9	"NONE"	505	386.7
"LT5"	"Trial: 10"	10	"NONE"	513.1	388.7
"LT5"	"Trial: 10"	10	"NONE"	514.3	379.3
"LT5"	"Trial: 11"	11	"NONE"	513.6	376.9
"LT5"	"Trial: 12"	12	"AFTER"	517.9	383.3
"LT5"	"Trial: 12"	12	"BEFORE"	519.2	386
"LT5"	"Trial: 13"	13	"NONE"	513.3	381.5
"LT5"	"Trial: 14"	14	"AFTER"	517.8	392.8
"LT5"	"Trial: 14"	14	"BEFORE"	519.3	390
"LT5"	"Trial: 15"	15	"NONE"	523.2	332.6
"LT5"	"Trial: 15"	15	"AFTER"	512.3	366.9
"LT5"	"Trial: 15"	15	"BEFORE"	510.8	388.8
"LT5"	"Trial: 16"	16	"NONE"	519.5	381.4
"LT5"	"Trial: 17"	17	"AFTER"	516.8	384.8
"LT5"	"Trial: 17"	17	"BEFORE"	533.1	415.8
"LT5"	"Trial: 18"	18	"NONE"	516	380.8
"LT5"	"Trial: 19"	19	"NONE"	520.4	389.5
"LT5"	"Trial: 20"	20	"AFTER"	510.1	383.6
"LT5"	"Trial: 20"	20	"BEFORE"	515.8	382.4
"LT5"	"Trial: 21"	21	"NONE"	510.2	387.9
"LT5"	"Trial: 22"	22	"NONE"	516	380.2
"LT5"	"Trial: 23"	23	"NONE"	521.6	381.9
"LT5"	"Trial: 24"	24	"NONE"	521.9	380.9
"LT5"	"Trial: 25"	25	"AFTER"	517.3	384.9
"LT5"	"Trial: 25"	25	"BEFORE"	517.1	368.8
"LT5"	"Trial: 26"	26	"AFTER"	514.6	379.1
"LT5"	"Trial: 26"	26	"BEFORE"	527.6	384.3
"LT5"	"Trial: 26"	26	"NONE"	519.2	385.1
"LT5"	"Trial: 27"	27	"NONE"	519.8	386.3
"LT5"	"Trial: 28"	28	"AFTER"	510.1	388.4
"LT5"	"Trial: 28"	28	"BEFORE"	508.6	378.6
"LT5"	"Trial: 29"	29	"NONE"	502.9	379.1
"LT5"	"Trial: 29"	29	"NONE"	514.1	370.8
"LT5"	"Trial: 30"	30	"NONE"	516	379.6
"LT5"	"Trial: 31"	31	"NONE"	516.2	379.9
"LT5"	"Trial: 32"	32	"AFTER"	516.7	376.7
"LT5"	"Trial: 32"	32	"BEFORE"	520.1	376.2
"LT5"	"Trial: 33"	33	"AFTER"	515.6	382.6
"LT5"	"Trial: 33"	33	"BEFORE"	512.7	373.5
"LT5"	"Trial: 33"	33	"NONE"	515.4	372.1
"LT5"	"Trial: 33"	33	"NONE"	528.5	368.6
"LT5"	"Trial: 34"	34	"NONE"	519.6	373.6
"LT5"	"Trial: 35"	35	"NONE"	517.4	373.3
"LT5"	"Trial: 36"	36	"NONE"	515.9	375.8
"LT5"	"Trial: 37"	37	"NONE"	517.4	379
"LT5"	"Trial: 38"	38	"NONE"	511.9	373.6
"LT5"	"Trial: 39"	39	"NONE"	525.2	383.8
"LT5"	"Trial: 39"	39	"NONE"	523.5	380.4
"LT5"	"Trial: 40"	40	"NONE"	529.2	379.9
"LT5"	"Trial: 41"	41	"NONE"	504.8	386.2
"LT5"	"Trial: 41"	41	"NONE"	515.8	386.8
"LT5"	"Trial: 42"	42	"AFTER"	509.9	387.5
"LT5"	"Trial: 42"	42	"BEFORE"	526.4	365
"LT5"	"Trial: 42"	42	"NONE"	517.1	382.6
"LT5"	"Trial: 43"	43	"NONE"	523.7	371.2
"LT5"	"Trial: 44"	44	"NONE"	517.2	378.2
"LT5"	"Trial: 45"	45	"NONE"	519.8	375.8
"LT5"	"Trial: 46"	46	"NONE"	525.4	372.9
"LT5"	"Trial: 47"	47	"NONE"	522.2	376.3
"LT5"	"Trial: 48"	48	"NONE"	521.8	375.3
"LT5"	"Trial: 49"	49	"NONE"	514.7	386.8
"LT5"	"Trial: 50"	50	"NONE"	509.9	384.3
"LT5"	"Trial: 51"	51	"NONE"	522.8	378.9
"LT5"	"Trial: 52"	52	"NONE"	521.8	375.2
"LT5"	"Trial: 53"	53	"NONE"	522.9	374.7
"LT5"	"Trial: 54"	54	"NONE"	523.6	377.1
"LT5"	"Trial: 55"	55	"NONE"	523.6	380.8
"LT5"	"Trial: 56"	56	"AFTER"	526.1	386.1
"LT5"	"Trial: 56"	56	"BEFORE"	539.5	383
