RECORDING_SESSION_LABEL	TRIAL_INDEX	TRIAL_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y
RN12	1	Trial: 1	NONE	481.10	392.30
RN12	1	Trial: 1	NONE	512.40	400.90
RN12	2	Trial: 2	NONE	528.60	389.20
RN12	2	Trial: 2	NONE	537.00	382.60
RN12	3	Trial: 3	NONE	513.20	379.80
RN12	3	Trial: 3	NONE	524.30	376.70
RN12	4	Trial: 4	NONE	512.40	381.90
RN12	5	Trial: 5	NONE	516.00	393.20
RN12	6	Trial: 6	NONE	506.80	372.70
RN12	7	Trial: 7	NONE	516.90	389.30
RN12	8	Trial: 8	NONE	515.50	382.20
RN12	8	Trial: 8	NONE	582.90	359.30
RN12	9	Trial: 9	NONE	519.40	385.20
RN12	10	Trial: 10	NONE	522.00	381.80
RN12	11	Trial: 11	NONE	516.00	389.70
RN12	11	Trial: 11	NONE	518.90	379.80
RN12	12	Trial: 12	NONE	517.90	381.00
RN12	13	Trial: 13	NONE	514.00	385.30
RN12	13	Trial: 13	NONE	509.10	305.20
RN12	14	Trial: 14	NONE	520.70	390.10
RN12	15	Trial: 15	NONE	520.00	389.80
RN12	16	Trial: 16	NONE	510.30	394.90
RN12	17	Trial: 17	AFTER	513.40	381.00
RN12	17	Trial: 17	BEFORE	499.50	407.40
RN12	17	Trial: 17	NONE	509.40	388.10
RN12	18	Trial: 18	NONE	526.10	380.60
RN12	18	Trial: 18	NONE	518.80	387.90
RN12	18	Trial: 18	NONE	522.80	368.00
RN12	19	Trial: 19	NONE	503.90	371.20
RN12	20	Trial: 20	AFTER	513.10	377.00
RN12	20	Trial: 20	BEFORE	511.80	378.40
RN12	21	Trial: 21	NONE	513.80	381.80
RN12	22	Trial: 22	NONE	505.60	382.50
RN12	23	Trial: 23	NONE	519.50	383.00
RN12	24	Trial: 24	NONE	520.70	383.40
RN12	25	Trial: 25	NONE	513.60	395.20
RN12	26	Trial: 26	NONE	512.70	380.70
RN12	27	Trial: 27	NONE	506.10	382.10
RN12	28	Trial: 28	NONE	495.00	378.40
RN12	29	Trial: 29	NONE	512.80	382.60
RN12	30	Trial: 30	NONE	513.40	363.20
RN12	31	Trial: 31	NONE	511.00	373.90
RN12	31	Trial: 31	NONE	526.60	367.30
RN12	31	Trial: 31	NONE	473.00	419.00
RN12	32	Trial: 32	NONE	524.60	366.10
RN12	33	Trial: 33	NONE	521.70	373.30
RN12	33	Trial: 33	NONE	505.90	365.10
RN12	34	Trial: 34	NONE	518.10	368.30
RN12	35	Trial: 35	NONE	512.00	380.70
RN12	36	Trial: 36	NONE	499.60	388.80
RN12	37	Trial: 37	NONE	516.10	385.20
RN12	38	Trial: 38	AFTER	513.50	387.80
RN12	38	Trial: 38	BEFORE	527.40	390.80
RN12	38	Trial: 38	NONE	514.40	383.40
RN12	38	Trial: 38	NONE	457.10	373.90
RN12	39	Trial: 39	NONE	498.30	376.70
RN12	39	Trial: 39	NONE	563.40	363.70
RN12	40	Trial: 40	NONE	517.20	381.60
RN12	40	Trial: 40	NONE	445.20	390.30
RN12	41	Trial: 41	NONE	510.60	373.80
RN12	42	Trial: 42	NONE	508.40	374.80
RN12	42	Trial: 42	NONE	516.20	363.20
RN12	43	Trial: 43	NONE	515.20	393.10
RN12	43	Trial: 43	NONE	536.80	377.60
RN12	43	Trial: 43	NONE	507.60	378.70
RN12	44	Trial: 44	AFTER	509.30	386.40
RN12	44	Trial: 44	BEFORE	505.00	390.50
RN12	44	Trial: 44	NONE	514.00	403.30
RN12	45	Trial: 45	NONE	500.60	385.90
RN12	45	Trial: 45	NONE	513.60	378.60
RN12	45	Trial: 45	NONE	504.70	384.80
RN12	46	Trial: 46	AFTER	511.50	389.90
RN12	46	Trial: 46	BEFORE	516.30	394.90
RN12	47	Trial: 47	NONE	514.30	380.90
RN12	47	Trial: 47	NONE	495.00	390.50
RN12	47	Trial: 47	NONE	493.90	387.80
RN12	48	Trial: 48	NONE	512.20	389.20
RN12	48	Trial: 48	NONE	521.70	373.90
RN12	49	Trial: 49	NONE	507.20	391.50
RN12	50	Trial: 50	NONE	514.40	376.40
RN12	51	Trial: 51	NONE	504.30	383.00
RN12	51	Trial: 51	AFTER	506.40	372.60
RN12	51	Trial: 51	BEFORE	487.20	344.40
RN12	51	Trial: 51	NONE	507.40	359.30
RN12	52	Trial: 52	NONE	516.30	377.20
RN12	52	Trial: 52	NONE	528.60	378.20
RN12	52	Trial: 52	NONE	516.40	382.40
RN12	53	Trial: 53	AFTER	513.60	393.10
RN12	53	Trial: 53	BEFORE	509.00	398.10
RN12	53	Trial: 53	NONE	524.50	392.20
RN12	53	Trial: 53	NONE	509.50	390.80
RN12	53	Trial: 53	NONE	517.40	387.80
RN12	54	Trial: 54	NONE	521.20	373.90
RN12	54	Trial: 54	NONE	512.00	360.00
RN12	54	Trial: 54	NONE	515.00	360.00
RN12	55	Trial: 55	NONE	502.80	382.20
RN12	56	Trial: 56	NONE	510.10	401.90
RN12	57	Trial: 57	NONE	510.20	374.90
RN12	58	Trial: 58	NONE	520.40	405.80
RN12	58	Trial: 58	NONE	505.90	389.80
RN12	58	Trial: 58	NONE	516.80	400.40
RN12	59	Trial: 59	NONE	508.80	369.80
RN12	60	Trial: 60	NONE	510.70	384.80
RN12	60	Trial: 60	NONE	516.20	381.30
RN12	61	Trial: 61	NONE	508.70	382.40
RN12	62	Trial: 62	NONE	515.60	390.60
RN12	62	Trial: 62	NONE	531.70	369.80
RN12	62	Trial: 62	AFTER	523.40	384.70
RN12	62	Trial: 62	BEFORE	524.00	425.60
RN12	63	Trial: 63	NONE	525.50	378.80
RN12	64	Trial: 64	NONE	508.40	381.70
RN12	64	Trial: 64	NONE	515.90	398.90
RN12	65	Trial: 65	NONE	515.90	386.70
RN12	66	Trial: 66	NONE	520.20	379.00
RN12	66	Trial: 66	NONE	537.10	377.50
RN12	66	Trial: 66	NONE	520.00	366.90
