RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_END	CURRENT_FIX_START	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX	TRIAL_LABEL
ZZ9	NONE	566	7	508.70	387.40	1	Trial: 1
ZZ9	NONE	748	593	448.30	335.20	1	Trial: 1
ZZ9	NONE	1019	775	519.90	396.90	1	Trial: 1
ZZ9	NONE	2834	1030	504.60	380.50	1	Trial: 1
ZZ9	NONE	2089	7	506.20	385.90	2	Trial: 2
ZZ9	NONE	2336	2112	496.80	332.10	2	Trial: 2
ZZ9	NONE	2829	2360	510.80	385.80	2	Trial: 2
ZZ9	NONE	91	7	486.40	348.80	3	Trial: 3
ZZ9	NONE	280	108	512.30	359.50	3	Trial: 3
ZZ9	NONE	2223	299	497.70	387.80	3	Trial: 3
ZZ9	NONE	2557	2247	464.40	336.80	3	Trial: 3
ZZ9	NONE	2836	2580	436.50	384.60	3	Trial: 3
ZZ9	NONE	699	9	515.40	375.70	4	Trial: 4
ZZ9	NONE	960	716	533.80	350.50	4	Trial: 4
ZZ9	NONE	1362	976	522.70	373.30	4	Trial: 4
ZZ9	NONE	1710	1384	493.90	359.50	4	Trial: 4
ZZ9	NONE	2068	1727	517.10	363.60	4	Trial: 4
ZZ9	NONE	2299	2090	495.50	392.60	4	Trial: 4
ZZ9	NONE	2600	2328	575.80	374.70	4	Trial: 4
ZZ9	NONE	2829	2613	597.10	371.70	4	Trial: 4
ZZ9	NONE	790	7	523.30	381.10	5	Trial: 5
ZZ9	NONE	996	811	485.40	339.70	5	Trial: 5
ZZ9	NONE	1171	1020	528.20	359.50	5	Trial: 5
ZZ9	NONE	1555	1182	517.80	374.80	5	Trial: 5
ZZ9	NONE	1761	1573	531.60	359.40	5	Trial: 5
ZZ9	NONE	2358	1775	512.20	378.10	5	Trial: 5
ZZ9	NONE	2835	2387	458.60	325.80	5	Trial: 5
ZZ9	NONE	168	7	434.10	296.20	6	Trial: 6
ZZ9	NONE	538	206	503.90	362.10	6	Trial: 6
ZZ9	NONE	1505	550	501.60	390.80	6	Trial: 6
ZZ9	NONE	1818	1527	490.70	352.90	6	Trial: 6
ZZ9	NONE	2200	1834	496.30	384.00	6	Trial: 6
ZZ9	NONE	2389	2218	493.30	344.80	6	Trial: 6
ZZ9	NONE	2833	2410	546.60	342.40	6	Trial: 6
