RECORDING_SESSION_LABEL	TRIAL_LABEL	TRIAL_INDEX	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y
LT5	Trial: 1	1	NONE	506.10	294.70
LT5	Trial: 1	1	NONE	515.70	358.10
LT5	Trial: 1	1	NONE	522.90	314.10
LT5	Trial: 1	1	NONE	521.00	377.10
LT5	Trial: 2	2	NONE	527.20	381.90
LT5	Trial: 2	2	NONE	517.70	376.50
LT5	Trial: 3	3	NONE	507.50	381.50
LT5	Trial: 3	3	NONE	520.00	378.80
LT5	Trial: 4	4	NONE	507.30	374.70
LT5	Trial: 5	5	NONE	512.70	378.70
LT5	Trial: 5	5	NONE	520.40	377.60
LT5	Trial: 5	5	NONE	505.40	380.10
LT5	Trial: 5	5	NONE	535.00	379.00
LT5	Trial: 6	6	AFTER	510.30	389.80
LT5	Trial: 6	6	BEFORE	535.30	356.40
LT5	Trial: 6	6	NONE	522.90	391.50
LT5	Trial: 7	7	NONE	513.60	371.30
LT5	Trial: 8	8	NONE	518.70	372.70
LT5	Trial: 9	9	NONE	530.50	365.90
LT5	Trial: 9	9	NONE	505.00	386.70
LT5	Trial: 10	10	NONE	513.10	388.70
LT5	Trial: 10	10	NONE	514.30	379.30
LT5	Trial: 11	11	NONE	513.60	376.90
LT5	Trial: 12	12	AFTER	517.90	383.30
LT5	Trial: 12	12	BEFORE	519.20	386.00
LT5	Trial: 13	13	NONE	513.30	381.50
LT5	Trial: 14	14	AFTER	517.80	392.80
LT5	Trial: 14	14	BEFORE	519.30	390.00
LT5	Trial: 15	15	NONE	523.20	332.60
LT5	Trial: 15	15	AFTER	512.30	366.90
LT5	Trial: 15	15	BEFORE	510.80	388.80
LT5	Trial: 16	16	NONE	519.50	381.40
LT5	Trial: 17	17	AFTER	516.80	384.80
LT5	Trial: 17	17	BEFORE	533.10	415.80
LT5	Trial: 18	18	NONE	516.00	380.80
LT5	Trial: 19	19	NONE	520.40	389.50
LT5	Trial: 20	20	AFTER	510.10	383.60
LT5	Trial: 20	20	BEFORE	515.80	382.40
LT5	Trial: 21	21	NONE	510.20	387.90
LT5	Trial: 22	22	NONE	516.00	380.20
LT5	Trial: 23	23	NONE	521.60	381.90
LT5	Trial: 24	24	NONE	521.90	380.90
LT5	Trial: 25	25	AFTER	517.30	384.90
LT5	Trial: 25	25	BEFORE	517.10	368.80
LT5	Trial: 26	26	AFTER	514.60	379.10
LT5	Trial: 26	26	BEFORE	527.60	384.30
LT5	Trial: 26	26	NONE	519.20	385.10
LT5	Trial: 27	27	NONE	519.80	386.30
LT5	Trial: 28	28	AFTER	510.10	388.40
LT5	Trial: 28	28	BEFORE	508.60	378.60
LT5	Trial: 29	29	NONE	502.90	379.10
LT5	Trial: 29	29	NONE	514.10	370.80
LT5	Trial: 30	30	NONE	516.00	379.60
LT5	Trial: 31	31	NONE	516.20	379.90
LT5	Trial: 32	32	AFTER	516.70	376.70
LT5	Trial: 32	32	BEFORE	520.10	376.20
LT5	Trial: 33	33	AFTER	515.60	382.60
LT5	Trial: 33	33	BEFORE	512.70	373.50
LT5	Trial: 33	33	NONE	515.40	372.10
LT5	Trial: 33	33	NONE	528.50	368.60
LT5	Trial: 34	34	NONE	519.60	373.60
LT5	Trial: 35	35	NONE	517.40	373.30
LT5	Trial: 36	36	NONE	515.90	375.80
LT5	Trial: 37	37	NONE	517.40	379.00
LT5	Trial: 38	38	NONE	511.90	373.60
LT5	Trial: 39	39	NONE	525.20	383.80
LT5	Trial: 39	39	NONE	523.50	380.40
LT5	Trial: 40	40	NONE	529.20	379.90
LT5	Trial: 41	41	NONE	504.80	386.20
LT5	Trial: 41	41	NONE	515.80	386.80
LT5	Trial: 42	42	AFTER	509.90	387.50
LT5	Trial: 42	42	BEFORE	526.40	365.00
LT5	Trial: 42	42	NONE	517.10	382.60
LT5	Trial: 43	43	NONE	523.70	371.20
LT5	Trial: 44	44	NONE	517.20	378.20
LT5	Trial: 45	45	NONE	519.80	375.80
LT5	Trial: 46	46	NONE	525.40	372.90
LT5	Trial: 47	47	NONE	522.20	376.30
LT5	Trial: 48	48	NONE	521.80	375.30
LT5	Trial: 49	49	NONE	514.70	386.80
LT5	Trial: 50	50	NONE	509.90	384.30
LT5	Trial: 51	51	NONE	522.80	378.90
LT5	Trial: 52	52	NONE	521.80	375.20
LT5	Trial: 53	53	NONE	522.90	374.70
LT5	Trial: 54	54	NONE	523.60	377.10
LT5	Trial: 55	55	NONE	523.60	380.80
LT5	Trial: 56	56	AFTER	526.10	386.10
LT5	Trial: 56	56	BEFORE	539.50	383.00
LT5	Trial: 57	57	NONE	513.30	383.30
LT5	Trial: 58	58	NONE	517.80	382.20
LT5	Trial: 59	59	NONE	513.70	383.00
LT5	Trial: 59	59	NONE	526.00	375.90
