experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nPreCueStreams	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	angleOfWhichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0	FY4	nStreams	0	right	2	45	A	0	9	M	False	4	45.0	0	3	LQTKBHJIYPZAREFVDXGUMOSN	EQKYGPZSADVJXUMRBOTFHILN	NJXQHOMGREAIULTFBSZYDVPK	JPBFKHEMUTQLXNOASDRGYVZI	YXDUOVBIKMRSAPLZFQJEHTGN	HSZDVOLTQPBKXMUENFYIJGRA	OJUMPYZADRQGTESFHIKXLNVB	GPRJVIFAMXZSLDEBNUHYTQKO	1
main	1	FY4	nStreams	0	right	2	225	Y	0	9	I	False	1	90.0	0	-7	PIYRNOFLXEGKUQTMADBSHVJZ	URYFPKTNMIOZAJHGSEDXLBVQ	SQXIAHTEMOJVRDYGKBPLNUZF	DTGOVBUPLHSFRXJYMNKIAEZQ	VBXRAIHZOKFQPEMNDLSUYTJG	JEHITPDSFKXURZLMGQBNOVAY	FKYOXRBDGNJVPAIMEUTHSQZL	INSAJFHZBGKMPULDRYXOVQTE	0
main	2	FY4	nStreams	0	right	2	225	M	0	8	S	False	0	45.0	0	6	GPKOFYDISNHRZVMEJTLUQXAB	ZEHRNDXOMTSKIPBLUJYGAQVF	NPYOXELMHUBFGJADVIKRSTQZ	FKUNXEQBTOIDSYARHGLJMZPV	DXJULAHRIEZOVBNPKSQFGTYM	XEVKRIAFMOZPJLDSQGUHTNYB	YLEZNXJMPTGOFRBVUHQKADSI	JASFHTEVMOZDIKPLRBGQNYUX	0
main	3	FY4	nStreams	0	right	8	135	N	0	7	X	False	1	-7.01670929853e-15	0	14	BHRQFXLETIUOSPMAVKGDZJYN	LGVSPIUXOEZJRYTHBMQKANFD	ZASVKEPUYMDQNRFIXGBOLJHT	ULGRHMPSYONAKJZVQDEBIFTX	SUTDVJFMGEANHIOXZYBPKQRL	XIGSYFEPJTDQNZVHLAROMBUK	GNLJVUEAHPFMYSZQBTRODIKX	BHVNKMLAJPXYUTFDZRIEGSQO	1
main	4	FY4	nStreams	0	right	8	315	L	0	8	S	False	5	-2.10501278956e-14	0	2	ELPTZHXVQFOUIRSMNBAKGYJD	MQLGKBYISRXHVUFZEPDNOATJ	ZPIBFVSAXKHTONUEGRQYJMDL	UMATJFOKGQRPHDXILZNVYBES	KABYXIONUEPJDLSTMQVRZFGH	BMPRYJUTSVLIZENFOHGADKQX	OXVPZABENSRUJQHDMIFKGTYL	SKAQTIHJPRXLBUMZFEOYVNGD	1
main	5	FY4	nStreams	0	right	2	315	O	0	10	R	False	6	45.0	0	8	OPQVELMISGUHNJFYTDRZAXKB	RIGDHBXJPTKYMEUZVFLSAQNO	UNFJPREXLVIZMQOGTHAYSDKB	KPONHSJGEBZXLYMQRFIUATVD	QUAZPYVKOSMNGERITDBLFJXH	VMJTIZYXBLEQNARGHKUPODSF	PFTHZUJIDXRMQVNYEBOGLSKA	FVYRKZUPLQDSONBGIHEJXTMA	1
main	6	FY4	nStreams	0	right	2	0	T	0	8	O	False	6	90.0	0	5	OHTMNVZABILQUSYDRJEPFGXK	ZFDAOXRIPUBJQVLMGYEKHTSN	JFMVNYBIUDHRGQAZXPLKOETS	QLOZHNRUBFXTYDAIGKJVMESP	XJYPILZBQEORGVNMTASHUKDF	DUHVNKQIATOXRSYGPFEBZMLJ	UABGYNQVOMEJZTSRIDPKLXHF	YNGZFOALMVTXBKQDSIEJHURP	1
main	7	FY4	nStreams	0	right	2	135	P	0	8	R	False	2	45.0	0	-4	IHNPXVAUDJLSRTKOBQGMEFZY	FIPBZSONDJKUVRLGYHTEMAXQ	DOKHPBEJRQUYTZSGVXFLIMAN	APZVOYMKIQEGUHTJNFDLSBRX	AQXERNZLFGDBKTVPYJIOHUSM	DYXPBQTKNEUORZLGVMFJIASH	HLSPFOBQVDRIEJMZGKNXYATU	VGQNMEZBTIDLORHFKYXJAPUS	0
main	8	FY4	nStreams	0	right	8	225	O	0	7	N	False	3	-1.40334185971e-14	0	15	FRHZBJESPNAKOTVIXYQGLDMU	DVYSGAHKJFMXUNBPRQETZLOI	DAZSYQPEILBKMOFTJUGNHVXR	UAXYKLQNFGTBIDJRMVESPZOH	TKGODEALNXMJVFRUBPHZQSIY	QUZMFKNSXVIODEJRYLHGPATB	QFTOYPDXVIGBHNSEUMAJRKZL	KTSPJYZMNFIELHXADQOVBURG	0
main	9	FY4	nStreams	0	right	8	0	R	0	10	S	False	4	-7.01670929853e-15	0	1	FSZGYJLIVUHADRKMBQNXPOET	HOQTLVBFRGJKYZPUADMEINSX	UDKBLMVPHGQASROIETXZYNJF	KRONPQDUTMSBELVZJXHIGAYF	HVUYTEXMGOSRBLQFADKJPIZN	AIBMLEDFZPGQSXJHRUYNKTVO	XNSPEIMAHURGODYFVJKZBLQT	KXTZRGYDSUBVIHLFENOMQJAP	1
main	10	FY4	nStreams	0	right	8	180	P	0	8	V	False	5	45.0	0	-3	PYQANSKMLJREBVGTDXFUHIZO	TXYZRFKPMUSOQNELBDAJGHVI	URKBQZAOETXMPVSGHNLFDYJI	OQPVUHIEAZNTBFKYDJMXRLSG	OABXIFZSYVHKTDPURNQELJMG	SBXJZPFKVHQDNTMUERGYLIAO	DIPQORFKZNEJLGXMSTUBYHVA	YZVRGATDSQOJKMBXNHPFLEUI	0
main	11	FY4	nStreams	0	right	8	45	R	0	10	D	False	3	-7.01670929853e-15	0	12	ZQEBSVUJOLFNAHXGRIPMYDKT	OQNTRUZVMFXYLDHBSIEPJGAK	VZRYIJDXKGEBOFHQNLTSMAUP	SLAKUMQVIYDNHZXJPGFOBERT	RIJHSBZGVNQEDUALOXYKTFMP	VNIBFMJHDORULEXZYGAQPKST	YXTDNRVFLJBQPSAMZOIKGEHU	GBATVONZDKEYIFUMXLJHQSRP	1
main	12	FY4	nStreams	0	right	2	0	Q	0	10	S	False	0	0.0	0	3	YXFUDKNHLMSJOQBVTGEPRIZA	EVQXNIMLSYOADTKFUBZHJRPG	KMQXBSDUJIRLENGTOYAPFHVZ	GNDJEXYPTRUOBFHZMKSVQILA	TMOXFUILAGQNYVSEBDZPJHKR	VJHPINUFZOESMRDLQXAGKBTY	QSFOLAKIJNYRZUPBXGTHEVDM	XYVZMJHOSLUEPRKNIFGTABQD	0
main	13	FY4	nStreams	0	right	8	135	Q	0	10	Q	True	6	45.0	0	0	MIHLDYUBZNXOTQRVKSPEJGFA	LPMNKDQYOTZSFUXGAEIHJVRB	QKMOEJFVZSHGNXAITRLDYUPB	FDSVGOUTLBPXHAKZMJQYRIEN	BFQMDTPNEXYHKOJGZSIAULVR	RIGUTXDKYBPNEFZMAHLVJOQS	PXZGNKFBUAQRVTOYJIHLDEMS	TFNZJLSUAPYXRDBEGIQVKHOM	1
