experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	IK4 	 oneCued 	 0.0 	 right 	 2 	 270 	R 	0 	10 	E 	0.0 	1 	0 	-8.0 	VOFHJXNYTKMZRGUPDSQLAEBI	FGRUHOTMLQEIJXBKDSPAZYVN	-99	-99	-99	-99	-99	-99	0
main	1 	IK4 	 oneCued 	 0.0 	 right 	 8 	 90 	S 	0 	7 	K 	0.0 	2 	0 	2.0 	VHQTJFEMYUBLNDIOGXSPRKAZ	SKQMJEVNHUADXPGYLIRFBOTZ	OTEDVQGKPSZMRFXBNYLHJAIU	FBHGIMXENPDQZOJVKRYTLAUS	TXHEQIMUDKJGFZBNYRLPSVOA	SMBPYKGJQIDZTRXVFAHUNOEL	XRNPKGVITUBDHEQLMAOZYSFJ	GLDFYQIPJZTNAMUOBEVKHRSX	0
main	2 	IK4 	 oneCued 	 0.0 	 right 	 2 	 270 	F 	0 	6 	V 	0.0 	0 	0 	2.0 	QILHDZVBFPMXTNORGSKJEYAU	SEDGFPQBJHOUTMKIRVXNYALZ	-99	-99	-99	-99	-99	-99	0
main	3 	IK4 	 oneCued 	 0.0 	 right 	 2 	 270 	E 	0 	6 	J 	0.0 	1 	0 	7.0 	ROAJZYPLUGSEMKIFBHTXQNVD	DNVKZMJGQTLYOEPARBFSXUIH	-99	-99	-99	-99	-99	-99	0
main	4 	IK4 	 oneCued 	 0.0 	 right 	 8 	 225 	Y 	0 	9 	V 	0.0 	3 	0 	3.0 	JBMVUNYDXKLTSAHQRFIGOZEP	HBXIFQSEJLGUYVDZMRTNKOPA	IXZEYAOGRHPTUVMLJSQDKNBF	MAZKBSXDTVHPYQGUFREIJLNO	FZRELHGJAIKSUMYVDQTOPBNX	RNVLZYOKPJDMHBEAQXGISUTF	OIRGDHEKZXYLBVNPFATQSUJM	LOJSYVAXEBZRGHFUNDQIKTMP	0
main	5 	IK4 	 oneCued 	 0.0 	 right 	 8 	 45 	S 	0 	7 	S 	1.0 	7 	0 	0.0 	QPKXGJYAIMNDTBZFREVOLHUS	YHBMRZOVPNAFTLGKDUXIEJSQ	LOJXRGBHKSFDTPIEQAYUVZNM	NAIOJUKVGPQEDRYTXSLHBFMZ	VYNDEKBTFLXUSQGHJARZMIOP	RQHOBINXFZYLEVAMUJPDSGKT	BQHAZUVSMNIKGOYTJDXLRPEF	QOHFNTXSUVMLBGJIEKZARYPD	0
main	6 	IK4 	 oneCued 	 0.0 	 right 	 2 	 315 	S 	0 	6 	Q 	0.0 	0 	0 	-1.0 	EUNOASQBGTFXJZRKVHYPLIMD	BKAUXNEHQIJFSORZYLPMVTGD	-99	-99	-99	-99	-99	-99	0
main	7 	IK4 	 oneCued 	 0.0 	 right 	 8 	 180 	A 	0 	9 	L 	0.0 	2 	0 	3.0 	FLMXKYOZRGVNJSQIUAPEHTBD	RZNDAMIHBQXYETGFVJOPKSLU	SGKFHQMDELOIAZXJUTPNBYRV	DMJXHQSROLUFAGIBVTZPNYEK	BDNFPMQUZKVTRAIYJEXGSLHO	HAQSZVPBYKRDILJENTUFXOMG	OXIBUAYTNPVKJSMQREHGDZFL	GYRNXIDEPUQOSFLMJATKBZHV	0
main	8 	IK4 	 oneCued 	 0.0 	 right 	 8 	 45 	A 	0 	9 	U 	0.0 	1 	0 	1.0 	RJGQESFVPLABOIHTYKUXZNDM	ETGVSKRXZUAHLNDMIJOQFBYP	ROGNUKXVDLPAQYTMFHSIZJEB	ZQLEDXIHGSYTNVJBPKROFMAU	RHKITSZVUXLEMGPBQFNOJYAD	PAYLRKDUQNFTIJVBGZMEHOSX	RJDFVQNOZKYLXSIBTGAHPUEM	APUYKZLBMVTNOEQJDSHXFRGI	0
main	9 	IK4 	 oneCued 	 0.0 	 right 	 8 	 225 	A 	0 	9 	N 	0.0 	6 	0 	2.0 	IRDUHZJQMFTYBAGXEVNKOSPL	OLJIYKMZAXUQRDHBPEGSNTVF	YPQXVJIMLZKAUBOFSNRGHTED	FAYVIMXBLQERHZUNJSGDTOKP	UNKHJMBZRVTDQESLXOYAIFGP	ALMFHUGZITDQXEPONKVJSYRB	QDZHLFEGKNIAJUMYSTVXPBRO	OXAJHDBPERVLSINTQUZGKFYM	0
main	10 	IK4 	 oneCued 	 0.0 	 right 	 8 	 45 	O 	0 	10 	X 	0.0 	0 	0 	-10.0 	ODBGLAKNMVXQRUIHEFSJYPZT	EHKSAPYOQTBIRDVMGZFXLNJU	RZABNUOLMYGVXIPJTDFQHKES	MXDPSLZIUKAVEQNBYFRGTHJO	IAVBPFGOLZYERSJDUHXTKMNQ	PSYEGLVFHUTZKAMROBNIDXQJ	VLKANHFPGXTISJZRMQOEBUDY	IUKDZAFJOHPBLXGNVTYQESRM	0
main	11 	IK4 	 oneCued 	 0.0 	 right 	 2 	 315 	O 	0 	10 	S 	0.0 	1 	0 	9.0 	HZGJEBANIDYVMUORQLKFXSTP	FEDRKYJZPVSXNGUILABOTMQH	-99	-99	-99	-99	-99	-99	0
main	12 	IK4 	 oneCued 	 0.0 	 right 	 8 	 315 	T 	0 	9 	I 	0.0 	4 	0 	1.0 	QKDYFEXTUIHGLZNPOVJRMSBA	SOHVILFAXPRQMBZEDJKUYTGN	EGQMAUPTDIOLXSVYJKHRZFBN	ERNFKOZPMBQUJGVDYTHIXALS	LBUQADMOFITGPZVRKHEJYXNS	GQFTONMUHBESDZAYRJPKVIXL	NTRHJXFLZPESIQYAKDVGBMOU	PFTSEJRQULAMDHXIZBNGVKYO	0
main	13 	IK4 	 oneCued 	 0.0 	 right 	 2 	 45 	T 	0 	7 	H 	0.0 	0 	0 	7.0 	EMFYKVBHJOXPUSTRQIGAZLND	EMXDBTRNOAYVZHPQFSIUJLKG	-99	-99	-99	-99	-99	-99	0
main	14 	IK4 	 oneCued 	 0.0 	 right 	 8 	 315 	X 	0 	10 	P 	0.0 	4 	0 	1.0 	BZEGQTNVSRJLDHOYUMFXIKPA	LHIQKGAFZRSTPUJEDOBVMXYN	PSLNBKRZFQMUXEHYDAJOIGTV	PSQHVJTOEGYDRFNLUAZMIXBK	ORVQSGDEANPXTMBJIHZYFKLU	OIKGDPVYHSNUJEMLFRAZTXQB	AJYVBMUKPFDTHLIZQESXORGN	MLYJEDOISBHVPUKNTAZRFGXQ	0
main	15 	IK4 	 oneCued 	 0.0 	 right 	 8 	 270 	G 	0 	6 	N 	0.0 	7 	0 	7.0 	LEYVPTHONXMIRQKFSADZUGJB	GSOBJXRTVPIEDAZKLQMHFNUY	MPOEGLKSAYNUBQZFJXHDITRV	DIQFYOXVNJZHTRGBKSALMUEP	AMUBHDYJPSLFOEGKXIVTRQZN	DJKSQPHBINFGAEUYVOZRTMLX	QHORLEPFNVIUZJBDMGAXKYST	FJHORKNQEMTDXGZSLIVUBAYP	0
main	16 	IK4 	 oneCued 	 0.0 	 right 	 2 	 0 	A 	0 	7 	L 	0.0 	1 	0 	-1.0 	EKOLPXQHGUNAMTBRFYZVJSID	VBUEGYALDXFHMZSQRIOTKJNP	-99	-99	-99	-99	-99	-99	0
main	17 	IK4 	 oneCued 	 0.0 	 right 	 8 	 135 	L 	0 	8 	T 	0.0 	2 	0 	2.0 	EABQGYKDVJLFRNTXUPMISHZO	FHONSTRIPLMKEJXQBYUDGZAV	BNQYHEPKTJLSOZURDAFGVXMI	ATQKUPJHSGDMYEXVFOIZLRBN	DPOFYXAIMVSEKLGZRBNTHQJU	XETFRJUOKYBPISNHGDLVMQAZ	TVSQKNJYHPRMALDZGEFOXIBU	JTSELANKDQPROZUGHVYFMIBX	0
main	18 	IK4 	 oneCued 	 0.0 	 right 	 8 	 180 	O 	0 	6 	P 	0.0 	5 	0 	1.0 	SDUXYLFAHOGNVKEMZBIRJQTP	SGOTIAJXYULDZHPKVERNMQBF	MFQENIZUGDBAHXSLPKYRVOTJ	IJUEAGHMOXVZTPBQSFNLKYDR	DPNQGRMFLHISKOYUJAEBXTVZ	ZLTSMDPOYVIEFAKURNQJHBGX	JPHIURVNSGAXOEFMLTQKYDZB	SYERAGQJUHBKVMDTXOLPZINF	0
main	19 	IK4 	 oneCued 	 0.0 	 right 	 8 	 180 	Q 	0 	6 	R 	0.0 	0 	0 	1.0 	PVNIMBRQOTUSFYEXKDZLJGHA	GYJOHNXQARUBPZMKFLDTVESI	NRUDIBEPQVYGJZHFMSTOAXKL	NVZGKOHPEJLRTQSMAIBFYXDU	OEQZHDTJUYVFXANLBIKPGRMS	VKYRBAOFPDTLJGHSEMZXIUNQ	XGHBLANYIKERVOPUJFMSDZTQ	RYBLDIQEZXJMGVKNHASTUPOF	0
main	20 	IK4 	 oneCued 	 0.0 	 right 	 2 	 45 	Q 	0 	6 	D 	0.0 	1 	0 	2.0 	RLYTAPZNIMHVSUGQFXEOBDKJ	MNGLPRDKQBEFHSOTAVJZXUIY	-99	-99	-99	-99	-99	-99	0
