experimentPhase	trialnum	subject	nStreams	ring	crowded	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	0	LY8SONA	2	0	Yes	V	0	9	F	False	60	60.0	0	0	0	1	MXJTSLHQUFVADKYNZIOBPGER	OLYNFJRHGEXAMISPBQZVDKTU	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	1	LY8SONA	2	0	Bouma	R	0	9	R	True	0	0.0	0	0	0	0	FSUKMBJNGRAIXTLOEZHYPDVQ	IJOSFTNLMQYVRDUGPXAEHZKB	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	2	LY8SONA	2	1	Yes	S	0	10	U	False	60	270.0	0	1	1	-3	PXQGJZUMVTBKRIOSDENHYLFA	YHPXMLQSNEUDBTAKVOIJFZRG	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	3	LY8SONA	2	0	Bouma	V	0	6	U	False	120	300.0	0	1	1	4	GNEYQORKBIPVLJMZFDUTXSHA	AHSMKRUXEOVLGNJQIPDBTZYF	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	4	LY8SONA	2	2	Yes	J	0	8	Y	False	0	0.0	0	0	0	1	UAHLNSBZYJMRQFXPDOGEIKTV	ZABQLSOGXYRDFEJPUKNIMHTV	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	5	LY8SONA	2	1	Bouma	X	0	6	J	False	120	150.0	0	0	0	2	IMUVQFJYXNAELPTRKSZOBGHD	QDJRLVPYFTNXOUMBZEHSIKGA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	6	LY8SONA	2	1	Bouma	K	0	10	P	False	0	30.0	0	0	0	1	HSRVLZAINUPKJDFTOEMBGQXY	SLDOFXTUMAQKZBGVYIPJNREH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	7	LY8SONA	2	1	Bouma	X	0	7	Z	False	60	90.0	0	0	0	-2	JTBHRXPZIGUEQMLODNSVYKAF	MVJNFDXGRSYOEBAUHIKZQTLP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	8	LY8SONA	2	1	Yes	X	0	9	E	False	60	90.0	0	0	0	1	KJFULZRMAEXVTYGSBHDQNIOP	ENAQYSLUDXHVOIRBGZMKPFJT	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	9	LY8SONA	2	2	Yes	Y	0	10	U	False	60	60.0	0	0	0	-1	FIOLDGNJKYUVMZRBXTPEHSAQ	ESQKPZIDLJNOTFYGHAMRUVXB	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	10	LY8SONA	2	1	Yes	E	0	6	N	False	60	270.0	0	1	1	1	JKXGQVAMSYUZNRPHBTELFODI	DSLIMONEXVHUPGBFQZKARJTY	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	11	LY8SONA	2	0	Bouma	S	0	10	P	False	60	240.0	0	1	1	6	OJKNBHAQXDGTUPZSYMIVELRF	TXRNMHOEFBPAZKLJSUDIGVYQ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	12	LY8SONA	2	0	Yes	B	0	7	S	False	0	180.0	0	1	1	-1	PKJADVNSYHBZRLFTMXUOQEIG	XHOUPJBSLAYNIRDTVKQGFZME	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	13	LY8SONA	2	0	Bouma	R	0	9	A	False	0	180.0	0	1	1	1	PLEUSIVBYRZJONFKHADGXQTM	ZLJQXDBYKAREGPFITMSNHVUO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	14	LY8SONA	2	1	Yes	A	0	9	A	True	120	330.0	0	1	1	0	IOQNXTFJBKUVGLERMPYZASHD	SNMEUVYZRATQIXLKPJHFGDBO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	15	LY8SONA	2	2	Yes	V	0	7	N	False	120	300.0	0	1	1	1	VYIOZFGTENHSPLRMQAUBKDXJ	TOBDSQKNVAEIYUHPZMXRJLFG	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	16	LY8SONA	2	1	Yes	V	0	7	N	False	0	30.0	0	0	0	-4	BYPVQXINEUMJTZRODKFHGASL	DGPIKNVSZQXFEBYOUHLTMJAR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	17	LY8SONA	2	0	Yes	F	0	8	T	False	0	180.0	0	1	1	1	LEYQZTNIDRKFOGVAUHMBJSPX	AMLUZJIETFHSNQVYPKBRDXGO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	18	LY8SONA	2	2	Yes	E	0	6	G	False	0	180.0	0	1	1	-2	EKYITZODFPBQMVSJUNRGXLAH	DVZAEBGRLSHPQMTKXJYNUIFO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	19	LY8SONA	2	1	Bouma	X	0	8	J	False	60	90.0	0	0	0	1	DUZBTQMGJXNEIKFVOYSLHRPA	BQSYPILFVTAUKZJRHMNGOEXD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	20	LY8SONA	2	2	Yes	G	0	8	H	False	120	300.0	0	1	1	1	UOKFYMGSHNQEPIBARJZVTDLX	NSQUIXMKHGDPEZFLJVTOYRAB	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	21	LY8SONA	2	1	Bouma	X	0	7	R	False	120	150.0	0	0	0	-3	OIDGXPVRUZJTMHKNESQYFLBA	MLZNRIYDESVKUGOHBAFXJPQT	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	22	LY8SONA	2	1	Yes	B	0	10	H	False	120	330.0	0	1	1	-2	RDOQEIFGXLHVJMKTBYSPNUAZ	QNEXJRYKBDHLMGVSITAZPFUO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	23	LY8SONA	2	2	Yes	K	0	9	R	False	120	300.0	0	1	1	-2	DIGKMFVOUJSHYXNPQLRZATEB	EXNUMZAKHRIQSGPLTFODBYJV	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	24	LY8SONA	2	2	Bouma	K	0	10	U	False	120	300.0	0	1	1	4	BDPOLXTGHMKFZUJRVIYEQASN	GJYRVFIAOLUHPQKDNSMZBTXE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	25	LY8SONA	2	2	Bouma	D	0	6	N	False	0	0.0	0	0	0	-6	DGKZAPNUQMYSOTEXVJHFLIBR	PNQHSRKOAILEDTBUMFXJZYVG	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	26	LY8SONA	2	2	Yes	T	0	9	H	False	120	120.0	0	0	0	2	IPGKOUXFNHYTRELZQBJVMSDA	JEMKTBANOPLDSFGZUIRQVHXY	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	27	LY8SONA	2	0	Yes	S	0	6	H	False	0	180.0	0	1	1	1	JFVGHAMIREXNBPLYDQOSKZUT	PJRBUYHSEOXIMVQAGLDZFTNK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	28	LY8SONA	2	0	Yes	F	0	10	F	True	0	0.0	0	0	0	0	MOPHGQLZKEFYUVNRDBAXIJTS	FIDQMYURGBTPXZAOVSJLKENH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	29	LY8SONA	2	2	Bouma	U	0	10	O	False	60	60.0	0	0	0	1	GVQTJXSLMIOUDNAKRBFEHYZP	DMKFOAURPLXBGNYHJSVTZEQI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	30	LY8SONA	2	1	Yes	M	0	7	M	True	60	90.0	0	0	0	0	IXZDLUSMFVKGYRNJEOPQAHBT	QENHAKXVLSTUOIYFZRJMGPBD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	31	LY8SONA	2	1	Bouma	Z	0	9	Z	True	60	270.0	0	1	1	0	NDLHZJXIMQABTRSPKGOYEUFV	XHPBDROEVZQGTASJUMNIYFLK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	32	LY8SONA	2	0	Yes	D	0	8	D	True	120	300.0	0	1	1	0	NPODJHKYMTQARXLBGFIUZESV	ZQOJFRBHDPTAIVMEUYXSKLGN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	33	LY8SONA	2	2	Yes	Z	0	6	I	False	120	300.0	0	1	1	-6	DOUGAJNHBTSQRKPVFZELMXYI	ZYGFMPIKDAQSHNBXOTJLREVU	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	34	LY8SONA	2	2	Bouma	K	0	8	A	False	60	240.0	0	1	1	-6	FGYRNIAMKUJOBDSLXZQVEPHT	LEKUQTDOANZIHGJXBSMRVYFP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	35	LY8SONA	2	0	Bouma	J	0	7	B	False	120	300.0	0	1	1	-2	TPHSYRVXJAIMFUBQENGLODKZ	PIGSQJKBAUVXYOEDRMHTZNLF	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	36	LY8SONA	2	2	Yes	M	0	9	Z	False	60	60.0	0	0	0	1	TJSELPKHYZMDQIBUGVOFAXRN	BXVINTYPOZRGEAJFQHMUSDKL	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	37	LY8SONA	2	2	Bouma	S	0	6	S	True	120	300.0	0	1	1	0	JKEHDLSRXYOPGIUBQMNZFTAV	FYNGMASEHZJXIBLKVDOUPRQT	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	38	LY8SONA	2	2	Yes	M	0	8	M	True	60	60.0	0	0	0	0	SJRITVKNMGLQYDAEZHBOXUFP	AIOEMSRYLPUNGHFDKTVJQBZX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	39	LY8SONA	2	0	Bouma	K	0	8	F	False	0	180.0	0	1	1	1	TIKAOEVPYHNDQSUMRLBJZXGF	RYBXTOPSFKHJLEQUDGNAMZVI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	40	LY8SONA	2	2	Yes	K	0	6	I	False	120	120.0	0	0	0	-4	ASKQBZIVTMNJURHLDPYXEOGF	IDZBSAMFJVNGXOUPLTERKQHY	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	41	LY8SONA	2	1	Yes	M	0	6	K	False	60	90.0	0	0	0	-3	VTBMOQKRNUGFEHZISXAPDLYJ	JRYLMGAKVEPNZHOTBSIDXFQU	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	42	LY8SONA	2	1	Bouma	M	0	9	Y	False	60	90.0	0	0	0	-1	EUDATINPMYSBVJHKGOQRZLFX	DROGEQIVSYHFJMPBUTLAXZKN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	43	LY8SONA	2	1	Yes	O	0	6	E	False	120	150.0	0	0	0	3	ZYBSTLEHGOPMFQJDAXKVINUR	PSLMEQJUVNIZXDOTFHGRYBKA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	44	LY8SONA	2	2	Bouma	T	0	6	V	False	120	120.0	0	0	0	2	JXGYEHVFTKOBSNLMUQIARPDZ	GJEOIKUDAFTSVXQYNRPBZLHM	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	45	LY8SONA	2	0	Bouma	S	0	7	B	False	0	180.0	0	1	1	6	FYVOBSIMQZNJDTAEUGHPXKRL	POYKUGLBXZVAFSEDJMHQNITR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	46	LY8SONA	2	0	Yes	Z	0	6	Z	True	120	120.0	0	0	0	0	TVPJGXZDYOQRNLUMIHEAKFBS	YRMBLFGSKETVHJUAOIZNPQDX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	47	LY8SONA	2	2	Bouma	R	0	9	N	False	60	240.0	0	1	1	-4	QIESYHAFXVGPJKDLBRMNOZUT	VYLTORHDFNXSIEQUBGZAMKJP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
