experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nPreCueStreams	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	angleOfWhichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0	NC21	nStreams	0	right	2	135	K	0	7	H	False	1	180.0	0	-2	HTXQZVJGIRBYNEPKAFSOMUDL	YVZDJKXHURAFQILTESGPONBM	AMDYLKRSXTHNFJPQIEVUBOGZ	MNZJELRUTAOBXFYGSDIKPHVQ	AQIRVDEPBGJSFHUNKLXOTZYM	RDSHTNVGBUFIAPXZLJKEYQMO	MZVHKXPQSJTINUDBEYFRALOG	QSOAKNHLMXGFPBEJYZVRUITD	2
main	1	NC21	nStreams	0	right	8	315	B	0	10	N	False	7	-90.0	0	1	NZGHRXDYEPUKFJSBIVOLTAMQ	HKYXLPSJOIMTDNAUQGZVBERF	RFTOIDUMSZHAVQYBJLGXEPNK	HMIAGPELKXVQUOZDYSRFNJBT	FPOVIZDKXUMGBSHQYLEJANRT	VGHFKBXONAZDYIEURTQLSJPM	HMEYNZDFSGKPTABQIRVJLXOU	EGMRULTDHVNBSFKZYJIQXAOP	1
main	2	NC21	nStreams	0	right	8	270	A	0	6	S	False	3	45.0	0	3	KXMQYOAUBSDJFNHLRVIGTPEZ	TOKJMHIUVYLDGPSXANEFZBQR	KNILEFOJPASMDHZXTUBYQRVG	NDRLZJSQYAHTKVOGIBPMUEFX	YMOQEDISBVKRNTXFLUJHZPAG	VIEALQOFTXRUJYKSDGHZPNMB	ITDMFUEVABOXHZQRJYLPNKGS	ZPRHFAOUILTQJEXNSVMDYKGB	1
main	3	NC21	nStreams	0	right	2	225	S	0	7	X	False	4	45.0	0	2	BYTKLVNOAQEIGURMSJHXZFPD	AFLKYZOQDSHBPUREIMGXTNVJ	TQUXJYPGDEFOSZKNIVHRMLBA	RBOGJYZMKFVLPXTNDQHIEUAS	MJPHITBXOSGAQFELUVDYKRZN	QXJHVPIMANFZUTOESLBRYKGD	JBEQNLMDTARVYPZIOGUHKFSX	SLVHYJUEGRKAMIBXPFZDONTQ	2
main	4	NC21	nStreams	0	right	8	0	K	0	6	L	False	3	135.0	0	7	XIYHATGKUMZREJDLVPFQSBNO	VMUSKXJIHLEFTBORDAGYZQNP	VABZFOUTGINPMDLKYQRJXEHS	JTOVZBLYQMAXNKISHDFEGPRU	BYGORLVQMAZUXKEDSHIJTFPN	HRAKEJFIDGSPZBLQMOXVNYUT	VBFSNZGTHJUAPXEQKIROLMDY	PMTFYGKRHDZNUBJXAEOIVQLS	2
main	5	NC21	nStreams	0	right	2	45	O	0	6	O	True	2	135.0	0	0	INMSQLXDRBYOGAETPJVKZHUF	YHKBVMEIZQFOUNADGRPTJSLX	JKEGLUONXISZDMRTFPYVQHAB	QXORYGLUSVPTIHAJMZFEBKND	EUJFKRZTAXOPBDIQLVNYHSGM	LRIXMOAVHUBZNGEQFSTJKPYD	OLPQIFSKMJHYAGXNRETZUDBV	OABMRQJYIEXGFZUTPHVLDNKS	2
main	6	NC21	nStreams	0	right	8	225	S	0	7	V	False	4	45.0	0	-6	TLBJPZOVFSUEMGKXRDHNYIAQ	MXLETHUFGSDQZNVAJYIKBORP	QGDPLVIYXKTESONJAFBHMZRU	VFMBNURKITQDYZEOHAPLJGXS	OSYGBNHVEUDFRXZLAQMITKPJ	HKNBSFXTAZPODIUREGVYQLJM	QOKBEYTUZXSAIMVLFPDJHNRG	UPVNJQLKMIFAHRDEOXSYBZTG	1
main	7	NC21	nStreams	0	right	2	90	Y	0	7	Y	True	0	90.0	0	0	ETQHIXVYNOKDPGJZBMUFSRLA	IVGLJBXSDFQUAZERHPKYNTOM	EBJDLNOMSUVPXTYFAQRGZIHK	HLJMVEYPBQKRSGDOXUATFZIN	KYDPQMZFASTJVHNEIRXOLBUG	GFYTXRIUJSLEKZPVQHDANOMB	BUSLKMXAFQYIZJOVPGTERDNH	DQHYUKTFJRNSIMVGALOPXZEB	1
main	8	NC21	nStreams	0	right	2	0	X	0	10	T	False	7	-45.0	0	2	FZNVIBAYMLTSUXGJOQERKHPD	RJIGSVPMNBUZYELTADHXKQOF	LOKRGESUVPBZDJYMHTFQNXAI	YETVBMZLXDAUHPOSQIGFJKRN	ADIMORPUFLJNTHZQGSEKXBYV	NUTXPSEYRFOHADLKQZMJIBGV	XKHZOAPTVBYJLDQIRSMFGNUE	VYUKASQGLFTHXOMNJDRIEZPB	2
main	9	NC21	nStreams	0	right	8	180	U	0	6	O	False	7	135.0	0	1	VKETOSQBIFRNGUJHPAYZDXML	SDRUXILZOTEVJFPGBHAMNKYQ	YBHRZIGFVLOUMXPSQKATJNDE	ATDVRUQZKYLBXISJMPEGOHNF	YNFDZHJLEXQKBGUVTARIOMPS	GLYDAOSJTVQKREIBUHPFXNMZ	ASGUHTLDVIBPQXYZKNOJRMFE	VEYGBIOUJSTMNXLRHQAZPDKF	2
main	10	NC21	nStreams	0	right	2	180	P	0	6	E	False	1	-135.0	0	3	FLXAVMBNQHJGSIPZTYEKODUR	FZBGOHEVDPXTNSIRLAKMJYQU	PUYMDRSGOVIQXLTBFEANKJZH	FOQHILSZURDVEGAKTXPJNMBY	BDNXGRAUJLQOYTSKIEHVFZPM	IJZKSBXHFVGMONLYRPDQTEUA	DFHGNQMYZROUPAJTEKSLIXVB	LGQRHAOKPFXITESNJMUBYDZV	2
main	11	NC21	nStreams	0	right	8	225	M	0	9	M	True	4	45.0	0	0	RKEDYBIANGVJMFSLZPOQHTUX	VNMRGXFJTHPZOEAIDBQKULSY	VUGRKFIENBJXZQTLMYPSHOAD	IEUZVJLRYAFBDXQPTKMNOGSH	SITXDBHRKMJOPAEYVQLFNZGU	YUKVMTFZIPQABEXGDLJRONSH	ADYVGQKRLZBIFEHTUNMSJXPO	LIFGZQJDAPHENXTKUVSRYOMB	2
main	12	NC21	nStreams	0	right	8	180	J	0	10	R	False	6	90.0	0	7	HFOSMXAJIDZUKLNRPQYBETGV	QDYBJAGHNEKIOSRLMXZPFTUV	UTFSHQONBGMXIYAEKRZDVPLJ	YFGHAKENSPMLDJBVRXTZUIOQ	KMHEVNLJPFSQXZDGBAYURTOI	DPLTEGZIYNKSVQBAMFRHUJOX	POKDHAULSYRNXVZQGJFBIETM	JXHRKEYILVTFUOZQABSNDPMG	2
main	13	NC21	nStreams	0	right	2	180	X	0	7	B	False	3	-45.0	0	1	QXLHMDSEJVFIKZUBNAPYGORT	PQMSFEYXOAIZBRKJULTVDGHN	JLEVIYZNMDPSHBKROAXTUGQF	RASQZIYBXNGMTJFVPHEODLKU	IXGPEDRJOQMSYHUKLTZANFVB	MRPOFHYLSAGBNVITEZJUKXQD	RQDGAVOSYULMINJTHPKEXFZB	MFKRDTSGNYUZXPVBJLQOAHIE	2
main	14	NC21	nStreams	0	right	2	180	M	0	9	M	True	2	-90.0	0	0	TUMOAPSRINHKJVLFBDYEXQZG	VOFYMEDQGRJHZXUALKISTPBN	XNTEQZYUGMAJFKRHDISLBVOP	RQDAZOFPBJSGENMKLYVXUTIH	QDMTXGZESYRUPAKBJOIFHNLV	OTUEIPAVHXJZFYBKRGQNMDSL	TXJBHLNAEOQMPUSRVFYKZDIG	BEMNOFVKPIQHGAJZTUXYLSRD	2
main	15	NC21	nStreams	0	right	2	45	U	0	9	U	True	6	-45.0	0	0	SYKMDLXPGTRIZFAOHEVUBNJQ	YULDTEHAPGOFZSJXIQVRBNKM	ISGOQVMNHUETLPJFRBZXAKDY	KBFTJPDOIQAGYZVSRLEHNUMX	BTVZIMOAPJUFRGEXDLQYHSNK	MVSYQBTEZNKIDOJPFAGXHULR	AEMTXKFQDUBPVNILHYGZJRSO	DREFAVITMSLXHKYZPGQBOJUN	2
main	16	NC21	nStreams	0	right	2	315	M	0	7	M	True	1	-1.40334185971e-14	0	0	LHAQPEKMBONIRXVFZTJUSDGY	LTFUVKJMXDEAGSHYRNZQPOIB	KOJTGFMHPIEXADUQLYZNBSRV	LUMORXEJGAVTDSNPQFHZBYKI	GYBLNTDZSIMRPKEAOUVQHJXF	RZJIBSLNTGXKUFQOEMPDHYVA	KBVSTNFLZEYJMDUIGHXPRQAO	AKJUYPIBETQOHGSRNZXLDVMF	2
main	17	NC21	nStreams	0	right	2	90	N	0	8	R	False	0	90.0	0	2	DYSXLIUERVNMBTFKGZJOHQPA	THJIGMOBARDEPQXVSYFLKZUN	THVLONFQAEXMDBZYSGPKRIJU	MIVHTAZNDSLUXRGJKOFQPYEB	GILPSDUFHQMVJNRAZYOXTKEB	HFIYJPZAMERLVKQNDBTGXSUO	EDJNSOPBKXFUIGTRHQYMVALZ	ZBUQOKVJXLSTPRGHANDEIYMF	2
main	18	NC21	nStreams	0	right	2	0	L	0	7	H	False	0	0.0	0	2	ENPZUOTHXLMGYSIRJKVQBFDA	UGDQFZSYLXINMTHVARBEKOPJ	BUATIHSZRQLYGPDXVONJMKEF	ZEXFYILDMRTVNQOPSAHGUJKB	ULMIVTZJXKFBPSAYGQODRHEN	JYGAXONZKSQUEVFTPBDMHIRL	XNZRPUOJHGELBMVDFKSIQAYT	PXOYHRUVJFDMNZISLTKAEGBQ	1
main	19	NC21	nStreams	0	right	8	45	R	0	8	E	False	4	-135.0	0	14	XVEQYSOGDRNMIZBATJKFHUPL	THEFAZSLJXKYBQIUVOGMDPNR	XUJOSLPMFTVGNIHZBQEKDRYA	QKODSVYPEFRLBXTZJAMGHNUI	TQUDGIFYEJPHBMNZSLOKAXRV	VPETJUSKHRQFLDGYIBNXAOMZ	MNAQRFLHYXUTDPJBEGSKIZVO	FPSQEVBONGHAJIKDTYRUMZLX	2
main	20	NC21	nStreams	0	right	8	90	Y	0	6	V	False	1	135.0	0	1	RFILOVQXNAYBPZGKMEDUTHJS	DZEORAVYBTXQGNHPLFMKUJIS	FYQGHBTNXKAUPZDEMORISJVL	EOBZGUVDTHJFMXPYIAKLRNQS	UKYVZBXOIENGMLFSPRHQJDAT	UNVAPBLOYFKDMRTZJGHXEIQS	AZMHSOLINFGJVKBDEXRYQTUP	JXAZQLIUPFBKSHNTDVOYEMGR	1
main	21	NC21	nStreams	0	right	2	225	N	0	6	V	False	5	90.0	0	1	OTIFKDXAQRUJHNVPZLMEGBYS	RALBIKJXZNHFGSPOUQYVDETM	MIJXGRFNBDASTVHQPKLUEYZO	XBPUIOSHMZTFRAKYJENDQGVL	FBESXPYVKLZNMOITGHUJAQDR	AGDJZXVNRQBIFYSTLPKMUEHO	TBDYQNXKSGOZUMFVEPHRIJAL	RVETLBDSQUFKOGJIXZYNAMPH	1
main	22	NC21	nStreams	0	right	8	135	P	0	6	Y	False	0	135.0	0	3	MJBIAZYQUPRDVEFOGNHSKXLT	RDTVEAOLKXUMBGSNFYZIQPJH	GYFPINQRZOUJMBDVLKASEHXT	JNFVPETUBXLIYSRHOKGQDMZA	DJXVBPEMIYQGHNTOASLURFKZ	JOKBDRNXZIUFATPYEGHLVMQS	XMEGVYBQTHDZINJRKOPALUSF	ZVJGLTRPXUASMQOYBEHKINDF	1
main	23	NC21	nStreams	0	right	8	270	A	0	7	A	True	1	-45.0	0	0	DOAJTHKZPVUMBSQELXNYRFIG	PBHLKDJAQVESZUOXTMGRIYFN	AUOHZXBQJSFRVIMGYETPLKND	KANQRXMBLPZGEFHSUTJIVOYD	DGTSKFEQAMNHLPIRBOYXVZJU	UXPNHFRDJBAEQKLSYMZGIVTO	YIFEZDHQBKNXTMLVAGSUPROJ	JYNODLFUQRMPZIKTHXVSBGAE	2
main	24	NC21	nStreams	0	right	8	315	Y	0	9	A	False	2	45.0	0	2	FTBGEJDSUAHYONIRVPMZLXKQ	QMLAUTOYPFGRZSKXNBHJEDVI	EOIRXLKGUAVYSHPTQFMZBNJD	TFUDXIZKNMYBSGVRLOQPEHAJ	QPELMKJTIOFBRYHAUDNVSZGX	YTMSPFGXUHBJELODNRVZAKIQ	ANMGOQSLBDVXFZREPKJHUYTI	PVYKXMEQNOSGDAURHJBFTZIL	1
