experimentPhase	trialnum	subject	nStreams	ring	crowded	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	0	RN2	2	2	Bouma	L	0	9	U	False	120	120.0	0	0	0	-2	AFTYGRQLXUHSEINVBZOMJKPD	IJMOVRSNTYPXZEHGUFDBKLQA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	1	RN2	2	2	Bouma	Y	0	7	H	False	60	60.0	0	0	0	-2	OINUZYTHFLJAPMDVGRBSEKXQ	QREPYMXOIGBVLHKTUJDNZASF	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	2	RN2	2	1	Yes	I	0	6	H	False	0	30.0	0	0	0	1	EPKJZXHISDGATYFRVBUMLQON	IBAEXROVMDLZQKHTNUPYJFGS	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	3	RN2	2	1	Bouma	X	0	8	U	False	60	90.0	0	0	0	1	PFNHEAYSUXZOKMDRLTBJIQGV	VOXDYFTQBGLSPNIHRUKJMZAE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	4	RN2	2	2	Bouma	Z	0	8	F	False	120	120.0	0	0	0	-1	KORMSIJZFYNEBHQLAUPXGTVD	MKZJVXLSGFDEPYURBNQITHOA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	5	RN2	2	2	Bouma	M	0	7	K	False	0	180.0	0	1	1	10	PLIUESZJBDARQHFTKYOMGXVN	EJBAIZXKNRVDLSOFUMQHTGPY	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	6	RN2	2	1	Yes	A	0	10	A	True	60	270.0	0	1	1	0	TBEPYOXHVJZLAFGSNRIKDMUQ	MQVLUXRESDAOYIFKBPNZGTJH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	7	RN2	2	0	Bouma	P	0	8	K	False	120	120.0	0	0	0	1	AFHJQUTGKPVZRESLDMNYIOBX	RBVELQGTXMOHPUDZFNKJSAYI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	8	RN2	2	2	Yes	M	0	7	F	False	60	240.0	0	1	1	-2	YLNVHIFKOQSEXTJABDGZUPRM	OUAQHMGFPKSJLINETDZYVBXR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	9	RN2	2	0	Bouma	T	0	6	B	False	60	240.0	0	1	1	-1	SUOAGPRHLMVEIDYQNBJZFTKX	APLZNTBJRYVXGOMUDKEFHSIQ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	10	RN2	2	2	Bouma	B	0	8	X	False	60	240.0	0	1	1	4	KGJZVYXRSFMBTEUQAPINODLH	HPELOQMRXNYABZDUGVKJSTFI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	11	RN2	2	1	Yes	M	0	6	A	False	60	270.0	0	1	1	-6	HZDJPGQKBIYTAROVLMFESUNX	MXNSVFAKJEGIHUZLRYTOBDQP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	12	RN2	2	0	Yes	Y	0	6	X	False	60	240.0	0	1	1	4	ROYMTLXBVGHAJEIZPSUKFDQN	FHLKZUXTAPYVBERMQGSNDOJI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	13	RN2	2	1	Yes	M	0	9	N	False	120	150.0	0	0	0	-4	ZKDUHMQXENAIRTGLBOVPSFJY	OJDXNUPKZALVIMTFSYQHBGER	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	14	RN2	2	2	Bouma	B	0	6	H	False	0	180.0	0	1	1	-3	JFBAMTRUZPVGYQNLHIDSKOEX	JSXBYGHTZARPDKUIQMNFOVEL	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	15	RN2	2	0	Bouma	K	0	6	S	False	60	60.0	0	0	0	1	UBHLTYSKGVJFEMXARPOZNDIQ	NPJTXMDBVYHEAUGKZQLRFOSI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	16	RN2	2	0	Yes	E	0	7	P	False	0	0.0	0	0	0	-1	DGULJREPTQOVSAHINMXYBZKF	NIDSERUMQTYOJXZKBAPVHGLF	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	17	RN2	2	0	Yes	T	0	8	A	False	60	60.0	0	0	0	-1	LGSKDXJTAOMIZQHPFNREBUYV	AMJGHRSVYZPEDLXFBKOTQUIN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
