experimentPhase	trialnum	subject	nStreams	ring	crowded	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	0	WN	2	2	Bouma	L	0	6	K	False	0	0.0	0	0	0	1	NUTQHBKLVEFOJIAMGXSZDRPY	SQGIREMUANVDLZTXPJKYFBOH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	1	WN	2	2	Yes	M	0	10	K	False	0	180.0	0	1	1	1	AEYPQGXHDZFUNIMTLJKRVBSO	SUYZFHVDOIKMJGRNEQLPTBAX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	2	WN	2	2	Bouma	V	0	8	A	False	60	60.0	0	0	0	-2	BGDIJUVNAOZLTEYQSPXKHRMF	HGEBZYUJRMISTNDFLOAXVKQP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	3	WN	2	0	Bouma	R	0	7	R	True	60	60.0	0	0	0	0	MUJPTDLRGNASZEIHBXYKOFVQ	SVDULXBIANRMJEPGTKQYHFOZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	4	WN	2	0	Yes	U	0	9	U	True	0	0.0	0	0	0	0	XEMIJLNBQUPOYSRVAZDFHKTG	VSTYPGXJZRUQHFIKLDMNBAEO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	5	WN	2	2	Bouma	S	0	10	S	True	0	180.0	0	1	1	0	OKEBQYDPFXZRNUVMSJTGALHI	FTBEHVNKRUSDAGXMJPYQIOLZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	6	WN	2	0	Bouma	T	0	6	T	True	0	180.0	0	1	1	0	BPYRQTHLMJAZESOXDKIVNGFU	JFPIMOTSELXDNRBAHZYUVGQK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	7	WN	2	0	Yes	A	0	6	H	False	120	120.0	0	0	0	-1	BFTJOAHVPGUQYESDILKNMZRX	FJNTOXHGIAEVSMDBQUPZKRYL	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	8	WN	2	1	Bouma	S	0	10	Q	False	0	30.0	0	0	0	-1	OLMTVXHZASQKDEIPGFUNBYRJ	DXLGZKERPBMINSATHFJUOYQV	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	9	WN	2	0	Bouma	D	0	10	D	True	120	300.0	0	1	1	0	HMZUBNDEISXFVPRGAQLKOYTJ	JEYSNRFZIHDMTABLGVOUXQPK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	10	WN	2	0	Bouma	I	0	7	L	False	60	240.0	0	1	1	-1	PSFRYUZTLHNGEDQAKXJMOBVI	OQRSBDILVEPXZFJNTMKGUHYA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	11	WN	2	1	Bouma	B	0	8	B	True	60	270.0	0	1	1	0	EHVTAJZOMKYGUFSRQIPXLDNB	RPVSTMFXBEJLKAGIOUQHZDYN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	12	WN	2	0	Yes	A	0	10	A	True	60	60.0	0	0	0	0	EPMYSXTZIHALDVJRQKGUFNOB	QUEDBGRZYMKXTVSPJHOFNILA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	13	WN	2	2	Yes	P	0	6	N	False	120	300.0	0	1	1	10	UIXSQDHOMVKPLENBGYFTJRAZ	KDALOQNRTHSFMXZBPUIGEYJV	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	14	WN	2	1	Yes	M	0	8	U	False	120	150.0	0	0	0	-1	FQSOZTIMURBEGNHVAPJXKDYL	VHTZEXBNKIYLAMJQGUOPSDFR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	15	WN	2	0	Yes	Z	0	9	Z	True	60	240.0	0	1	1	0	IFZYABKLPHQNSXVORJDEGTMU	PEJLYSMKRZNBOHUGQIXAVFTD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	16	WN	2	2	Yes	S	0	10	G	False	60	60.0	0	0	0	-1	DTRXVBUNLSGPHFOIJQEKZYMA	JPGEMABTXHFUVSLKNZYRIQOD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	17	WN	2	2	Yes	D	0	7	V	False	0	180.0	0	1	1	1	FGUANZDSOHIBLTRXEVMPKJQY	ZEGRAPSVDOQIHJMUNYBTLKFX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	18	WN	2	1	Bouma	Y	0	7	G	False	120	330.0	0	1	1	1	MQDUTENZHPVAGRFLXYKSJIOB	QFHOJSEGYAPKTDBNZXRLVMIU	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	19	WN	2	1	Yes	D	0	10	O	False	120	150.0	0	0	0	1	ZQPMTRUJEIODGVLFYASHBNXK	MUZEODRIGNJPLFSVTQKXHYAB	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	20	WN	2	2	Bouma	D	0	8	K	False	60	240.0	0	1	1	1	KYTUHJZBLVAMIEQSPODRXGFN	HOQIASZFKDBYNJGEURVTMPLX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	21	WN	2	0	Bouma	X	0	8	X	True	120	120.0	0	0	0	0	DEMHJQBYXZROPALFGNTSIUKV	BJKNZOPUQTYGSLEFAVHMIXDR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	22	WN	2	1	Yes	M	0	6	Y	False	120	330.0	0	1	1	-1	NMIJHLDAGTSPFURZOBVYEKQX	IHKVUMYSOFTELDXGRQPBJNAZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	23	WN	2	0	Bouma	O	0	8	S	False	120	300.0	0	1	1	2	HSFZIDORTBQLXKUANEMVYJGP	GHLAERVISQOYBMPTUNZDJFKX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	24	WN	2	1	Bouma	I	0	8	V	False	60	90.0	0	0	0	-2	JMFAQXITVPOENDUKSRGZYLHB	KIYLEUGHZDQXPAOBFTVSMJRN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	25	WN	2	0	Yes	L	0	10	H	False	120	120.0	0	0	0	-1	AYIBKNQPULHTVOGEXDJSMZRF	MLTDZRHIKJEQUSXPYVBOAGFN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	26	WN	2	1	Yes	A	0	6	R	False	0	210.0	0	1	1	1	NLMEPQZFXIGVHJOYADSTRBUK	YEFJNGRAIOHZPDSXKQVMUTLB	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	27	WN	2	2	Yes	P	0	6	A	False	120	120.0	0	0	0	-2	EHZOPJADNBYGITXRMKSFULVQ	VDXJEZKLUIFYAPQOHRMTBSNG	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	28	WN	2	0	Yes	F	0	7	A	False	120	120.0	0	0	0	-1	EQKXUOFATSIHLMPJDZBNRGVY	GEQDMKJRNPYATZUFSHIVOBXL	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	29	WN	2	1	Bouma	N	0	9	P	False	120	150.0	0	0	0	1	SORBZEKGAPNQFHMUXTJDLVYI	EOLHPFAGNUMQTKBVXDISRJYZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	30	WN	2	2	Bouma	X	0	9	G	False	60	60.0	0	0	0	-5	LHFBXIQDAGYUOMJPKNERTZSV	OPAJFNMDGKEXTSYVIQUBLRHZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	31	WN	2	0	Yes	V	0	6	V	True	0	180.0	0	1	1	0	URNEGTOBLPYQDVFHMXZIJSAK	GDLMKPVOXQTAYBNUFSJZREIH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	32	WN	2	1	Yes	U	0	9	T	False	120	150.0	0	0	0	-2	QEJYDZMURTFXNKOBLVHIPGSA	JQOBSYMRZFUIKNXLVGPATHDE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	33	WN	2	2	Yes	V	0	7	V	True	60	240.0	0	1	1	0	TVJASOREFBDXPHLQNIZYGUKM	IRFLYGNVBHSDJUKQEXZAMTPO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	34	WN	2	2	Yes	F	0	6	R	False	60	240.0	0	1	1	-4	TPFVOSXAUNHEJLGIBZMQRYDK	HDFOTMREBPZJXKLIVSQYAGUN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	35	WN	2	0	Bouma	Y	0	7	P	False	0	0.0	0	0	0	1	UOQKDATPYESXNMBILVGJRHFZ	TRAONESJZQYLUXIBFVKMHPGD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	36	WN	2	1	Yes	M	0	9	M	True	0	210.0	0	1	1	0	KXJYRMNDUELBSHVIAZTOFPQG	VSYNHPBFIMKLDTJEARXGQOZU	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	37	WN	2	2	Bouma	X	0	9	P	False	60	240.0	0	1	1	-1	OKFAYNUZLRPSHEIVDGBMQXTJ	DSMKJIYFXPVHTZORAEQLBGUN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	38	WN	2	0	Bouma	H	0	10	P	False	120	120.0	0	0	0	1	JTEQFRAGSXPHBUMLDVZKOYNI	YTNGMPZBAFDJUXSQHKRVLEIO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	39	WN	2	0	Bouma	T	0	7	T	True	120	300.0	0	1	1	0	OXIMQLRVEZDYATGKJNFBUSHP	QODIGVZTEFRYJUPMBALSHNXK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	40	WN	2	2	Bouma	M	0	10	K	False	60	60.0	0	0	0	-1	VQDITPGYUMKFXRNBSAOZHJLE	AMXTHDOGPEVYKBFIUZJNLQSR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	41	WN	2	1	Bouma	S	0	7	S	True	0	30.0	0	0	0	0	JIONYHLSPFRDGETZAXBKQVUM	ORKDHMYZPNSQFIVBTAGXJEUL	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	42	WN	2	1	Bouma	P	0	8	N	False	0	210.0	0	1	1	2	ZJDXTKURGBNEYOPAHLFIVQSM	TORLFUGQNDPZXESVBKJAYMHI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	43	WN	2	0	Yes	G	0	9	Q	False	120	300.0	0	1	1	6	UGZQORNJFKYBTDEVPAXHLMSI	DJKVLFUNRQAYTBSGIZMXOEPH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	44	WN	2	1	Yes	M	0	7	V	False	120	330.0	0	1	1	3	LBIFRXMEPQJUHKDYZAOTGNSV	SPLKOREVBDMUFTQIXZNYHJGA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	45	WN	2	2	Yes	V	0	9	F	False	0	0.0	0	0	0	-1	ANEIPLKTVFUQXHGJDMROBYZS	EUJLOXYISMHVTAQKNDRBZFGP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	46	WN	2	1	Bouma	M	0	7	E	False	60	270.0	0	1	1	1	VTXLSNAKGZOIHEMFYDPUJQBR	VRDFOUAEMSTJIKYNPHLZBGXQ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	47	WN	2	1	Bouma	H	0	9	U	False	60	270.0	0	1	1	1	URILABQKMHYJFPXNSGDVOETZ	NQJZTOYPAUHRSGLKMDXVFBIE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	48	WN	2	1	Yes	X	0	7	X	True	60	270.0	0	1	1	0	LQVXYFBEASPRIJGODNZTHKUM	BNOHRGIXFTMDSPQKYLEZVAJU	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	49	WN	2	1	Yes	D	0	10	B	False	60	270.0	0	1	1	2	RULGBSNPIAOTHVKZXEYFDQMJ	AMSKOGHQYEBIDFZUPTLVNXRJ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	50	WN	2	1	Yes	F	0	7	T	False	60	90.0	0	0	0	-1	YPANHQFTRDZMJLBIEKVSUGXO	NXMFQSTLGBIEUYPRZDOJKAVH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	51	WN	2	0	Yes	S	0	9	S	True	0	180.0	0	1	1	0	EIUNBOGPHKZSDLYJRMAVFQTX	TMLHEVUDBSKFZNOQGRJAYIXP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	52	WN	2	1	Yes	A	0	10	A	True	0	210.0	0	1	1	0	AEJPSFTGHQIBZVYONLMRXKUD	NMEZRJUKOTAVXGYSHPILBQFD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	53	WN	2	2	Yes	O	0	6	O	True	0	0.0	0	0	0	0	YMAKPUOXHGBJFSEIVRZTDQNL	QAMEGKDIZUSNJPLHVBOFXTYR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	54	WN	2	1	Yes	G	0	8	P	False	0	30.0	0	0	0	-1	BIFELQXGPVZKONDMJSRTAUHY	UEJXLKOATSZDNYHMGVIFPBRQ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	55	WN	2	2	Bouma	T	0	6	I	False	120	120.0	0	0	0	-2	KOUSTQIRDNJFYZPMXBAHEGLV	GFPQZLIEXAHBKDYJOSTRVUMN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	56	WN	2	0	Yes	B	0	6	B	True	60	240.0	0	1	1	0	PAOXSLMNJIDYGZTQUERBHKFV	XFUNLKBMJGYOSDPTZAHQVIRE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	57	WN	2	1	Bouma	P	0	8	A	False	0	30.0	0	0	0	1	NHGXVRDZAPOQJTSLFKIYMBEU	ZSHLMEAGQPBVFKXRTJNIYODU	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	58	WN	2	1	Bouma	E	0	6	E	True	60	270.0	0	1	1	0	ILTNSPJAYOGQZBVRHMEDKXUF	XHVPDLEBATOJZSKNMYGRFUQI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	59	WN	2	1	Yes	Z	0	6	Z	True	60	90.0	0	0	0	0	OHXVFLZQMISEKPDATJRNYUGB	JUBGPXKEIRDSMFOZTNAVYQLH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	60	WN	2	0	Bouma	L	0	9	T	False	60	60.0	0	0	0	2	PFVKUMEOYTNLXZGIAQBDRSHJ	ZPELJBKISVOHRNQGMTUYADFX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	61	WN	2	0	Bouma	V	0	7	G	False	0	180.0	0	1	1	-1	JHSRZXTMFLGDAIVPEBOYNQUK	SJBTENVGKYQLHMZXAPFUIDOR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	62	WN	2	2	Bouma	L	0	6	T	False	60	60.0	0	0	0	-1	VRZDQLTGJEASOFHUBYPXMINK	MAHTZPYFEDNRVOBLKSGUJQIX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
