experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	YZ15 	 oneCued 	 0.0 	 right 	 8 	 90 	E 	0 	7 	J 	0.0 	2 	0 	3.0 	YSGLFTZVNHMKDQUXROBEJAPI	ADIJMNORBXVGEFQKPHTUZSLY	VOPUQBSJATEDKXIGRZFLYMHN	RETJAOYQUKGBXPZINMSHLDVF	HGVNDISUQORBKPYLMJXEFZAT	JIKDVUOEHMPLGSRTAQFYNXBZ	GBPOJEMYXKVFNLZQHTISAUDR	BKFMLEJASUNQYGXPROIHTDZV	0
main	1 	YZ15 	 oneCued 	 0.0 	 right 	 8 	 180 	T 	0 	9 	S 	0.0 	4 	0 	2.0 	AQGEPIVMJNTRKZFDOYUBXSHL	FOLBKZRVXSEAYQGNUTHPDJIM	EHPNLKDSZVBJYMRXUIQTOAFG	LIXRNKTGZOSAPHVUQJDMYBFE	BAHZOJMGRSDTYKFUXLNPEIQV	FUNPSKBYVQROXGTEMLIZHADJ	TUQBFYSRPZLOXJKNIMDGHVEA	PTZUOHDGSYAVQLBRJNMEIFKX	0
main	2 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 315 	O 	0 	9 	D 	0.0 	1 	0 	2.0 	VALZNSFBUPOKJMYTREGDXHQI	UVXQGPFNYDHORALITJZEMBKS	-99	-99	-99	-99	-99	-99	0
main	3 	YZ15 	 oneCued 	 0.0 	 right 	 8 	 45 	H 	2 	6 	Q 	0.0 	4 	0 	2.0 	GTSXJMZNDEIBQFRYLUKHAPOV	PYIAZNHRDQOMTSFVXLKUBEGJ	TIMNJYVOPDHKXEBFGSQLZRAU	YIMQLGAXSORUVKPFBZHDTJEN	ANRLTYQGHIUSZEPFOMBDVJKX	TESVDPHBZIMJLXKQGNFAYORU	BITVQUXZDAHFLNKJYMOPGERS	BUPEIKHZJNXGYSARDQTVMOLF	0
main	4 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 180 	Y 	2 	7 	H 	0.0 	1 	0 	2.0 	QZJKOHRPBNDUIATEMFXSGYVL	ZUGOJNKHVYDASIRLFTQEXPBM	-99	-99	-99	-99	-99	-99	0
main	5 	YZ15 	 oneCued 	 0.0 	 right 	 8 	 180 	S 	0 	10 	B 	0.0 	6 	0 	-8.0 	ZRHODKJSFEYULMIAQGNBVPXT	ZSPJLYBIQTDGKMRUNHVAEXFO	NUSMKEZGIALYDHQTBVJOFPXR	ENKALHSYVUTMJGXIRPDFOBZQ	OXSEZKDTQGRFVPYLJINMABHU	PMRZKVANSHXEOGFUITJBDYLQ	FASYMPOHRQBGTZKUEVNLJIDX	XMTEUGQKYJBFHLNIVORADPSZ	0
main	6 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 45 	D 	0 	8 	K 	0.0 	1 	0 	-2.0 	RMPZKEGYATDIFLJNBOQVXHSU	RBMOYIDAKQJSVXTFPGZELUNH	-99	-99	-99	-99	-99	-99	0
main	7 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 315 	M 	2 	10 	E 	0.0 	0 	0 	1.0 	TRSHYGLJQNEMKPFADIVOXBUZ	BQLTEHZVIRUSKPNJOYDMXFAG	-99	-99	-99	-99	-99	-99	0
main	8 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 45 	P 	0 	7 	V 	0.0 	0 	0 	3.0 	LXMTBJRVDFPKHZSYIONUAQGE	NOVDEZAXKRSHJBQLPFGUMTYI	-99	-99	-99	-99	-99	-99	0
main	9 	YZ15 	 oneCued 	 0.0 	 right 	 2 	 0 	T 	0 	9 	N 	0.0 	0 	0 	1.0 	KDGRFOBUZNTXPHJSIEAMVLYQ	UMQJTDYAXVRLKPFENIHBZOGS	-99	-99	-99	-99	-99	-99	0
