experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	CB 	 oneCued 	 0.0 	 left 	W 	Q 	0.0 	2 	0 	2.0 	ASXLPTMBNZGRHFQYOVEKIUJWCD	RLACHUTPDZMXGQWNKIOFVBEJYS	SGPYKDQXWMVJBZIEACFLRTUNOH	PENCGOFKXMTDVZWSBRHYAUQLJI	ADVRKMGOCWXYSBIZTNQLUHEFJP	VQISUOGDHTBXPZKAWNRYEMLJCF	KTQJGVIDNFCUYRMLHABXWESOPZ	MFUPXWDTVGLJAOQCNREYKSZHBI	0
main	1 	CB 	 oneCued 	 0.0 	 left 	Q 	U 	0.0 	3 	0 	1.0 	FUPDSAJEHOTXRZMBWYILNCGVQK	CTAKVUMFYSBPGLEJOQWDZNIHRX	FUPQXAKZHIRLENMGCDYWBSOVJT	TMCXAWJUQFGEBVKZNLRHYOPSDI	WDCAGHXQSIMKNUEFOVTJPYZRLB	LXGOSJMAHBDFEZPCQIUVKYRTNW	KYGFZBIOHNUJEXQWTPRMCAVDLS	JPZVSTRIGNAKDHMEXFUYWQBCOL	0
main	2 	CB 	 oneCued 	 0.0 	 right 	W 	J 	0.0 	2 	0 	2.0 	WTHSLKFPANGDZCMOIXJERYBVUQ	JOHFGRETLNDWSACIPZYUMXBVKQ	VIHFXTNOJRWAUKEGLMCZPBDSYQ	LOBYAGRZJVQDKPTMCEFUHNWSXI	DLFJOGNYAMPRIXQHVTCZBUKSWE	AWJTPSVGNFBHYLRZMKQUECDXIO	HRESVUCDYQBMWPKOAXTLZFJNGI	EXOGMVDHUTCSZKPRWNIBQYAJFL	0
main	3 	CB 	 oneCued 	 0.0 	 left 	R 	Z 	0.0 	1 	0 	2.0 	VNKJPOIWLYSDFATZBEUXCRMQHG	IVGDJHKMWZXRUPCBALQOEFYNTS	TYVDHIBNWKASLFPCMJROUGZEXQ	JKFTOEGMARXUBYNZCWIDSQPVHL	EKBIHPVDOLJNYAFMUSTCRXZGQW	EJHDVQKUWSGPRBIZYNFTCMOLXA	HEVJPNLAMTFWRYZSQCUKGIDOBX	IXYUBLMESWZKTONCJQAGHVDPRF	0
main	4 	CB 	 oneCued 	 0.0 	 right 	Z 	X 	0.0 	0 	0 	2.0 	KTGQWESXVZMFCIBNODLYJHRUPA	MXLSPRJOFYTBAQZDIVUEHGNCWK	BUIJMQTEKYOPLZDXSNRAFHCWVG	ENGCLISTXZFBADRJKUMVQOWPYH	LZGBCJANIVMTQFYWDKPXEORHUS	LQEXOAJHFGMWISVDCTYZKURBNP	SKUEAPJWNIOTQMYXDCLGZVFRHB	PITKFSECJZOQNVXGAULDBMWYRH	0
main	5 	CB 	 oneCued 	 0.0 	 right 	S 	L 	0.0 	7 	0 	3.0 	KEGUWPDORTAVBCJYFMLHQZIXSN	YJRXKUNLEHDOSMWPZAGVIFTBQC	TWEHNKQJRYGBCZIPAMFLOSXVDU	FGEYTKHISPZAJBVCDLWUNMOXQR	UIREFQDJBTPWMXZLKCYHGONSVA	CAVXLYNUKPSOITGHFQRBWMZJDE	PKHYFURNAVCGESXIOMWLJDBZTQ	KJMIBFVYLZWSOXQGNHCERPDATU	0
main	6 	CB 	 oneCued 	 0.0 	 left 	C 	T 	0.0 	6 	0 	2.0 	TLRQMFSXYWEJPHOZBKVAIUNCGD	RHTUMNJFVPBOIWEAZSGXYLDKQC	SCYBZROWMNQDIKPAJFUTHEXVLG	FYEHTXODRLNABCWSQGKZMVPUIJ	QYSBDPWREVCJKMHLTZXIANUOGF	DYKJBOUAHMWCSEVNPZXRQGILFT	JVZMIQKEFRTOCHWBYSUALPXNGD	XHCSBONLYKDQZAEUGTPIMFVJWR	0
main	7 	CB 	 oneCued 	 0.0 	 right 	B 	B 	1.0 	4 	0 	0.0 	LEXUGJRSHQVCAZPNTBDFKMYOIW	JULFKCXMEGPTDSHZYIWQRANBVO	JMSGPZTVCUEOHKNLQAXRIFBDWY	ENMFQVZACGKWPJTRSBUIYHOLDX	YERAVZUCSBDTPNWGIMQOHFKJXL	HTJZBXKMROCSFELWQVNYPDGIUA	DVGECZILXOFNTUPAYRJKMBHWQS	NVTFWHJQBEISCZDLYPROUKAMGX	0
main	8 	CB 	 oneCued 	 0.0 	 left 	A 	N 	0.0 	3 	0 	1.0 	BLZTVEGWQSRIJOHCNUAXPYKMFD	EUPKNOXWRZIGBASYVDLJQMCFHT	WFDXUTNOQLRZBHSAVKJMGEPCIY	XLVZOKCNAIHQGYWDMFJESBTURP	NIHULYKDJBQRSWTPMFXGCZVAEO	JFKGYAUSMOTCLWEBVPNIRDHXQZ	WBLQXZRIGKPUHYETCAMNFSJVOD	NVTOXUHPLIDAFBCJQGYWMZSKER	0
main	9 	CB 	 oneCued 	 0.0 	 right 	A 	R 	0.0 	7 	0 	1.0 	OYHKNVPXSRJQMIGCBUDEZTFLAW	POACXGWRSMQJNHZLFKEDVUYIBT	ZLNFWYRJPTAVIXGSMOHEUKQBCD	MKERUJZWINQOBPVCTGALDYXFHS	FOWIVPMZJUYCRDXBSQGNLKHTAE	QYJDBRVCMOXHKANLTWSFZPIUEG	HMJCWOBXEKLNYDTVIASRQZFGUP	GYEKSDXZNORATFUBMJLCWHVIPQ	0
main	10 	CB 	 oneCued 	 0.0 	 left 	R 	R 	1.0 	4 	0 	0.0 	JIELRBZKOHSCYGUQVDMTANPWFX	UMNQHETDBLCSAIJKRPGOVFWZXY	LYSKAVONTCGXQWMZRJBPEDIHUF	DRIYBPSVAMUWLFKQEZXTGHONCJ	ZBXMUYPESRFAJKCGVIWOTNLQHD	XCQBDPOKYWAMFNZHVSTLIUJRGE	GVIMFECYPTKQBJWAZDOXRNULHS	LFYWKXQHNUOAESZRGDJVIMTBPC	0
main	11 	CB 	 oneCued 	 0.0 	 left 	Y 	F 	0.0 	2 	0 	1.0 	KDGPQSRCUIXNEWHYZBLFVMJOTA	RFGJMVCWQILPTZOXDUYSEKHNAB	VWMCLGFYOATQDXBSZNIKPJEHUR	IYWZJDUVPRCBHLSMEKXFNOGQAT	JDKUXFLYNQEATCBHSOWMRGVZPI	CNYQXZUBHSRDFEWIKOPMAVJLTG	BQLHMPADEIVTKZCRGXWUOFSJYN	MOQCWIESZBGXVLRNJYFAPKTHDU	0
main	12 	CB 	 oneCued 	 0.0 	 right 	A 	D 	0.0 	6 	0 	1.0 	IXZSQYUELNPVJHWDFCOMKATGBR	FOMKWRSJBLYGUPINXHCQZAVDET	CXQZNHTBGPKROLEVUSWDIMJFAY	VIGKQMHXOBAFRWLPTNECUJYZDS	HZEPLAOQBNWCJYFMXKVITSGRUD	HORKBQTSIWCAENPVLJZYMDUXFG	MIXSHJYOURDAPGCEWBVLQFZNKT	FKIRSYZQEAJDLPMTVXUBHWGCNO	0
main	13 	CB 	 oneCued 	 0.0 	 left 	G 	W 	0.0 	7 	0 	1.0 	HBTNLFKCDAGJXYQMWPEROUISVZ	IBDQPJSLTZCHVYOWUMKNAXGEFR	KWDZJYNVULXAMPFCTGBHIORQES	TYJSWPKBAMFRCLINXGDHZUEQOV	OGDREWAHJUSTPCIYNXKBQMFVLZ	XDUSPJAROMFKQEZYCNIHVGBWTL	FSANWHTBPCUJQMRLODGEKIXYVZ	PJRIXQKOWGMTDYEUFZSHLVACNB	0
main	14 	CB 	 oneCued 	 0.0 	 right 	X 	G 	0.0 	6 	0 	1.0 	PKOAZJXSDHWMYLBERFNQVTGCIU	DONJIKSWRHAUPEVLMQGFTBXZYC	ZROUILVEWQNHFPMTJABXKGDYSC	JFADZBQINHWSVUKLTGPXCORYME	KJQCXFSOIREPWUTZNHLVAMYBGD	GXHKZPFWINQDVMLJRASOUYECTB	YWDPTSGXRQLZJIFCBHAUNVMOKE	FDEBYXJPGKMACWQOVILZHTUNRS	0
main	15 	CB 	 oneCued 	 0.0 	 left 	D 	K 	0.0 	4 	0 	1.0 	UYNTIPHCOXSWQLAZFDMGVJBKER	OSHJRFLPZVDKIEBWMCXUGQYNTA	ZLPMFEGSDBIAKROWYHTQUNCXJV	HCPZEWTLYIQKDRUBONVGSJXMAF	TQERGLNOKDPFWMIBASVZJXUHYC	UYCNZFTEVQOIPRBDMWSLXJKGAH	YOSJENKDIMHAZTBWPVGUXLQRFC	AHYJKPNLDZIOWEMRGSBUQXFVTC	0
main	16 	CB 	 oneCued 	 0.0 	 right 	V 	T 	0.0 	3 	0 	-1.0 	GPOBHTAKUFVRXECSQNIDZJYLWM	DUISLJOXPNBQFGKTECZAVHRMYW	MTRXFSUBKHWZNQELYODAVPICGJ	MQJSKVTHNEIWOCFDUGBYZPRLAX	KDRXBEHOGWVQYFPNUMIALJTSZC	INVUGPYBCDLJMOAKEWSFHTZXQR	JHUVLNPXOQEYSTIFRMBKDACZWG	CFKTRPVQDNIBXSOYGHJEMWZAUL	0
main	17 	CB 	 oneCued 	 0.0 	 left 	C 	G 	0.0 	0 	0 	4.0 	OKNLPTFXEWGQHMCIYVRSUZJDBA	QMYRIOPCTVHEKSLAZWUNFJXBDG	PMYWGLSJEUACQFXZOKNTVDRBIH	GAIODFMEZUHYVWBXLTJNPSKRCQ	HXKYEDACFQUSRVZOMJGWTIBPNL	YIQCBMAERZXKPVWJHGFUDTLSNO	FIKXAEOGNCSVYDMZJPWQBHTLUR	MVJBEOLWASUCFZHXITQGPYNKRD	0
main	18 	CB 	 oneCued 	 0.0 	 right 	V 	W 	0.0 	4 	0 	1.0 	AVGDUMZKEOJIBWTRSQCNXHPFYL	NIDFSTXAMLBEHJQPYRKUOWVZCG	REHTKPWOFYDBMAGUSINVXQLZCJ	ZOEMXRJSHCAPUGWTINLYQKBDVF	FPIJEONMCWVXKHLSQYRBGTADUZ	BALPHUEZROMYNSDFKJIQCGTVXW	TVNUYWKMGIZPOLRJCADBEFXQHS	YTBIVRWSMJQKXLGNOFAZECUHPD	0
main	19 	CB 	 oneCued 	 0.0 	 right 	P 	Z 	0.0 	5 	0 	1.0 	DKTJEHQMXOFBAUGNYSZVWPRCIL	UVGEDBCPMYAWJSIQFZOTKHNRLX	JKXTQHSIWCZDNLAGOMBPRUVFYE	YZIVFOMNLCEKSABJPRTUWDGHQX	VXDGFSJKIZPWLHYMBOUATENRQC	CTMOEKXZPSJIWABQRVDLGHUYFN	FPXUCITJDLHYSNZVMEWQARBGOK	TMFLYUJOWQZKGHXRVEBSPCANDI	0
main	20 	CB 	 oneCued 	 0.0 	 right 	R 	D 	0.0 	0 	0 	2.0 	MJOEHXNAGDKRIBCVYTPWFUSQZL	PHVSYXNEQWRGIBKTDMCZUOJLFA	RPBHISDXYAVGJUWZQLKMETOFCN	EZBJFOQSIVYKRTDXWMAUCLPNGH	PCXAONZEIUHRDFJTKWQGLVSMYB	WQZJHMOCXUYIPBDRVELFTSNKGA	LAHCBYFTVJMPUKXWZOGIDNRQSE	JXWVKZIEYGFBOCDMQANSUPRLTH	0
main	21 	CB 	 oneCued 	 0.0 	 left 	M 	D 	0.0 	6 	0 	1.0 	FZWNUIDXYCQOEJMSPGKABVHLRT	YASNCBVGWTDFJUQMOHZKPLXERI	ACIYDFWSBMENLZOJGQPUTRXHKV	SQPLKZUETMXAHCDOVNFWJBRGIY	COPQRDJKZYNBFSTXEHIULWMAVG	IDVUKMWEROQGZJCXSPYBNLFTAH	HOIUPTQENDMAXJVFKLBWSRYZGC	HBCTQKEGLJMAISZUFNRVYWOXPD	0
main	22 	CB 	 oneCued 	 0.0 	 left 	D 	T 	0.0 	7 	0 	1.0 	HCTYLVNSUPMQJEOAXGKZDFIBRW	TECGLXVUIPNRAQDHOBFJYKSMZW	GYCRXHSUMENTFDIZOJAPLBQKVW	HMQNULYKJFTAEWOZGDXBCPSVIR	OBTCZJPHRVNFYSIDUKLQAWXMEG	QAYEUDCMXHFPGJVRSOIWKTBZNL	QFJIBGUVWYKSEAOZLNMRPDXHTC	VKLORNJFTDBAYCGQSZEWHMPIUX	0
main	23 	CB 	 oneCued 	 0.0 	 right 	M 	D 	0.0 	2 	0 	1.0 	KQVIYTUSEGJRAWLFZNCMBXDPOH	GEYLWTARSIBQUJXPNZFDMOCVKH	BWPTXEZIDMVGFCHURQNYOASJKL	JKNDHOXQZWYGRIEUTMABFLSVCP	QVHFCYETBKASDRXPUOIWJLZMGN	GSWZJNAEYDRQPBTFOHKLUVCXMI	PIQXTFHAWMCDEOLYKGRUNBVSZJ	CBPMSGANEJVLOQWYRFDZUTHXIK	0
