"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"correctPos"	"responsePos"
"main"	20	"KR "	" oneCued "	0	" right "	"D "	"P "	0	1	0	16	"NHJQAOMTSXBLCUFDIERVWKPYZG"	"UXLRBTPGZSJAWQVHYNECOKDFMI"	"FKAOSRPCMZQDNWTHXLGIJYEBUV"	"ALWKEUCJGMVTIBFDOYRSHZQNXP"	"FAVYWUJRKLMDCHIZPSEXNOBGTQ"	"CQGKMLZXFVBOADPSUIEHWTJNRY"	0	6	22
"main"	21	"KR "	" oneCued "	0	" right "	"C "	"F "	0	3	0	9	"ATZVFWRXMNPIQJCDLYBGKOSHUE"	"WYSOUPIEDKCJVHBQAMLTZGRNXF"	"DBRMSEHNCTALYXIJOQWUZGKFPV"	"HLYQOZNVKFGXPIMBTRCWEJAUSD"	"QHNYWPIZOTBJXRLEDUMVAFSGCK"	"UJIDWPBFEYHMTGRVQAZOKXLCNS"	0	9	18
"main"	22	"KR "	" oneCued "	0	" right "	"K "	"O "	0	4	0	1	"GJINBDTMHQLSOVPWACUXFEKRZY"	"HAYIPWCDBXMVLFJSERQGUZTKON"	"LXKDFSAUTGQJMWZOCPVYIBRHNE"	"IDJCNXVSFTOABPLRUKEWMYGZHQ"	"VQZBJPWCTXOKLEASDUFIYRGMNH"	"CZNFIEPXWRAKUBGSQJTOMHYLVD"	0	10	11
"main"	23	"KR "	" oneCued "	0	" left "	"D "	"N "	0	2	0	10	"DHVBOYKAWNIPJFULTEQCZRXMGS"	"DINBUWEHLOQTMRFJSAZKGYCXPV"	"YZQJEWTGVNHUPACOKIXDMFBRLS"	"BCARMGEVTPJHFDWNKQXIUSLOZY"	"IBMGUVKDFLZRPHYANXJCOQTEWS"	"PSTJHORQZMUFCXEKINAVBYDGLW"	0	9	19
"main"	24	"KR "	" oneCued "	0	" left "	"D "	"R "	0	1	0	2	"MPONTWAGRSBQFXEVHDCIUKJZYL"	"QGWAKEVRJDFHICBTXYOSLZNMPU"	"FVKMQBTXLRDJPWENZIOUHAYGCS"	"QLVZYHAXBROJEFUNIWPGTKSMDC"	"KONBSVZQFPYGTEAHJCMXWLIUDR"	"YTPCWIJRFKSOQMZNLGUABXVHDE"	0	7	9
"main"	25	"KR "	" oneCued "	0	" left "	"J "	"X "	0	1	0	1	"QKDFESXACPTBRMHNWLOJUZGIVY"	"RCHAMOPYXJLEDZIUSWBFTGVKQN"	"HRLWUIPFCBYGANDXTMZESJQKVO"	"ZFSYHXWEACQONDRIJKBPGTMLUV"	"ZHOUDBMTWVXLEFASYQPGKINRJC"	"ONHTLDRBSYUGZIPFMECJXKWQVA"	0	8	9
"main"	26	"KR "	" oneCued "	0	" right "	"Z "	"D "	0	1	0	1	"WTXFBCIYRPGLEMOAVJNDSKZUQH"	"BWNVMYLUICDZFOTREQSPAJKHXG"	"RITZOWCGEVHUPXBMDQSALNKFJY"	"SMKIBYJWDONXHZAQUFVECPTLRG"	"IRYLJHWCNUXTDQMKGPEVASBOZF"	"LGWQXVECHMFJROASZTUPDYNKBI"	0	10	11
"main"	27	"KR "	" oneCued "	0	" left "	"G "	"G "	1	2	0	0	"QXGMPEWVDZSLTFHCUJNAKIRYBO"	"YPRNXACKQHEMZWJODSGVBIFLUT"	"NTPBRIGEMOUSDQVKLXJCZFYHWA"	"BQMEILDYAVJNOHKPCTRSUZFWXG"	"WSLPYGMFADBNJRTVZUOHCQXIKE"	"CSGPHRDKZXQTFNYAVWIBMEJLUO"	0	6	6
"main"	28	"KR "	" oneCued "	0	" left "	"S "	"A "	0	1	0	1	"KIAOEJYPLMGSCBNWZTRVFXQDUH"	"GXZREONTASYUCMDPLBWQKJVIFH"	"QTZMYGLSINOVUPCKWABRXEDHFJ"	"RYJVUEACGDNHPISWBQFTXMKLOZ"	"NBVPHZJTSORECMYUQDFKXALIGW"	"QKYLUEZIMCRWXOSBPDTJHFGVAN"	0	8	9
"main"	29	"KR "	" oneCued "	0	" left "	"G "	"C "	0	1	0	2	"WQEIOXPMCKDARZVNYBFUSLTJHG"	"AUHEXQWCRGBJNODMSZVIYFPKLT"	"OXSRQFWPZGVYUKLDJTCMABIEHN"	"IMAVBSTCJNFEZGHLRWOQKUDYXP"	"OFSXLWRVDBGUYPNATJIHCZEQMK"	"VLKRJGXYPNQZWUITBFSHDMECOA"	0	7	9
"main"	30	"KR "	" oneCued "	0	" right "	"S "	"H "	0	0	0	2	"MIVDEJLHYSAWFOBQTXGPNKZCRU"	"PWQREYDMFVUNAOBCJLHSGTKXIZ"	"HBKPIMEZSXLTGJYCDVAURFNWOQ"	"YUTCEHRSDQZIOJAXGLNMPWKVFB"	"WGLIJNKZXECROBADUYQFPSHTVM"	"MSEQWOAKRIXFJBYDGLVUTPNCZH"	0	7	9
"main"	31	"KR "	" oneCued "	0	" left "	"A "	"A "	1	4	0	0	"ETAHKIQSWBUGOJVPZDNLYXFMRC"	"ORMWJYLBQZXESFPDCUGINAVHTK"	"IDWJMLCQOAPNSXZBUEGRKVYTHF"	"YUAXFBTLHPVOCQERZISJMWKDGN"	"ZGXLMEAVSNFYWIDBRUCTPHJKOQ"	"RIHKCOLZJQAGMBNFXUYWDTSVEP"	0	6	6
"main"	32	"KR "	" oneCued "	0	" right "	"R "	"J "	0	2	0	2	"KFLBPGIYNASMODWQTUVRHECJXZ"	"AMDHVFGUSNOJYRBZCPQETKXILW"	"LHTKWFBZEJUROPQCAYNIDGXMSV"	"PJBUMGNZFEQSXKCTHYOVWRDAIL"	"ZXFSGMEJLUTPYARDNIHQOCKVWB"	"VYCZPAQNTIXUBWELGMKSHFODRJ"	0	9	11
"main"	33	"KR "	" oneCued "	0	" left "	"B "	"Y "	0	4	0	2	"KFMHRCVWJEUBNGQDATLOYSZIXP"	"DOKWZQSRUMABFEPXCJTHYLGVNI"	"TZABCEMPFDGJRXNQSUVOYWLIHK"	"EPTIWNQDCKVOMSGJZXLRHYAUBF"	"NRMJQCWFZHYABEUSTVLKGXPIDO"	"TXSHKAWLCQGVRMIBENZOYFDPJU"	0	10	12
"main"	34	"KR "	" oneCued "	0	" left "	"G "	"E "	0	2	0	12	"KFWIOJQSLPXDGAREUCTVHMYBNZ"	"OEZFJWPCYQVXNTSIGBLHRMDUAK"	"FHDPXATSREQWCJIBZYNUKGLOVM"	"VISFGHXBNDROTMZKYAWQEJCUPL"	"GARLUKQNPCZMJTSHBIXDWFEYOV"	"WXGSJTIYOHAFPCRNMBUEZVKDQL"	0	9	21
"main"	35	"KR "	" oneCued "	0	" right "	"D "	"W "	0	5	0	2	"JKTFWOIUPRMLAEXVQBCYZDHGSN"	"BKUGPTFLCXEMOZAVIRQJWHYDSN"	"MICYLKSURXWTPVDONHZBQEJFAG"	"CYJZAHNIKFVDXOBRQUTGWLESPM"	"VMXWSRAFZYGTIONDUQHPJBLEKC"	"AXMGUJWODRYBEKNHFZLQPVTISC"	0	6	8
"main"	36	"KR "	" oneCued "	0	" left "	"U "	"N "	0	4	0	1	"CFQGHXSMAOLVZEKBJNPTDRIUYW"	"BFIAKPWXRGOUDQVMNYHTLSJEZC"	"UYRXGKNVJBCSEQLMHTZWOADFPI"	"CXBWUEQKONZADMISLGRJTYHVPF"	"IBGKDTCLMXNUHSFJWAZPORYVQE"	"YHXJWTDPCLENOISABQRZMVUFKG"	0	10	11
"main"	37	"KR "	" oneCued "	0	" right "	"U "	"O "	0	5	0	1	"WCISTQOUHBRAJEZFGKLMNDVPYX"	"PGMCEIXNTWQKVRHFSLADUBYJOZ"	"KWNJPEFVBZTLDOQARSUXCYMIHG"	"XKPQJEZSFYADLWGTHNRCIBMOVU"	"UVDXAKZMIRWEOQGJPBTCNYSFHL"	"HCKASLXTOUWQJNIDPBYEMZRVGF"	0	8	9
"main"	38	"KR "	" oneCued "	0	" right "	"A "	"I "	0	2	0	2	"AKZLVXJFWHQONBERYDCUIGTMSP"	"QLGKWJPFDCVONHRXTEISMUAZBY"	"SVNJBZCTILAUPQEFHXDMKWOYRG"	"YCEPLGTJKNXSDBOIVZMHARFUQW"	"WOQYIXDVLPRHKSUGNJTEFMABZC"	"IHOVEAJSFXWRCYUTQBPDMNLZKG"	0	8	10
"main"	39	"KR "	" oneCued "	0	" right "	"C "	"Y "	0	5	0	1	"EUYDJGWOHSRAFCPITXLBMKVQZN"	"LSUBMRXYEJCDIGONPWAZTQKVFH"	"ODPHULCIMEQVSXYABWGTRFJZKN"	"KACYGPXMVZETHSFIJURWQDOLBN"	"FKJDXCQURBEPOTGYWLNSAHMIZV"	"VUNGBSPYCOQJITEZLDFWAKHRXM"	0	7	8
"main"	40	"KR "	" oneCued "	0	" right "	"V "	"U "	0	0	0	2	"MRBDQJFOWKUIVGNELCSAHYXTPZ"	"JTCPFZXEWQRNLUSOAGYHBIVKDM"	"UOCWVSJEFZPKTXAQIGMLNHRBDY"	"VMNHJROUQIWZKSYXTLFBGCPEAD"	"LKMWNBVZHRTYGECOPUDXQIFSJA"	"IAJQVZMXNCPRYGSTEHFOWULBKD"	0	10	12
"main"	41	"KR "	" oneCued "	0	" right "	"A "	"Z "	0	5	0	3	"ZQXSNCFDGLUVBMHROWJKPETAYI"	"YVIXNGATDOLZSQPBJRCFEHKUMW"	"KOCMAPFTJVEHBDYZUWLGINXRSQ"	"APRIEYJMOHSTDZCVFBGLWXQUKN"	"LMJAWEZHSYNCTPBUVRIDQGKFXO"	"UWTOBJCRYEZFLAXKGIDHQSMNVP"	0	10	13
"main"	42	"KR "	" oneCued "	0	" right "	"Z "	"O "	0	0	0	2	"BVSWEYIOKZHDTFNJAGCMLQUXPR"	"CUSFMZOBIWTPXVAQYLRGNJKEDH"	"BFQDSIGKRLWPMVXCAHOZTUYNEJ"	"WVTJKHIQLRXZMFNOBGDUAECPSY"	"STBYVAPCWZIOLUEDNQGRKMXHFJ"	"FEJLMXPWIBNUQAHTZRCYGDOVSK"	0	7	9
"main"	43	"KR "	" oneCued "	0	" right "	"U "	"N "	0	3	0	2	"NOAQXFCUKETGJPBYLWDZRSVIMH"	"KOESWQRFIPZNGVLCYUTBJXHMAD"	"BSNHUTPLZRJYEOGVKWFXMCDIQA"	"CKRGWTOXNHUSLFQZMEAYDBIVJP"	"TORWSJDXBEGVUFNQLHMKZPAYIC"	"JLARFZEOBPKMVDCISWQYGNXUTH"	0	8	10
"main"	44	"KR "	" oneCued "	0	" right "	"X "	"Q "	0	4	0	2	"XTVSKCDUZHWQFAPYEBRGIJMNOL"	"KDYJQHECMWAIFVONSBPRUXTZLG"	"DKNQOHCMVLYATJBXGWZUSPRFIE"	"ULKIDXTVPFOQRBJEHWYNSCGMAZ"	"UCPGWFSVQLXRMIBJDEYTAZKNHO"	"ARVBCQNOTEPUDJZSFWMYKLGIXH"	0	8	10
"main"	45	"KR "	" oneCued "	0	" left "	"F "	"Z "	0	2	0	8	"YZLVFTRGIHDCJAPMUXBOSKQNEW"	"JWMFGQVYHSOLEDURAKNCZIBPXT"	"KLCXWUHZNEOSBGRFIVDMYQATPJ"	"ZLNCETVHXOPDIUGBJAFQYMWRKS"	"IPGLZRAQNBXSVUWHMKYTDJECFO"	"ZLFKOIXMJBCUSATVDYERNGPWQH"	0	7	15
"main"	46	"KR "	" oneCued "	0	" left "	"G "	"H "	0	1	0	2	"YSCLIGEONJMHVBQKFPZXRUDWTA"	"RNEYFMPDLHVGJZUQCSXWBOIAKT"	"QCWTBHNXLKOAYEVZDPURMGFSIJ"	"FVCUWRHSYJZBIKLMNQODPXETAG"	"JRKNXVMHUPLCEFOAGWSYBQTIDZ"	"LMASWGPJKVQNXYODTFRCHEIZBU"	0	9	11
