"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"fixationReject"
"main"	27	"18RC3"	18	0	"L"	0	9	"T"	"False"	60	240	0	1	4	1	"XBPFSENLDYKOQHZVJRATIGMU"	"JMFVEUOYHLQITGDZRBKAPXSN"	"XIRVDGJENBAHUTZOKLMQFSYP"	"UNPHXOJZQYTSLIBMEVGFARKD"	"XEBAZPIUHTLNOVYSJGKMQFRD"	"XQKZPNMLGHVFTJOBUYSREADI"	"UEYHFTPBQVMROIZJLKGSAXDN"	"NHFQLMPGAYSXDZTRVEBOUKJI"	"OFVIHXGEUYKNBJDLMPRTSQZA"	"EKSXTVAGIQYPJRLBDOMNZHFU"	"JZSANOHYKDIUQXBELVTFMPGR"	"IAVRGZLMBKXEJFOQPUSTHYDN"	"JGVBTDUOEXYNILPZRMKFSHAQ"	"MITPSUKYRDGZBJLVOEHQNFXA"	"EOZYGLIJAXBQTRKHSNDPFUVM"	"EGRNLDHFMUQTYVAXOBKSZIPJ"	"FXAYVQONEIGBTJMHLKZSDPRU"	"HTVUIAKGDYXPJBQZFSNOMERL"	0	10	FALSE
"main"	29	"18RC3"	18	0	"T"	0	7	"Q"	"False"	0	180	0	1	3	1	"ZHKTOGAIUJFQPMNESYDLVBRX"	"VJFZIHLXDKSMRPYBEOUQATGN"	"OLDMNJVIRQHYPXAEUFTZSGBK"	"FXGDMOBQTLSVUHRZYIKPJENA"	"MJUXNQAIOHVKREDSYLZTBFPG"	"JOEQDBFGVIZTPNXMKYHURLAS"	"DGVIRKSPNJBZAHYTUOLXEQFM"	"APJVTMSZXKRDYBLHEGONIQFU"	"XUOZFASNLDRPEHKBIGTYJMVQ"	"QYJVRGEISXMOBFHPNKTUZADL"	"XERAHYMUGZJNQFOPDVKTLIBS"	"YPQHUSBEDAMRGJKINTOZFLVX"	"TEZBNOKQYIAPXUJMRSLHFGDV"	"ULIVKJGHQFDYOSTXMNRZEBAP"	"AXNUFGPEBLZJHDSYQMIRKVTO"	"POLINKXJTRZUYEQVSGHMFBDA"	"KUJTBHFIAEZMXRPYQDGSNLOV"	"QYZRVOAPDTJGUIXNFKLESMHB"	0	8	FALSE
"main"	31	"18RC3"	18	0	"K"	0	9	"E"	"False"	120	300	0	1	5	1	"NYAXODJFQPHBSKGUMTRLIVEZ"	"VEZNGHBFIOUPSTMYAJKDRQXL"	"YHLNURIGXKTVPZQSAJFMEODB"	"SUKYGADERVFHLNIBJTZOXPQM"	"QPUVLJIOZGYTSFBKAMENDXRH"	"JIFTOGSAXEKYQURLHBPDVNZM"	"RIXTOYKAHLUQPBDFMVGSZNJE"	"HIVBDPNELGXRMZFYSQKUOJTA"	"SPFHDGLIYKMBRXJUZETVNAQO"	"XGSBODRFNTYAUPLHVKZJEMQI"	"JYTXHVLZDRSBKUOPEGIQNMFA"	"VDQKXZJLOAGUTEBYPRFNIMHS"	"VBGPXQJZAYIFKSRDHUEMLTON"	"TSZLIEJORNFAKHUDQPBYMVGX"	"MPAIHYLGDXNRQUTEBFKSZJVO"	"HPIKZNSGYRMLEJFOTUVAXBDQ"	"RJFHGUNTEMQAXYPZLDKVOSBI"	"FXEJIPVGKSDQHOZBAUNTYRLM"	0	10	FALSE
"main"	33	"18RC3"	18	1	"O"	0	9	"N"	"False"	0	30	0	0	6	14	"JPNQFSHAKUBITEDYMGZLOVXR"	"BQZEGDAIMSLHNYVROXPTFUJK"	"LIEUFVHXBNOASQTRZYKDGPJM"	"BPNVDIOUYJRKZGSHXEAMFQTL"	"RKAZLIUVYDOPQJGFXTEMBNSH"	"RMJLEUPFVDHTQYBANSGIOZKX"	"YIARFPZLKNQSBHMUEXDGTVJO"	"FEPAGDJXYBKILNSZMVOUQHRT"	"MTBOLUYVZIXGSANJDFHREKPQ"	"ZEOYMIRKAXBDJVPSHTULFGQN"	"ABTORVZEXIPJHLYKUQGMNDFS"	"GKFALQHZDYNRJUSVEPTMBIOX"	"IZFOBYJQTSHPNKDGMALUERVX"	"ISAYPRNLMFZUVOQBEHKTJDGX"	"KEZVIQYSRHBLGUFNPJMTADXO"	"PYUBKFNISTOXRDMVEJGALQZH"	"RLDSPATXIYNQUJKHFGBMEZOV"	"RDOISKGBUQYNHJMTZAXFLEPV"	0	23	FALSE
"main"	35	"18RC3"	18	2	"L"	0	10	"P"	"False"	120	300	0	1	17	1	"TADXUQOHLMYSENGFIZVJKBPR"	"OSDMXGQBNJYVPZHEARKFULTI"	"EJMOLNSKIBZQRPHXTUVYAGDF"	"SOTIEYLMHPBGFXZUNRJVQAKD"	"TQYBLAVZRSEPNMKJOXUGFIDH"	"TNBHZOAREMUKFQJXILDGPYSV"	"UNHMYKDBIGQSZORLEXTJAPFV"	"TEAFUVYXROKMLPHNIJDGZQBS"	"VXRILNKUFEAHJOSZDMYTPQBG"	"PFHDQNXRVBKJMIZULYOSETAG"	"QGXUFJIHRAOETVDNZBSMYKPL"	"GMONZFUVRPHXDSEYIKQBATLJ"	"QJBUZDAYLIKXOTMPRNVSEFHG"	"FZDIXALMKTHOUNBSPQRGVYJE"	"EAFUQZYRNMKTSODBHIVJGPLX"	"EFYOAKVXNQHLUIDSRZPTJGMB"	"PGLKUMBRYTQAOHXSNVDEJIZF"	"QXOUDVNARBPLZYEMGKJFISHT"	0	11	FALSE
"main"	48	"18RC3"	18	2	"J"	0	9	"Z"	"False"	120	120	0	0	14	3	"ORHVDLMNUAQIFPZXSBJTGKEY"	"EARFGBLVUHYSNPOKITMJQZDX"	"LNTURQXAGYFDJIBZMHKSEPVO"	"YXQIAOGNTPBVEZUJDSRLHFKM"	"ZBIHKYPSMEUVLXTRNFGAJQOD"	"KJQAPGOUZNBLXRSFVYMHTDIE"	"XZDMEIKVNTAJGHUPQSFYBLRO"	"LIYTKGURDPJVNMXAZHBFQSOE"	"YZOEAPJKTNXDHLUGRMSFIVQB"	"UIBEVSZKPFADRQNHMJGOYLTX"	"DBZIJHLEUTOAMXPFVYRGQKSN"	"JZPIXOLURMHFQSVBTKNGDAYE"	"EYMAZHQOULNIBXVGSDJRFPKT"	"RQMTDHNJSIVPGFEZXKAYOLBU"	"OUSIYTARBZGKJVPLFEQXDMNH"	"YXODRGQHFNMKTLJZAUSBVIEP"	"KBDNUEIXAZJHYVMLSROGTQPF"	"UTMJIASLVERKPZBXYQNGDHOF"	0	12	FALSE
"main"	56	"18RC3"	18	1	"F"	0	10	"F"	"True"	0	30	0	0	6	0	"MNXYSQVJBKRZGADIEHLTPFUO"	"DUXSAEPOFGQVTLBHIMYZJNKR"	"JAURHVEZQKNLXSOTDFMIBGYP"	"TXFPOEYSHNJULRBKDVQMAZGI"	"JHZPFLTOBISKVGDUMRENXYAQ"	"RNVEKYTMOSQXPAGZFUBJDIHL"	"TPNIEQBZJGFLXORDYSMUVHKA"	"VUABTZNKGDJPOSEHXLRIFYMQ"	"DPTMGSOQARILJBEKHFXVYNUZ"	"SEXOVAPYRQDZJBFMNGIHLKTU"	"LUJQIXHDSVMBKGFTEOYPANRZ"	"UKEHOIXJRFBVPLGZSMYANDTQ"	"IATSNRHVDKLEMFJPGUXBOYZQ"	"BVZQJRGTYNMOFLKUEHIDXAPS"	"GNATJYKLIVHUSDFOQPXBMEZR"	"BHPQIGJVFDNEAXYLMKZRSUTO"	"PEVBIAZNFTURLDGXMHSYKOQJ"	"GSTEJNFBVKAZDOHIRYQPUXML"	0	10	FALSE
"main"	63	"18RC3"	18	2	"S"	0	9	"P"	"False"	60	60	0	0	13	2	"XHBPIFMJUDTYVRKQAZSGNEOL"	"NGHTMSVKBXAPJFIOQDLYREUZ"	"MEZORJTPAFGNKXBQYIVLUDHS"	"QMXOYSGERFBKHLJTZPANUVID"	"HTPEBNUDRQKXSYFOJZVILAGM"	"HKSAJLUGTYMVDBRQPIZNEFXO"	"OGSYTNIVBDXPJUKZFHEARQML"	"FEHQBPSKGUNTIJALRYMXDZVO"	"NSMEPZVAXLDJIHFRBGKUYOQT"	"HGANRPXSDFZVOYKILJBETQUM"	"HYKZOXJDQGRULNAMFEPTSBIV"	"ODTMABRFXJNEKVSUIYZLQGHP"	"EMZVKFYQBDPXLHSJRGOANIUT"	"YJDIAELGQPVSBHNXTKFUORZM"	"NIHMGKUQOEVALDPRSJYZFTXB"	"JPTRGMZKUNDYEBIFOHSXVLQA"	"GJBNMEQXYZROVULDHSPKFTAI"	"KVQOZTFELHIBSPDAUXJGRYMN"	0	11	FALSE
"main"	64	"18RC3"	18	2	"G"	0	10	"V"	"False"	0	0	0	0	12	1	"ZGEQOPVTMXSLKRBYUAFDHJIN"	"NDYUFXQRIGZMOTEKJVAHSPBL"	"EQDNISPLKGAXMORZTVUHFYBJ"	"DRPKOXEFJMAIUBQNSZHTGYVL"	"GIHQXLTPZJUYBDARVOENMKFS"	"ZUGBENFXVIKHJTYPAOMDRLQS"	"UNTOZHXBADGYJKMLFREVSPIQ"	"ZKDSGENPQOMHIUFJAXLYVRTB"	"PHUBODKZNSAIXYLFETQRMGJV"	"BZPTJHSQALUYIDGVNKXMERFO"	"FOZQYHIKDBGVMULNSJREPXAT"	"MBNSKTHZUYQXDPOREIJALVGF"	"PABQLKDESXVGJIOZURTNYHFM"	"TIQLBMKGFAZDREUXPVNYHJOS"	"TKDJRSFOXIHVMAEYPNBZQGLU"	"EGHSJLXINPFBKMZQUDTYOAVR"	"UFKYSLJEPHVIMAZXBTRGNOQD"	"ADEFOHSLYJPNTIXRZUMKVGQB"	0	11	FALSE
"main"	65	"18RC3"	18	2	"S"	0	10	"Q"	"False"	120	120	0	0	14	1	"YTVLIZBUQXNPMORHASKGEJFD"	"RXLZJAUBYQPOKINTHMDFSEGV"	"ULEFXJVZNPAORSIKBYGQTDMH"	"MURKHPSYGIXADEVOBLTNZFJQ"	"ZABFXNHLKMRUSOTEVIDYQGPJ"	"RNESZAPMUVHDJTKQFGYLXOBI"	"IPSXLGEDHJVZAOTBNQMUYRKF"	"NTIHSOGEVDBMRAJPUQZYLFXK"	"MSLXFBQYGRPOEKZTHANDIVUJ"	"TNSBLMQYXEVJKZUADHFOPRIG"	"FKIBMVLGOAHEZTJXRNDYPUSQ"	"XDYUJHLTEMPOVZRFSAGIBKNQ"	"NKHDOXZPTEFGIQVALURJMBYS"	"OYHUNBPZMGTLKQXFDVAEJRSI"	"VOPXNRLBMKQSDTAEUZJGIYFH"	"GMQVOEAZSTXJKFBUNYPHIDLR"	"KXGILYNQRVDTBOUFJZMEHPAS"	"VXFHJPNMYRGDQBKOTLISZAEU"	0	11	FALSE
