"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"fixationReject"
"main"	20	"18PF6"	6	1	"S"	0	6	"Z"	"False"	120	150	0	0	2	-3	"MIJRNSAUDVLYPFKQZOTBEXHG"	"OAFGTBQXIYPUZSNMKVDLHJER"	"TPLSIFZDOUVXEGJRYKABQMHN"	"GILVPJDORYETXKNZSUMFBHAQ"	"TQSIHJYFOBZXVNRULDMPAKGE"	"UVIEGOJAKYRBQHSMFXZDPNLT"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	3	FALSE
"main"	21	"18PF6"	6	1	"U"	0	7	"J"	"False"	120	330	0	1	5	-2	"XYSHFPDZKRIGAVQNJMBEOULT"	"PVUMTKRIAEYBDOZNSHLFXGQJ"	"VPZRFIUHOLMAGSNTJEYBKQDX"	"ETHRZIKMLQGYJFOBADPSXUNV"	"PLKRDVITXFAYGBHZQUEMSNJO"	"HNRTFUZJQSKGVLEBIXAPODMY"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	5	FALSE
"main"	22	"18PF6"	6	2	"F"	0	10	"E"	"False"	0	0	0	0	0	4	"OVGBKATZNXEPDQFSRLIHJYMU"	"QOZPTKSAXEMBVRIDUYLHGJFN"	"FJVPSAKMDNEHBZIYUTQOXGLR"	"ERTDLJVOKIGQFSNMZYBUXAPH"	"IQENFHXYZOBVDLUGRKPTSAJM"	"TAUYEMVSBFHXLZOPRJGQIDNK"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	14	FALSE
"main"	27	"18PF6"	6	0	"H"	0	10	"U"	"False"	0	0	0	0	0	1	"EPDZOSIFTXUHAVYRJLGKMNBQ"	"NGTXKEUYMBLIHOPFDVRSAJZQ"	"SBXKRTLGIFVYMQHUJPOEDZNA"	"OSVTZKFDLXRAPEYUNMIGQJHB"	"IEZNGTVMJSKPULAROFQBHYDX"	"DBXLTKFIOPZYUAQHERSJNMVG"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	11	FALSE
"main"	32	"18PF6"	6	1	"E"	0	10	"L"	"False"	120	150	0	0	2	-3	"IQTJVZGABUDOSHRYKMXPLNFE"	"DPGYTJSZXAQHBNVLMFOEKRIU"	"ZJHBPUXEGKLSAIYQNVMFDROT"	"EJTQYKNPMOLHGDSUIVBXAFRZ"	"OEXKTFAIHQGYDVNUMJLSBPRZ"	"UGMABLYJXIQTKHDEFSVRPNZO"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	36	"18PF6"	6	2	"X"	0	7	"X"	"True"	60	60	0	0	1	0	"ALINYGVRJUSPDEZTKHBMQXFO"	"THJGRVIXEYQZDBONPKMUFSLA"	"VUNYKMPFAXBSGJZTIQHDLORE"	"APGNYZFJLODKUQVXBMHIREST"	"GMHDSBFYARXITVEPNLJZOQKU"	"ZOENRXDSJLMPQYVIKGUBTAFH"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	39	"18PF6"	6	2	"E"	0	8	"E"	"True"	60	240	0	1	4	0	"OGUYJMVHBQRSZLAKDTIXENFP"	"DEKQTVAFYRLJOXGZSHMNUPBI"	"FZRAVIKDYQSJOUXGEMHLPTBN"	"TJRNAFUVOQLPHDGKSZEBXIMY"	"HFODSJZXENABVUMTIYRPQLKG"	"EMDTINROGFSQLYAJPKBZHXVU"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	41	"18PF6"	6	2	"O"	0	10	"S"	"False"	120	300	0	1	5	1	"PMLKAYQIDTFGUENXHJVSBRZO"	"LVMKPNRFQHTZOIGJABXUDSYE"	"HFGJBLSOKVPQMZEXUATDNIYR"	"YMNDSBOHTAIZRGFUKPXVEJLQ"	"MIZJQLXNTEHKYDUSPFGRBOVA"	"DZXPKNEAQUSOJMITYGLBHRVF"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	11	FALSE
"main"	50	"18PF6"	6	1	"S"	0	7	"P"	"False"	120	150	0	0	2	1	"VMSPXRHLJGDEZAFBTOQIUNYK"	"ITMOEDGQPVXHAYLJBUFZRKSN"	"FJBYZONPSULTGEKAXDMHIVQR"	"NDJZQROPEALKUYSXGHTMIFVB"	"QTXGRAUNZDBSKVJMPEYLFIOH"	"DVJORKUHAXSELPYBMZFIQTNG"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	8	FALSE
"main"	51	"18PF6"	6	2	"Y"	0	9	"Y"	"True"	60	240	0	1	4	0	"PNZFGYLQVHAKBUODTIRMJSEX"	"OZVNKTGABXFSPIQDUHMJEYRL"	"KUZVNATMYIJOPEBRQXGLFHDS"	"MZTLVHYKRQBGEUFJAPDIXOSN"	"HGZXSQJOEYUABFRITVKPDLNM"	"PSROADHJVBQMYFGKXZEUNLTI"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
