"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"fixationReject"
"main"	27	"18TR1"	6	0	"Q"	0	7	"O"	"False"	120	300	0	1	5	-6	"QRIVOFJYDGMHTAPZSEULBXNK"	"ZSJRPUVTEYOMNLIGDXBKHFQA"	"EGAKTNFJSYOLVZHBIXRMUPDQ"	"ZBOFLXYQSAPGRDVHMTENJUIK"	"FYVQSMDAUZKOHLGRPTBNEIJX"	"MQPYVKSOEJIANBUFLTGHZRDX"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	1	FALSE
"main"	28	"18TR1"	6	0	"K"	0	9	"V"	"False"	0	180	0	1	3	1	"VNUFALMZTQORHESGXJBDKIYP"	"NDFXSYAJZTIKOBMQGREHLUVP"	"GMZDAKXEYULVRPOHSFITNQJB"	"OAGMHEZFTVKYPXNIQSLRJBUD"	"VORBZLGKHIAPYSDJMEUNTQXF"	"MKGEOJIULZVTYFRSHBDNXQAP"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	10	FALSE
"main"	32	"18TR1"	6	1	"N"	0	9	"J"	"False"	120	330	0	1	5	2	"IBHDJGRZKLQOTUXVSNYAFMPE"	"TKJGAYVZRXEFDSLIMNPUHBQO"	"ESKATPQOBXDNUVZMJGYRFHLI"	"UDHKGPJXFMBNQIELTRYAOZSV"	"YKSBFAMIQZRTJDPLOXNEHUGV"	"YAGSPEKDFJLNXVMUTHZIROBQ"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	11	FALSE
"main"	33	"18TR1"	6	2	"N"	0	6	"L"	"False"	0	0	0	0	0	1	"MGBJPALNTVEXSOYIRFHZDQKU"	"ZBJAFSHYXUKIEVLTQROGDMPN"	"DVEMPJYSFONAQIZTRUKGBXLH"	"ULZXNHEFKODISPYQVATRMJBG"	"FUROITQHXDGLNKAVPJBMSEZY"	"QLPRSJHKGUAFIXOYZNEMVDTB"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	34	"18TR1"	6	2	"R"	0	7	"R"	"True"	60	240	0	1	4	0	"VMPOGNURJSLAHKEQDIZTXFBY"	"BANDJSXQZFGUVOYKLHTMPREI"	"GTIUMZPBSYOEVFKDJQHRAXLN"	"ABRZLYPHEJOUTISDVKNMGFXQ"	"LYBAEVXRDJGHNOIQZPUMFKTS"	"SQEXVDMFYTAIRZKOBPNJUGLH"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	7	FALSE
"main"	36	"18TR1"	6	2	"A"	0	9	"A"	"True"	0	0	0	0	0	0	"LNSRYHTMEABKPUDFGIXJOVQZ"	"VEMJRTGSKZQIDYLPOBHAFNUX"	"OMTERBJLXHIGFAQYPKVZUSND"	"KGBDYZOIVHPLMFNERSAJTQXU"	"PEVHKMYAXTSNRLJDOIBQZFGU"	"UHQNOIJSXMRBFZVLEPTDGKYA"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	40	"18TR1"	6	2	"B"	0	6	"H"	"False"	0	180	0	1	3	3	"TZNYHAJBSRMGVEKXDFPQILUO"	"MDXUVYQOLBGNISHPKFZEAJRT"	"RTABSVXOLQIZNFEKUMHPDGYJ"	"KRGULPHFNBQOAXSVDTEYJIMZ"	"KJLOXNDQRTIYUBVGHSZEPMAF"	"FLGYHJRTENBDUISVXPMQZKAO"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	9	FALSE
"main"	41	"18TR1"	6	1	"M"	0	10	"Y"	"False"	0	210	0	1	3	1	"ZEFGRAHYQVOTKBNIMUSDLPXJ"	"LFKNRQJDZGSYHOXIPBETAVUM"	"ABXKYLDOQEVHUGZSTPNIMRJF"	"LOBQKHITANYMUERZPFGXSVJD"	"JGLXPVRSKMIYZOADEUFHTNQB"	"BYIKSAQNMVDELOFGHJXTURZP"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	11	FALSE
"main"	42	"18TR1"	6	2	"X"	0	7	"L"	"False"	60	60	0	0	1	13	"MBGLKHPUNXSJVYIFEODAZQRT"	"MONTHFDLZKPSJYQGABIUXVER"	"TBMFJQHLNUEKSGVOAIPXYZRD"	"PNXDGUBOVJYERSZAKIMLTQFH"	"JNESPVRMUOHLTZDYBGXIKFAQ"	"JYXHZEQGDTMVIUKNLPSORBAF"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	20	FALSE
"main"	45	"18TR1"	6	0	"G"	0	9	"K"	"False"	0	0	0	0	0	1	"BJDEYMXZHKGSRFQVPIUONALT"	"MFDVGQHNXTORAPSJUBILEZKY"	"MGPJAYNRTLXZOISHFQUEKBVD"	"EDYBTKQGLRVSINUMJAXPHFZO"	"UBXYJKSEAPFLZDONMIVHTRQG"	"ARXVFNHQEKJUTLBGPZYIMDOS"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	10	FALSE
