"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"fixationReject"
"main"	25	"18RP"	2	2	"K"	0	10	"M"	"False"	60	240	0	1	1	11	"IDEVRMTJFNAHPYXQOSKBLGUZ"	"GSNQIYFLXUMTAJHVOPDREKZB"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	21	FALSE
"main"	26	"18RP"	2	0	"B"	0	10	"J"	"False"	60	240	0	1	1	13	"PYUDQAXNZSKLVBOTIMRJHGFE"	"MODRLHQIYAJSXEFKPGZUTNVB"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	23	FALSE
"main"	30	"18RP"	2	2	"M"	0	9	"S"	"False"	120	120	0	0	0	-3	"FGZNPVMUQSYDHXKJTALERBIO"	"EUVLHMJGBPRZADYNSXKQIOFT"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	6	FALSE
"main"	33	"18RP"	2	1	"B"	0	10	"E"	"False"	120	150	0	0	0	2	"OPLFXZSHRAEUBTQVMJGDNIKY"	"LYKVFIBQXTMNHOAGZPESDJRU"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	12	FALSE
"main"	34	"18RP"	2	0	"D"	0	8	"H"	"False"	0	0	0	0	0	2	"KRYMZXIOHJDLNTBGFPQESAUV"	"NYQOBAEVHUJMLSDTKZFIPGXR"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	10	FALSE
"main"	35	"18RP"	2	0	"O"	0	9	"S"	"False"	120	120	0	0	0	5	"MNYXELUDBSGZFJOIPTKRHAVQ"	"DVOARZINHKPGQETMLBXSFUJY"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	14	FALSE
"main"	37	"18RP"	2	0	"P"	0	9	"G"	"False"	120	300	0	1	1	-4	"JPNFETDURBOXSGVHLZQYAKMI"	"XLDNFPZBTGYERVIKUOHMAJQS"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	5	FALSE
"main"	38	"18RP"	2	1	"E"	0	6	"R"	"False"	60	90	0	0	0	-4	"DYEKALRSOMQTBIHZGNXUVFJP"	"GSYDTJUXQEKRAVPFLZHOBINM"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	2	FALSE
"main"	42	"18RP"	2	1	"D"	0	8	"V"	"False"	60	270	0	1	1	3	"IABVFLTEGMNXSDRJUPKQZYHO"	"KEGMUXTNVOLDZAJQISRFHPYB"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	0	11	FALSE
"main"	46	"18RP"	2	0	"T"	0	6	"N"	"False"	120	120	0	0	0	-4	"VJTIZHNUSABKLXGERMDPOFYQ"	"VZGMUAPNFEDJLKTQOBYSIXRH"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	2	FALSE
