"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	24	"AJ7 "	" oneCued "	0	" right "	8	315	"S "	2	9	"P "	0	0	0	1	"QXEIJVDYGPSBFUMONZTLHRAK"	"GIYUJXHOBNPRALDVZMQKTFSE"	"TVNYMJLBAEUFKOZXDHQGRPSI"	"XZPKSFOREBMDJIVUQAHNYTLG"	"MDTBEOANJRPUGKVLSQXYIFZH"	"QBPLIHDUEZSJXKGANVYOMFRT"	"JUPLYTOMZIRXDEGVHNKSBFQA"	"JMVAZDLQSIKGNUXFTBRPYOEH"	0	10	FALSE
"main"	33	"AJ7 "	" oneCued "	0	" right "	8	270	"O "	2	10	"S "	0	6	0	1	"NAGMEDQPROBHFXIJZVKSTYUL"	"ZEXOUNYRBVGJFPLHADTQMISK"	"NAHVELORXMKYQUIJSFDBZTPG"	"ULNVBYEORTDSHGZIMJPKFXAQ"	"DTIRFHUBXVGEAQNPOYJMKZSL"	"HVDGYSFNMLEABTIRZOQJKUPX"	"GQTLMZNIAFSOJXPYKREUBHVD"	"LPZYKMXOJEQDHNFGTSRIBVUA"	0	11	FALSE
"main"	38	"AJ7 "	" oneCued "	0	" right "	8	45	"J "	2	6	"Z "	0	3	0	1	"NGMBHSADUTPXOJRFQKIELZVY"	"DBYNSEKVXRTMQLIJOZHPFAGU"	"YUBHMRPOGVFEZIALSXTDNQJK"	"ELKFMIZJXPNVDUSGTRYHABOQ"	"IUOZFRHVSEKNYXJPBLTDAMGQ"	"ILOQRNMBJZEGXHFDSUAYVPKT"	"DQKGBTYHLOZVUSMXEFRIAPJN"	"PMEJIVTZOAYKSFHBRUDQNGXL"	0	7	FALSE
"main"	40	"AJ7 "	" oneCued "	0	" right "	8	315	"E "	2	10	"N "	0	3	0	1	"BEXQKJPNLDMTZIOFVYSHARGU"	"FZIMTJKOXQVSNUBGRAYLPEDH"	"OGMLBFDKNZXJRQHAPEYVUTIS"	"VUDGASFRLBNEYHTXOJMKZIPQ"	"DNTXFVMUQZBIKJYSPROHEALG"	"VMEAILSFTOPDUBJNZXKYQGHR"	"TMGUFHNJEPBKRIQVZOYSLDXA"	"RPAXHQJMIDKBOVLSGNUEZFTY"	0	11	FALSE
"main"	42	"AJ7 "	" oneCued "	0	" right "	8	315	"O "	2	8	"P "	0	5	0	1	"RSMGFUJVQYOIHKTPEXDABNLZ"	"BEQXINKUOPGYFRTVHSLMZJDA"	"ZESAOLFRJIBDVQYMKGHXUPNT"	"EHISQYDBRFMJOPKZLAVUXTNG"	"GQTOVIFPSJHAYLXDEUMBKNRZ"	"ELYJXKNAPOTIZRFMGDUHQVBS"	"GHVJAEBUXIYOTNMDLQKPRFZS"	"AYZIVLXJMUBDPORGFTKQESHN"	0	9	FALSE
"main"	43	"AJ7 "	" oneCued "	0	" right "	8	0	"S "	2	9	"Q "	0	5	0	1	"XIRHMGJKFBDZTQLOVAEPUSYN"	"YTBNMAOLPFRUEIDZGHKVJSQX"	"KATBXGEZFUPMYDIVJSNROQLH"	"PROIEVKMQZBGSDXJLTNUYHAF"	"UJMPOGLHYVTNKRIXDFSEQZBA"	"ONBRAKETXQSVHLYIMDJGUZPF"	"SNVBOEDRKAQYZJGTLHFUXIMP"	"UHEGJLASFDZMPYBKRXTVNOQI"	0	10	FALSE
"main"	44	"AJ7 "	" oneCued "	0	" right "	8	135	"A "	2	8	"S "	0	4	0	1	"KUXHDQLGBOSRPVTAZJIYMNFE"	"KNRQUOBXZPMHLEJFVASTIDGY"	"TESKYHZALJRPBUGNVIXQMDFO"	"STDUFJELGABVPIQMKOHRNXYZ"	"RTYINBHPSAQXLEMOUJVFZKDG"	"XIEGQPVKUJHAZBDRFNYTOMLS"	"DYHGONUKSTJEMQFIBZRVPXLA"	"MNADBIKFQLZTVSYRGOHXUPJE"	0	9	FALSE
"main"	51	"AJ7 "	" oneCued "	0	" right "	8	315	"M "	2	10	"G "	0	6	0	1	"BXDIRGHSTNUKPFLMJQVAOEYZ"	"VSDZGHELAPKMNIBQJXTUFOYR"	"UZRAIVKLDQJFPONXYTESGHMB"	"DQLRYZHXNIFTOVAJKUESMPGB"	"FSLUXIMYTZEGHKPOBRDQNAJV"	"LHOJGUBATXZQRKPEVSYIDMNF"	"EVKJNFZTDHGMXSRQUAOLYBIP"	"FKJORAMVUNZEQBGYPHSDIXLT"	0	11	FALSE
"main"	58	"AJ7 "	" oneCued "	0	" right "	8	0	"R "	2	10	"V "	0	5	0	1	"OBQVFEASKYTUHPDGMZLNJRIX"	"MQSUOFZNJHBLGEPXRDVYKATI"	"ZMXQVYLKGNFBRPAUIDHOSETJ"	"PUONKXFRGVQTYEBDHLIJMSAZ"	"DZJNKSVLGRYBXHAQMTIOUFEP"	"SDZEHATNXJVROILUKQMYFBPG"	"MYUOQPBIFKNJZDTSARLEVGXH"	"MYBDAOXTKRVUQPEGLJNFZSHI"	0	11	FALSE
"main"	59	"AJ7 "	" oneCued "	0	" right "	8	315	"I "	2	9	"T "	0	7	0	1	"UXHGQYJRFAPOBDTEIKSVZLMN"	"AZUIDQXJTNYRKMBFHVOLSGEP"	"EMUFHDTVSOIPYLXRJAZKBGNQ"	"HXFENIAGDRQMTYZOSLKPVJUB"	"IHDONRBTMUVFYSZALGQEJXKP"	"EJHBVZPKRNYMUIDSOTQFXGAL"	"LFMNRPVQDGJYKUTSAZBHEXOI"	"MANQKEPORTIBYSJVDUHXFGLZ"	0	10	FALSE
"main"	60	"AJ7 "	" oneCued "	0	" right "	8	270	"K "	2	7	"N "	0	4	0	1	"YNKMJQLGPVSDFRTZUBIOXAEH"	"TYKNQZGPMEILHUJSRAOVXFBD"	"RQUEFYTVSOPJADZINGXBLKHM"	"TBSVHFIRDYXMPZJUGQOKAELN"	"HEUOMGTNKIDYLQPSBJRXVAFZ"	"ZVYEQBUHITKDARJMONLPXSFG"	"TDZQNYMVIGELAOXPKFJBHRUS"	"NXPOHFRMBJGZAVTUIQYELSKD"	0	8	FALSE
"main"	61	"AJ7 "	" oneCued "	0	" right "	8	135	"X "	2	9	"U "	0	5	0	1	"OMDHRUQLTENGKPAJZFVYBIXS"	"OJTFGRKQDZYBNIHUEALMSPVX"	"QNAFZOHGEVUSJLIDKPXMYTBR"	"RENOAIZUDMHQBGYLPFKXSJTV"	"BAOPHQDXZJRLEMVYKTFGSUIN"	"VASHDBEQYUXKTMZOIPLFJRNG"	"AMYKILBUOVJESFPQRHTGXNZD"	"FSKVYLZGTJURAHOIBPEQXNMD"	0	10	FALSE
"main"	67	"AJ7 "	" oneCued "	0	" right "	8	135	"A "	2	10	"Y "	0	7	0	2	"QLRBKFTJHYVIXZGDPOEASMUN"	"IQAXKNYVGLEROUMHFDJSBZTP"	"NKPDTUZQOXLVJHIGEMYBFASR"	"IFJESMLXDBPYQHKORUNVGATZ"	"PMNTKLYXADBUSFOEVZRJIGHQ"	"SUGYZQRAFLENPKHIBODJXTVM"	"JUXYITNLHVFOEQGAMRZKDSBP"	"RDUXLVZBGOYIANKJTESPHMQF"	0	12	FALSE
"main"	68	"AJ7 "	" oneCued "	0	" right "	8	45	"L "	2	6	"D "	0	3	0	2	"NDHUISQMVPXBOEYFZKGTRALJ"	"IZGOMTPDHRJLKUAFYBESQXNV"	"JXUBVZPIRSAFGEYODHTKNMQL"	"OSVHQBDYLPNMKEITFAZGJURX"	"AJYVZKOUPDNEQTFRBMLXHSIG"	"UYIQKFHXGRTLBJSONPMZDVEA"	"NMFXVQKBLRGDTISZPEOHYUJA"	"SUYXJATNGFBRMLHOPVZQDEIK"	0	8	FALSE
