"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	8	"JA8 "	" oneCued "	0	" right "	8	90	"O "	2	10	"F "	0	0	0	-1	"GJUVYRSATOFQZDHIMBPXKELN"	"EDIZQLMNUVKATGXJYHOFRSBP"	"PSVLOZFATRGEKUNJQYMXBIDH"	"XVANUDSGPYKMRHBFTJILOEZQ"	"ODLMIRHYUFBTKNVEXSGQZJPA"	"LYRPJNUOFDXZITGQMSEVHKAB"	"XAOETJQMBGYSRIKLDZHFUPNV"	"HNYJTKEBDISFMQPULAXZGVOR"	0	9	FALSE
"main"	17	"JA8 "	" oneCued "	0	" right "	8	180	"H "	2	7	"I "	0	2	0	13	"XVPLHRDKQSIZNFTEUJGOABMY"	"VDTQYZFGNSAKERMXBULJHOPI"	"MKTVEOQIJADRLXFNGBZUHSYP"	"BIKANUFXLZRJSVTYOEGQPHDM"	"ENUXPKIZGFAQJTSHDYROLMBV"	"YFDEMVQHRLJUSAZNGOBXTPKI"	"BKDZPGSRLQAVUTMJFNHXEIYO"	"JBAIXOZUTHLEKYFGPDNRSMQV"	0	20	FALSE
"main"	19	"JA8 "	" oneCued "	0	" right "	8	225	"X "	2	10	"V "	0	0	0	1	"QADHNEBJOZVXRFPGULSMYITK"	"XIVAYPBTUKEDGZNJQSRHMFOL"	"ULIVXNQHYOKTAMSFBRPZEGJD"	"XFINEMKDSARTHLJQOPGVBYZU"	"LQFPNXHJRABZOYIKMDGETUSV"	"FDEXRMLKPAGQHVYBUITNSJZO"	"DSNIQRLEMOGKPJFVHXYAZUTB"	"TKOYEDRVQSGJNPULXMFZHABI"	0	11	FALSE
"main"	24	"JA8 "	" oneCued "	0	" right "	8	225	"R "	2	9	"X "	0	6	0	1	"JQGAITRBOXSFZLPMDYVHEUNK"	"KHBDLUSVZPEXQYIOAMNJGFTR"	"IYKGRBMLZUJDANXEVTSHFPQO"	"HZJLIOAPQUVNFGDKXYSBETMR"	"LHBPNZARVETJQXGUYMDOFKIS"	"INEYHGZJLUXPQRBOKTMSFADV"	"TBHQJEVDMXRKPOFGUYAZLNIS"	"TXMEGVZUQJASDNIORLYKBHFP"	0	10	FALSE
"main"	25	"JA8 "	" oneCued "	0	" right "	8	270	"H "	2	7	"E "	0	7	0	6	"QGJLRKOVSAHZPXNIEDTFUYBM"	"KUXHQZDMOYSLIPVJAFRNBEGT"	"NVGUMPHYBRQKSJZDFLOXIETA"	"SJDRPGYKIQXFNVOZHLUEMABT"	"SLHFPKMXZUNVADBGIYEQOJRT"	"JPVETKANLHYBFOQGXUZSMRID"	"MQPOGRKJUHSYFDZANBLXTIEV"	"FKNSXMPEIJTLBHDVQUYOGAZR"	0	13	FALSE
"main"	29	"JA8 "	" oneCued "	0	" right "	8	90	"J "	2	10	"R "	0	2	0	1	"PNOYKGFTJARVEILHDZUXQSBM"	"QAJOSNFYUZEDIBXPGLHRKVTM"	"PKQEVDMXSFRJYGOLNZITUABH"	"EHVAZKUSBYLNIDMRQJPXFTGO"	"BXAQETOKRZJGLHNVUIPSFYDM"	"HEKOBNGADMQTULJSXFPVYIZR"	"MKPAOVJDYNSIZBQLRXTFGHEU"	"TNUVPEMXJLQAIYGOSHZBFRKD"	0	11	FALSE
"main"	34	"JA8 "	" oneCued "	0	" right "	8	135	"A "	2	10	"A "	1	1	0	0	"EBTAQFOGPZYNILURXMJKHVSD"	"OZRIDMHNSXAVKYEJLFPGUQBT"	"UVFGOEMBSZPLIQRDTKJHNYXA"	"PKMNZLRTHOEXUGBSDVAQIFJY"	"AXDSKBGNPUZQIHJEMYOVFRLT"	"YQZEXSLPKURTANGVHFJMDIBO"	"BSUGTAKJVMNZDFYPLOHEIXQR"	"KQJBMFAEYOLTHRVNXGZSIDPU"	0	10	FALSE
"main"	36	"JA8 "	" oneCued "	0	" right "	8	315	"T "	2	8	"N "	0	1	0	1	"FHQXBNDSUMAZRPYOGLVJIKET"	"GAEBUQFPNTYJIZDOXMSKLRVH"	"UGIKDFLMVOSQAHYNERPTBJXZ"	"GBYEFUPTLVINDZKQJOAHSXRM"	"GBEKPAXLNFYSTDIROMHUJQZV"	"IBNHSFJOXDMQYLKPERTUVGAZ"	"MDFATKRBZPHLYXOIUEQJNGVS"	"EQSBORMYFDIAGUPXNLTHJZVK"	0	9	FALSE
"main"	48	"JA8 "	" oneCued "	0	" right "	8	45	"M "	2	7	"M "	1	5	0	0	"JUQKBSGPOTMARIFZLXDHENYV"	"DXPLUZJVHYMGTFRNQIASBKEO"	"IMPJEOXKDNGLQBUSFARZTHYV"	"ZNDKQVFHBEUILOAXMPSTRYJG"	"OJPVMLAYIQZUSTEXNFRKDHGB"	"KONPYGHMDVSILEQBUFXAJZTR"	"UHYTJRBKODIPSXMGFNZEQLAV"	"AYBKTDRPOVIMUGFNHQXEZLJS"	0	7	FALSE
"main"	49	"JA8 "	" oneCued "	0	" right "	8	315	"I "	2	6	"R "	0	2	0	1	"TZMXYDPAVEFUBRHJOQGSINLK"	"XJPZRMFSVYUBAKHTQDILGEON"	"UKSAHVRITBGXDYLPOEJQNMFZ"	"YQHBPEFIOZTGARUSLNMJKVDX"	"KQGSARONHDBVLJEXZUMYFIPT"	"KJXUZHIASOREDPYLVTQNBFGM"	"RMNOVBHEUADGLQTJZPIFSXKY"	"SEKLBVMGQARZYFHDJTPXIOUN"	0	7	FALSE
