"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	2	"JW8"	"nStreams"	0	"right"	8	45	"R"	0	9	"T"	"False"	6	-45	0	1	"KZSANGLFMTEYIHXUDVBQPOJR"	"EPYMILBUNTFOZARSQHJKGXVD"	"ESDKQMPZTINAJRFVBXLUGOHY"	"PJAUQGFKBTZHMYOLSRIVDEXN"	"OQJUVIRDGMAFLNYEZKHTBPSX"	"QTAXDGOPUKEHYSJBFZMRLNIV"	"XZMEKUSHITRODJYFGALPQBNV"	"DVLPYHNJAUQXGOMSEKFZBRIT"	0	10	FALSE
"main"	3	"JW8"	"nStreams"	0	"right"	8	0	"N"	0	9	"I"	"False"	7	-45	0	6	"IGDNJQREFHZOLTKSBYVXPAUM"	"XVQGUZPHBFONDTLJESIMKAYR"	"EGPFZTRNLODXKAQIHVJUMYBS"	"BLKGSEQNIDPJMZHXTRFUAYOV"	"TZPEOVMKXIDQHGFSBYUAJRNL"	"SYKJMXINVEUFQOTRHZAGPDLB"	"FIAQOKNBURHEZYVTLSDPJGXM"	"BKOGTUHEDIQSZXYNJLFMVPRA"	0	15	FALSE
"main"	6	"JW8"	"nStreams"	0	"right"	8	45	"I"	0	10	"R"	"False"	2	135	0	-2	"LDMPFTBRUIKJZNAYVHQEGSOX"	"LTSFBEJOHGQUYXIPADZVMNKR"	"FETASXBZIURODJGNLYQPKHVM"	"BKJYUMTPEDRQLANXZHGIOVSF"	"QEOVNIAPHLFSMRXBYKTJDZUG"	"SYOXDRAJHTPEKUVFIZBLGQNM"	"BAHJOXNFVITSKPDQYLMEZUGR"	"TAREHUJDNFZGVMSBYOPIXQKL"	0	8	FALSE
"main"	8	"JW8"	"nStreams"	0	"right"	8	45	"P"	0	7	"Y"	"False"	1	90	0	7	"NXEGIDUAYVTJHORMKFZQSLBP"	"LEUMIAZYFVDRQKPHNSJXBGOT"	"YGQZFIVNUPLSXADHTRMEJOBK"	"HQFXLSBNIVGDOZRUTYKEAJPM"	"XMGSHBOFYPDTRJUEINVALKQZ"	"MUATJQXNESDPHVIOZYGKRLBF"	"PQOUIGRMANBEKVZXSHJYFTLD"	"GBVDIPUHKMQLTOSNERAXYZJF"	0	14	FALSE
"main"	9	"JW8"	"nStreams"	0	"right"	8	0	"M"	0	10	"M"	"True"	2	90	0	0	"RJMNDFZPSVHEOBTIAGUXQKLY"	"FMRSXEJPOQUDGNBVLZYKHTAI"	"LHKEUOTFSYMNJBRXVZIPGDQA"	"BFNEVLXHTIODGQYSAZPURKMJ"	"NQMZVFSBHKJGYIRUDTALPEXO"	"BEHKOMPVNZRFTYLSUJQXIDAG"	"VMGQFTPZIBAKHRXJNDLOUSEY"	"XNIPSDAVZHUMOLJGKTFRYQEB"	0	10	FALSE
"main"	11	"JW8"	"nStreams"	0	"right"	8	135	"N"	0	7	"N"	"True"	0	135	0	0	"XJHALZSNYOETRKUPVMIFDQGB"	"GBHNRYSIEUPFTZDKJVXMQLAO"	"OEKYALRJBSMQPZDINFTXUVHG"	"JZDGIBQNKPAVXSOELYRTHMUF"	"AIDEBLQMNHUPSVTGJYKZXOFR"	"QILBVETMFJOKHAGPNXDZURYS"	"ENTRXKABUYMZHOJVDQIFSLGP"	"MJHNXGEOPAUVKLBTFZYRQSID"	1	7	FALSE
"main"	14	"JW8"	"nStreams"	0	"right"	8	180	"X"	0	9	"A"	"False"	0	180	0	7	"GMRNTKQLEAHDYBVZXJUPIOFS"	"ZROMGDPAISXETBJQKUNYLFVH"	"OYFUPTNVJXZKSALMDRIEBQGH"	"BRAVNKLXEHFMJGIQSYOZUPTD"	"OXUBTGANQKIFJZRYVHDLMSEP"	"HPKNGZMJBXSIEDUVRYFTOQLA"	"BQNUZSLERXYKVGDFTPMOAHJI"	"AXRKSQJIUGLVMZNEYDPHFOTB"	1	16	FALSE
"main"	15	"JW8"	"nStreams"	0	"right"	8	135	"P"	0	10	"H"	"False"	3	-90	0	-4	"RJPAFQSUGLMNHBXTOYEZIDVK"	"ORVNHDYMJEZKPUSTLIQAXGFB"	"IMHUNXBAZQJYPTSEVLRFOGDK"	"QTBGRLPIFUHEDXYAMNZKOJSV"	"NATGYPHKBIZXEOMDUFJQVRLS"	"JVOHETKXNAULBSFYMZRPDQIG"	"HGDRUAEBNIVQFXZPMKLYJTOS"	"PZQBXJGMNKETYHIADLUSFVOR"	1	6	FALSE
"main"	17	"JW8"	"nStreams"	0	"right"	8	135	"K"	0	6	"X"	"False"	0	135	0	3	"LOMIEAXFPKNGQDUZRVJHYTBS"	"JQKTAXYMLPIDZFGHOBUSRVEN"	"GEFQUSHNRPXMVTAIJLOZYDKB"	"BUPXSKNJIRVHTALEDQOZGMYF"	"OXVQIUMJYGPFDSNLKZBHETAR"	"JYRUEPLINHDMOAQKTSGXBFVZ"	"XKQUJZOFHYEGBPILMDRNTASV"	"DUIBOTXZQYRNKVPMSJAHGELF"	0	9	FALSE
"main"	18	"JW8"	"nStreams"	0	"right"	8	315	"S"	0	9	"A"	"False"	1	-1.40334185971e-14	0	3	"PQNXJUEAZSHVYBLOFRKIGMDT"	"FLZROKVDNAHJSQXTIYUMBEGP"	"KZFNUVLHSOIBTGEDYRJAMXPQ"	"MSOAFEKQJVUHZTPDRLNGIYBX"	"LYZUMAPKJFVIETDSQNBHGORX"	"OFYSGRXUTEIKALVZNDPJQMBH"	"LODXFREBUQYJKAPTGIVSHNMZ"	"TIQHGUFZNPYDOJERVSLMBAKX"	0	12	FALSE
"main"	19	"JW8"	"nStreams"	0	"right"	8	135	"P"	0	9	"G"	"False"	6	45	0	2	"YBENKGFHDPSRAUOIZXJQLMVT"	"KYGLNBZHXVQRTSMOIUEADFPJ"	"RZQULDJSTVXFIYKOEHNBAPMG"	"PAHYUFTBRNSMKZDJEIOGVQLX"	"KSYMDZFJOPRENHLUIGVXAQBT"	"YMHTZSLXEFOJBAPGNVRUDQKI"	"ALJUIKYTQGNPXHRESODBMZFV"	"SKJBPIHYZMOLTNQDEGRAVXFU"	0	11	FALSE
"main"	20	"JW8"	"nStreams"	0	"right"	8	270	"P"	0	6	"U"	"False"	2	-1.40334185971e-14	0	15	"IMZHFXJGTNEPQADKOLSBYRUV"	"PGUBRDKHMQXEJNYSVTOZLFAI"	"FIEJLQUGYBSOZXARKDNTHPMV"	"LDKIMZNORVJYXESUTBAGHQPF"	"RGYULTVIXHKZNPBEFJQMAODS"	"ZSGEXOLDMNJYAIRKFHQBUPTV"	"UNMDXBAISRJYZHPOGVEFQKTL"	"EZQUBNJKFVDXGMOYLHTIASRP"	0	21	FALSE
"main"	24	"JW8"	"nStreams"	0	"right"	8	225	"O"	0	8	"S"	"False"	7	180	0	4	"ZHEUYLJAMKFRDTNXGPIQSOVB"	"GASRVPZKYLHNOBFIETJQMUXD"	"ZAOKFHJSXPBYRTIQEVMGULND"	"BJOPURGHNTMKXYDSQZVFEAIL"	"XZUONTVFJIYMRQLAPSEDHGKB"	"IFBOHQSVXZNMPRTYLDGJEKAU"	"YISEDTKUPMALFVNQBXGJRHOZ"	"AQXLKYMRSTDUOGFJVEIPHBNZ"	0	12	FALSE
"main"	27	"JW8"	"nStreams"	0	"right"	8	180	"X"	0	8	"A"	"False"	3	-45	0	14	"MQJUGKNXFTLAPROSDVBIEZHY"	"YSGHMXFNADPVQUEJKLIROBTZ"	"DOXTSFJZNPELIRKQGAUYMVHB"	"OUJDYNHLAKVZSETBIQRPGMXF"	"PDXKRAEYLOSHIUFZNBMGQVTJ"	"NXJKFULPMBQSYAIRZOVGEDTH"	"RDJFQYGVIZAMHNXOUPESKBLT"	"YSTZNQRULFVMPXOIBJKHDGAE"	1	22	FALSE
"main"	31	"JW8"	"nStreams"	0	"right"	8	0	"P"	0	7	"H"	"False"	3	135	0	-5	"STYDOKNUGPXVAEQMBHILJZRF"	"LYDJIQGFNRSMAUTHXOKBEVZP"	"IMQRYFUPBDVLGEASZKHONJTX"	"LXPUQYIHBMRNOJAVKTDFSGEZ"	"NLFIBZJAQRYTXUOHKEMSDGVP"	"TMHVZGXYDSLPAQIJFKONEBRU"	"VOASHDTMNGRXIUYBLZEFQPKJ"	"YMUXDZTHVNEGKAJIFBPOQLRS"	0	2	FALSE
"main"	32	"JW8"	"nStreams"	0	"right"	8	270	"G"	0	9	"U"	"False"	6	180	0	3	"OIFRZKTNPGBEMDQXJHYVLUAS"	"SAREMYXBNKLDZFOPHVQJUTIG"	"JTLSPVGRKUHENZFMQDOAIXYB"	"POUFSMHEXDAVYLIQJZTKGBNR"	"TDNGIHEQJMSUVLAKBFXZPYOR"	"NXTEFGKBZDIASJVQHMLURYPO"	"JMBZHALXRUDQGPSKVFOTEINY"	"UDAZFKMOSEJPNIXGTRHBVYLQ"	1	12	FALSE
"main"	33	"JW8"	"nStreams"	0	"right"	8	45	"E"	0	6	"L"	"False"	4	-135	0	3	"HNLFMSGOYDTVERAKXPJIZBUQ"	"NRUMOIVLXKAGYDQSEPZBJHFT"	"MSNUIFXZJVPAGDYBTRLQOHKE"	"ULDYPQJAEIMBZXFHOVSNGTRK"	"DXUOTPLYHEGKZFMBIANJVSQR"	"NMFUSGOXYKLQHDZVABJTIPER"	"TBHPDSRKMNJQLUFYZVEOXGAI"	"MVZSGURKHQOLYAIFNJEPDXTB"	0	9	FALSE
