"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	4	"SH20"	"nStreams"	0	"right"	8	315	"Y"	0	6	"E"	"False"	2	45	0	1	"YLRKXSHEVOFZINMJBTUPGAQD"	"JUSMEKQBGZOTRXNAYIHFLVDP"	"UBXJKHEYNDLQITVAOPFMZSGR"	"BIKRHAZQMJOVSUYNDPETLFXG"	"QJKLURYMPZEXGADIVNBTOFHS"	"DEMGRQUJSVAINXBYZHFTKPLO"	"VGMZATNXHEBYJRSIDPLFQKOU"	"SGHFDMTUBREYOKXLINVJAQZP"	1	7	FALSE
"main"	5	"SH20"	"nStreams"	0	"right"	8	315	"N"	0	7	"F"	"False"	2	45	0	1	"DTRAOYBJPLKNXQZHGMSEUFVI"	"RMJGSKUPXYINOBFZHVATDQLE"	"DIKQHTEFNJZSMALPOXVUYRGB"	"QUKJEPDGIHOSMVBLNARXTZYF"	"QOZGXTKIPNRUJHMVBSLAFEYD"	"BFYVUAMHNPXIQDTGSEOKRZJL"	"SJNGQIMYPTKROEVAZBUDFXHL"	"KTPXHDGEAVOUBMLJZQSYNIRF"	1	8	FALSE
"main"	6	"SH20"	"nStreams"	0	"right"	8	180	"S"	0	10	"V"	"False"	2	-90	0	1	"JBMVPYTOKAIZDLUXQNFSRHEG"	"MVPYOSHDRXFJAKEQBZLNUGIT"	"NEAUHZMBIOVSGKYJDXRLFTPQ"	"YHDGSNOLRMZIAVQFJBPXKUTE"	"ELTFNZHYIKBGORJVUSDMAQPX"	"AQTMEIVFGSPXKUOYZDHJRBLN"	"ZDKAJQTRPGVBNYEIOSHFXMLU"	"TOQIBMALXSZNHPJVYGRDFEKU"	1	11	FALSE
"main"	10	"SH20"	"nStreams"	0	"right"	8	135	"V"	0	6	"X"	"False"	3	-90	0	1	"VIRXKLDMJUAGHBSYNOEPTZFQ"	"IUHARFDMSOPNXGKELZBVYQJT"	"IRSHXFOKGTVJPDEABUMNLQZY"	"FJTOARXVSBPMZDUYGKQEINLH"	"JGYHDRNBXZKVPALSETUOFIMQ"	"BZPEIMVQYTUNHLAGFJXRDSKO"	"RVXZSUIGMDLAHFNEBQTPOKJY"	"XAVEQFMYHZPOTGNIUDRBJKLS"	2	7	FALSE
"main"	11	"SH20"	"nStreams"	0	"right"	8	225	"J"	0	7	"L"	"False"	3	-1.40334185971e-14	0	1	"FPMDSUGATORYLXIBKJNEQZHV"	"TFIJHKLSEMOBUVARPDXYZNQG"	"QTNVYADRBSJIEKOMXLZPUGHF"	"MTRBVFZLJHSGAENQPUXOKIDY"	"SIGQEJDZXTHUOFVYRNBMKALP"	"ULGAVHBOTZSEPYFKMXDRIQJN"	"OJYXRDVNGAZUIMKFPTQELSHB"	"QNBTZVFSJYEPXRDGKHUMLOIA"	1	8	FALSE
"main"	13	"SH20"	"nStreams"	0	"right"	8	180	"S"	0	9	"S"	"True"	6	90	0	0	"PFOVMLIRQTDBXZHJYESKUNGA"	"MTOZXKBJYRSDINHQVALEFPGU"	"FQTPKMSBAINZJOEDXGHULYRV"	"KYPNVJAZURFBETSQGMODIHXL"	"ORTANBGKHUEZIQLXVDFSJMPY"	"OPVZQFYHKIDMLURENJXBSAGT"	"LUKHROYGBSQPNZDIVJEXTMAF"	"YGNITJOXZHMQEFDABKUVPRSL"	1	9	FALSE
"main"	15	"SH20"	"nStreams"	0	"right"	8	180	"E"	0	7	"E"	"True"	7	135	0	0	"QBYRESNZDMGXKTPAJULVFHOI"	"SXZPHAQUMNIKTJBDGELFOYRV"	"ESTLFMKRPNVOJGYHIXDUZAQB"	"QJRASFLVEHBTYXIGZDOPNKMU"	"ZUYTLPVRAJOBHSEQGKXFIDNM"	"ZXSUDKVQMPEAHGLBTYIJNFOR"	"QPLKBSJGHUMFZRXYTIDOAVNE"	"QNGKJOBEDTPYHLIFMVXZSRAU"	1	7	FALSE
"main"	20	"SH20"	"nStreams"	0	"right"	8	315	"G"	0	8	"E"	"False"	5	180	0	2	"YVUOAMNJERSPKXIFHZDTLQGB"	"EIXNYMDQRKGAFOPJVHTZLBSU"	"DQVSARZKTYGNBMJPFOIHEXUL"	"VZTINPQEYFGSRXADUKJMLHBO"	"LPVFXDANEJOMZUGHTRSBQIYK"	"JHOFXSAYEQGIUPDMVRLNBKTZ"	"GFHKERBUXMPTQYVINDOJSZLA"	"NQRTBSOYGIEZAFXJVDKMHLUP"	1	10	FALSE
"main"	21	"SH20"	"nStreams"	0	"right"	8	270	"E"	0	8	"K"	"False"	1	-45	0	1	"RZXAUJMVTBYGILSQHEFPDONK"	"RMLPTJAGKEVZQUXDBFYHOINS"	"JSONDAGZMLQEBIRUFVYTXHKP"	"GXHJLPUSNBTOIQEVMAKZRFYD"	"TZSFXJOGNQPVYDALREBIUKMH"	"BIOLVYEZTJSDXQMNAUFRPGHK"	"IOGBNRZJFKDTHQPXVMLSUAYE"	"ABEXGKMPYHVDNFJIOULQZSTR"	1	9	FALSE
"main"	22	"SH20"	"nStreams"	0	"right"	8	225	"H"	0	8	"H"	"True"	1	-90	0	0	"LQZGYJVURPKMSHOEFTIDXANB"	"MSBEPKJUHTGAOYXQZDLIVFRN"	"FVGKXANMHLSBEQZDRTJPUOIY"	"XLSANGYFRMUOPVJQZETDKBHI"	"SHXJGPZBDUKQMOTVAIREFYNL"	"LGDBNUFOIVSQRYXMATZJPKHE"	"VJNQKTPIAZLHFGMSBEXYDRUO"	"SVIYDQGBZRLJEKMANTPUHXFO"	2	8	FALSE
