"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	0	"KH18"	"nStreams"	0	"right"	2	225	"O"	0	10	"T"	"False"	3	-1.40334185971e-14	0	-3	"ERAMKHDVFGULYZPJOBXNSTIQ"	"XFZIOEDNHLAJSBVRUTGKQMYP"	"KFMHJDZTLSEIBOGQYUPRANVX"	"ZJFBNUVOPHTSYIAKLXGDREMQ"	"XPQDFBELYUOHRAVSZTGKJMNI"	"BXRHFQUJLYKZNMPGAISVTEDO"	"ZEIGBOANXDPSKLTUVQFJYHRM"	"RGFZKHXBUJQNDSAVETPLOMIY"	2	7	FALSE
"main"	2	"KH18"	"nStreams"	0	"right"	2	225	"T"	0	8	"G"	"False"	6	135	0	6	"YUPOEJADXFRGSTVIQLHKBZMN"	"IRNLXUMTOZAGJFEHVBSPYKQD"	"KRJHIPNBGDZYXTEFAVLUQOMS"	"HZSNTLEKOFVRMBAGXQIJPYDU"	"BUAZQXPRKHMDOGFVTSLEINYJ"	"DVAPOHTUKXYRJNFGIQEBZLSM"	"KULNSYIBGPOJZMTDEVHFQARX"	"FAKGJPRYVDOXMHZEQLBNUSIT"	1	14	FALSE
"main"	7	"KH18"	"nStreams"	0	"right"	2	135	"O"	0	8	"I"	"False"	4	-45	0	5	"MXDNRVYTQIEUGLJOFPAZBHKS"	"ZNYKVJSDIOMFXBPLUAQGTHER"	"VGTUSEXDPAQBKNYLFJMIZHRO"	"FKVPMQRNTZBGHALIEDYJUXSO"	"BFANMSVTIZGUKOEDLJPYQHXR"	"EZVQMXOALRDGUIBFJTPNKYSH"	"UPTNZJSQIMEDOAHXRGBVFKYL"	"BGUIDFVLXZEYTANHPRKSQMJO"	1	13	FALSE
"main"	11	"KH18"	"nStreams"	0	"right"	2	90	"A"	0	6	"F"	"False"	4	-90	0	1	"IJPHKEMXOBARNUGDVTQFYZLS"	"EYTZFLDUVXRGSIKBQAHNJPOM"	"UNYVXDQOAHFJSPLREGMTZBIK"	"HXEFBNMYIOGAUKPJTRVZDLSQ"	"VIQJHGFASDNKULMYEROZTPBX"	"NYHPEFKIOJLZXABVTMRQSDUG"	"IKZNSJLQAXRGHUEMDFYOBPTV"	"NHRXGDYFTQMOUJZSPLVIAKBE"	2	7	FALSE
"main"	13	"KH18"	"nStreams"	0	"right"	2	225	"M"	0	6	"M"	"True"	2	-45	0	0	"DSQIGTEFJUMHNZYKRPVXBLOA"	"UJOFSTZIPEMNKYRDAXLGVQBH"	"TQHBZJMNVDOASXURIGFKPYEL"	"PUVKERXASLGBFMZITJHQDOYN"	"OUBVPXKIAYLSZFHQDGRNMJET"	"HPBGJZUFVQASRDEINKYXTMLO"	"JYXKBELFIRUPHDVZNSTGQOMA"	"AKDOSEYRZHJIBMVPXTNLQFUG"	2	6	FALSE
"main"	16	"KH18"	"nStreams"	0	"right"	2	135	"B"	0	9	"B"	"True"	6	45	0	0	"MHDLIASVPFGJZQOREBXYKNUT"	"GNRKIQDUFZPELASMJBVHOYXT"	"VQKAXBGIMHJRDYTPELSONFZU"	"ZJVSDHBIMQYGPKNAORXFUELT"	"YLMPUBJGHOESXRNITVAFDZKQ"	"GEVFOIQNPLMDTUHSKYJRBAXZ"	"HRFZMVSYTBJONUEPLDKAGQIX"	"PKNEVRUHDBAISZYOTQMXJLFG"	1	9	FALSE
"main"	21	"KH18"	"nStreams"	0	"right"	2	270	"T"	0	9	"Q"	"False"	0	-90	0	1	"EANHPDVILQTKOFJMRBYXSZUG"	"XMRVHBLOAISKJNDYTFQZEPGU"	"JAUNSOZFEQHIXKDGLRMBVYPT"	"UZGDVTHXIQYJNAESKBMOFRLP"	"GAZXBJVUEQDYOIKFPTRMNLSH"	"JPXKHQIYNUVETDZBFLSRAMOG"	"UOKEMZJQFSGVTNDPBIAXHYRL"	"XJOGFATSDYVIPMRLEKZBQUHN"	1	10	FALSE
"main"	24	"KH18"	"nStreams"	0	"right"	2	315	"S"	0	9	"R"	"False"	0	-45	0	1	"DPBOEIYZHRSAJUVNQFMXKGLT"	"DFGLUOHPEQKYTXSNJZIRBVMA"	"ZADGUEKBSMNYRHJXIQVOLTPF"	"ZMPRNIDUQSGEOBXVTJFAKHYL"	"JDVFOSXKRHPGATMIEQLZNUBY"	"MBSLGPXKDANHQTFUIROJEZVY"	"ESRUGDNZJIFBKYLQPMVHTOXA"	"EKBZDFXTYQNJVHSMGRUIOLPA"	2	10	FALSE
"main"	30	"KH18"	"nStreams"	0	"right"	2	315	"L"	0	8	"X"	"False"	5	180	0	1	"VSGAQZLJKREBOMYDFPNITHXU"	"SFBUMETHIYNLDZGQKROVXPAJ"	"YDPFXHQVEZSKUMRGAJBLOTIN"	"APMNGBXFUSJROTKHLZVDQEYI"	"ZJAIRFYXBSVONLGMQTEPDHKU"	"TPFAESBJXLQHOVNIKURYMZDG"	"IEVGOAPYZNBLSFTUQXRKHMJD"	"FXKNSHLROJYMUEIVQTDBPGZA"	1	9	FALSE
"main"	32	"KH18"	"nStreams"	0	"right"	2	0	"R"	0	9	"L"	"False"	7	-45	0	2	"JNROFKBETLAXPZMGSYDQIUHV"	"YKUJLIBGEQMXOAPVDFHTZNSR"	"NGDXIQYMEOLUHSZBPVTKFJRA"	"QFSBHLIOENPZKMJVRGUATDXY"	"DOXYVHUNGZRAMBJQFELPSTIK"	"GHMVBKZFPNRIXDAJYELSTOUQ"	"ZMFDPAXQYRIKNEJTHGOLBSUV"	"ABIYJOKEMLQRUSXGDZNTPFHV"	2	11	FALSE
"main"	36	"KH18"	"nStreams"	0	"right"	2	180	"X"	0	7	"V"	"False"	0	180	0	2	"HMSERKYVQXDAJLGZOPINFUBT"	"ASTUPLIBHYFKZGQEJDRMXNVO"	"UNLEPMXOKZFYTSRHQVGBIDJA"	"DXBSKVLQPNFUETAYZJGHOIMR"	"XYRMPZHIDAKGTJSEBOQVLFNU"	"YXATHPNJSZIERFBOLKQVDUGM"	"RGXYBJZEATFQMOPNSLVIKHUD"	"OJRHBLSAGEXUDKPNTMVQYIZF"	1	9	FALSE
"main"	39	"KH18"	"nStreams"	0	"right"	2	0	"K"	0	10	"H"	"False"	3	135	0	1	"XIQHTSDZLENGMOVFJKUPYARB"	"ZEMUKRSDQHBFTOVLPYGIJNXA"	"PZTSFULDGKAENHBMOXRVYQJI"	"ZUXTBPIOVSHKGJMLADQYNFRE"	"KJVSREMXFAPHOLBIYDGTZNQU"	"GLTQHFOISYANJDXKBRVUZMPE"	"LJZHVYXOIKNPBGQEDMSFATUR"	"LMAEVHFYRUNZKOPTXQDIGSJB"	2	11	FALSE
"main"	43	"KH18"	"nStreams"	0	"right"	2	0	"A"	0	8	"A"	"True"	6	-90	0	0	"MNGKESTQJAZRUVLHXYDOBPIF"	"PBLDMKZSXVYQRIUEGFHJANTO"	"AVFHZONSGPXLMRIJUTBDEYKQ"	"PXBJGOZYHNKTEAVRIMUSDQLF"	"LGUSYOMDPTXAJVBHIQRNEFKZ"	"SBNYMHAGPXJEDKFQTLVRIUOZ"	"SJDLQTBUAGIMPRHNOEYKZXFV"	"MIUFEGNPJSROKVBDYQXTLAZH"	2	8	FALSE
"main"	45	"KH18"	"nStreams"	0	"right"	2	90	"H"	0	8	"X"	"False"	3	-135	0	1	"UGDZYJBESHAPVIXNOMLFQRKT"	"IFAEVPKSJBLROXQUYZTHGMDN"	"GBIPULEOTSQFNJMZXYKDRHAV"	"DJKZVRGSXHTUNIYQPLEOMAFB"	"ONYEISTKJRUXZMGDLPABQHFV"	"QMBLSIVEGDKHJOAFYRPZTUNX"	"ZLFAVKMDPRISYOHGNJUTBEQX"	"SOLKHABRGEJVIPQYXZDMNUTF"	2	9	FALSE
"main"	51	"KH18"	"nStreams"	0	"right"	2	270	"M"	0	6	"M"	"True"	1	-45	0	0	"QMRVEPOASIBNULKTDYHGFXZJ"	"BJULKTMNSXOPAYRQDGIHVZEF"	"KVQRGTFINEMYBUZXDHSALJOP"	"KNAGXLYOBIMZUVDTHPRJSFQE"	"ALGQZNHYTEFRPODSMKJBVIXU"	"SDOVPMHNQKEGUXRAJFIBYZLT"	"MELAXYOTPGVQKSHJNDUBZFRI"	"DZGSIJAUQPFMOXVLTYBEKHRN"	1	6	FALSE
"main"	62	"KH18"	"nStreams"	0	"right"	2	180	"H"	0	10	"G"	"False"	0	180	0	2	"JLQUPMYFIRGXHBAKVDNTZOSE"	"YROMGSVHNKJXFTZBQDLAPUEI"	"XOUQTPFJSNYRAEKBZMIHGVLD"	"FYQSOBAGEMKUNZITPJDXHLRV"	"XGKPSMAIRTLQJODYUNEHZFVB"	"VLQEJUDSKFPRIMABZHYGOXNT"	"RMAKIDVUTSPBXLHYZEQNJOGF"	"QAYTVRGJLSNMHEKZXUDFBIOP"	2	12	FALSE
"main"	67	"KH18"	"nStreams"	0	"right"	2	90	"E"	0	7	"H"	"False"	7	45	0	1	"FSZRQMDVAHLKUBPGEJXITYON"	"NTUKRQXJBDMEGIAHPYLVOZFS"	"SDBIVALXZJPRONHUQTGMEKYF"	"NXGBUKROMYDSEAIJHFLZQPVT"	"KQIUHMYSPNAJRVOETLDXBGFZ"	"ATBEDZLRNJXVQYIUMOHFGKPS"	"JKHATQFPEULXNBZVDIRMYGSO"	"JXIRVOQHEZBALNKUSPGTDYMF"	0	8	FALSE
"main"	72	"KH18"	"nStreams"	0	"right"	2	45	"S"	0	6	"B"	"False"	3	180	0	2	"EJURVQMKBTNHOIPFZXASDYGL"	"OEZKSGUFMPJBTARDLVXHNIQY"	"YAXZIFGMVHPODTNJREKLUSQB"	"EXPVHIBJSKOYDAMQNGTUZFRL"	"BADEXRSYTUNIJGPFMVQKOHZL"	"OAJMQVYUTPEDBNFKIZHXSGLR"	"GXAFHBTSNYROLQVJEMZKPIUD"	"TXYBERSHOFPUKJDLQNAGVMIZ"	1	8	FALSE
"main"	74	"KH18"	"nStreams"	0	"right"	2	180	"H"	0	8	"I"	"False"	0	180	0	1	"ZEJMNPQYIHLFGOSKDVAXTRBU"	"OMJLVUIBTQFKGESYPZDHNXRA"	"QSVDLYKZJNIRFEMXOPTBAUHG"	"IXTUVYLOARQBEZPDGSFJNKHM"	"MORJYHTEZSGUBVQALINPXKFD"	"IPHRDNTSJEZXQFOBUVLYMGKA"	"XJEPRMGTIVBHDSQUYFKOLZNA"	"LREXNTBUVAZKDOYJMSFPIHQG"	1	9	FALSE
"main"	75	"KH18"	"nStreams"	0	"right"	2	315	"P"	0	10	"S"	"False"	5	180	0	13	"TRLKEBJZFGPQAHNXUOYMSDIV"	"XQJFYSKHENZMUOVARLDBGPTI"	"FUJKYAMRNVDXPZTGSHLEBIOQ"	"LFXGIOQYAPVRHTUZNBDJEKMS"	"UHSFJGLKPZTAVMBIQNXYODER"	"YJLHONIRZESFTQDKGUXMBVAP"	"BSDHGZKPTFENRJIAUOQYMLVX"	"SGAHLYEFTVIXQMJDKNOPBZRU"	2	23	FALSE
"main"	76	"KH18"	"nStreams"	0	"right"	2	135	"M"	0	6	"G"	"False"	2	-135	0	1	"TEZMLFOKJVAUSXQDNYRBIPHG"	"THBFXDAUJNMPREGSKQIOZLYV"	"IOLAVZGMKQPYSEJRUNDFXHTB"	"VZHTNKOMDBEJUSAXFQGYLIPR"	"ZUPKVRAETBOMYGNXIFLDJHSQ"	"BLVXKMJPNHQSOZRFUTEIDAGY"	"ARMUGLFOQITKJPHBVDEXZYNS"	"DLOUAQJKBXYSINHFEGVRMPTZ"	1	7	FALSE
"main"	77	"KH18"	"nStreams"	0	"right"	2	270	"Y"	0	7	"S"	"False"	4	90	0	1	"DLMAQPTXENHYKOJVUBSRFGIZ"	"RPQHVOUAFBXJIDENKTZSYLGM"	"IKRHBPQNZDUVATSMXOYJLEFG"	"BFAQOHZPGNMXKSLTUYEVIDRJ"	"HAOBPXVSYJEDKFZLGMINQURT"	"PBURDXAJZTINMHOQEYVSGLFK"	"HBIXDRLMNFSZAJUYETVQKOGP"	"UNLFYIQDZBRKTHOGJEPVMAXS"	0	8	FALSE
"main"	90	"KH18"	"nStreams"	0	"right"	2	225	"X"	0	10	"X"	"True"	0	-135	0	0	"RBAKEIDYGTXMFUSOVPQLNHJZ"	"KOQGPVZITYXMDRNEFBJSUAHL"	"JNSUQROIGTHZBLMVADFXEYPK"	"TOEDIVSHQAGYLPFZJKXUNRMB"	"INQXHYDKFRUZABVMJTOEPGLS"	"RPQDXFNGTMEAIZHVSOJUKBYL"	"XQEBYUVLJOMNPAKDRSTGFIZH"	"BRNDHOGSKXYLJVFMEQPIAZUT"	2	10	FALSE
"main"	93	"KH18"	"nStreams"	0	"right"	2	270	"Z"	0	9	"A"	"False"	4	90	0	1	"QVIFKYRUTNESHGBDLZMOJXAP"	"QMREUZDJAVOTLIBKFSPGYHXN"	"LEXVASBIMJNPGDQKOZFYTURH"	"MHYVXLIGNFDZKQBASJOTERPU"	"TPGBSQYRXAZNEVUJODHIMKLF"	"JTLBZIHMRYNVGEOPUSKDXAQF"	"SEYKLXBTHZRAVGFUJNOQIDPM"	"ABIQNETKGFRJLMPDXVHYZUSO"	2	10	FALSE
"main"	94	"KH18"	"nStreams"	0	"right"	2	225	"G"	0	7	"R"	"False"	1	-90	0	1	"XFGNROLIPYJAKMTHUDEQZSVB"	"SDLJNKORGTYQXIFHEABPVZMU"	"JDRYPIBKUGQTLONXHMAVEZFS"	"LNYPTXJGIEHRDUOBKSZMFQAV"	"ABISKNGTLPZYHEDRQJMUXFOV"	"BFTSUDEKGZHIQVAYPJONRXML"	"JHMKURLGNZFVYPAOETDXIBSQ"	"VDQTKIBLPYGHFEXSNAZRUMOJ"	2	8	FALSE
"main"	97	"KH18"	"nStreams"	0	"right"	2	45	"K"	0	8	"H"	"False"	3	180	0	1	"MQPBKLJVTXDGZAHROYEUINSF"	"DRXFQKEPISOUJTNMABVHYLZG"	"JXHTVYSILDQORKNFEMGBPAUZ"	"YZVFRLBNHKSAOMIPETDJUXQG"	"VIPAKFUMGJDSNQHRXBZYTOLE"	"SAJVNXMDITGRYQOHEBZUKPFL"	"JMTGDSXANOPZQBVUFLYRHIKE"	"VINKRSGLZMTUYDHFOBEJAPQX"	0	9	FALSE
"main"	107	"KH18"	"nStreams"	0	"right"	2	135	"O"	0	9	"G"	"False"	0	135	0	10	"FSHUYRVIPGEXMNZTKBLOADQJ"	"BJIEYZGANRMOHPXUQSTLKDFV"	"OZIJGDHBRPTKMNUSXFYALVQE"	"AHUEMTVIGOPDFLKBNZJXQSYR"	"DGFIXJUZTEAYPNORHLMSVQKB"	"URYZHMNEKOFIXPQGJLTDSVBA"	"UGKJDEMXTZNPYHVSFLIOAQRB"	"DJAPOENIHBQLRYKVMSGUFXZT"	1	19	FALSE
"main"	108	"KH18"	"nStreams"	0	"right"	2	315	"I"	0	8	"Z"	"False"	4	135	0	1	"ENXMPBTLJVOQRGIDHKYFASUZ"	"ZNPGFVLYIXQTJAHSUEOBMDRK"	"ZJRXNPHLEGYVODFMSQBUKIAT"	"SEKYBODMXHQINUTVRAJZLGFP"	"EVPYDHUSZIFOQKRTNLMBJAXG"	"RNMGQYOXJDTZVSEHLIPUFKAB"	"ABPNTXEKJFIOZGMRYVSLHQUD"	"KRDXNVZAGYLOHMTEUISFBPJQ"	1	9	FALSE
"main"	114	"KH18"	"nStreams"	0	"right"	2	135	"J"	0	8	"I"	"False"	1	180	0	1	"RFNIPXVYKOUBTZLDHJAMQSGE"	"VOYSHKMTIJAEPQBRNDXLGUZF"	"PVHFLTIXZEYNKJADQMGBOUSR"	"URQNMEKSJYGBPTZIDLVOAHXF"	"ZLPJDGIUTMFRBQSNAYVKHOEX"	"AFGLDEZBKTNVPSJHMIQUXRYO"	"NVFHLOJAUTMEPDZGRYBKSQXI"	"DHIOZAXMJLBVEYGKRNPUTQSF"	1	9	FALSE
