"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	21	"RN12 "	" oneCued "	0	" right "	2	135	"D "	0	6	"J "	0	1	0	2	"JTNGUHXZPVYEMRQIODSBLAFK"	"NZRBUHJIDAPTFKSXLMGYEVQO"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	FALSE
"main"	23	"RN12 "	" oneCued "	0	" right "	2	315	"G "	0	10	"R "	0	0	0	-7	"SLXGFDHEAORQIMBJTPUNZVYK"	"OMIBNAGXVHPEDTSLZJRUKQFY"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	3	FALSE
"main"	24	"RN12 "	" oneCued "	0	" right "	2	270	"H "	0	8	"A "	0	1	0	1	"ORBGQTPKLDHXUSIZJNMFEAYV"	"EGMQOPBFAHZTVRJYDUSNXKLI"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	FALSE
"main"	28	"RN12 "	" oneCued "	0	" right "	2	45	"T "	0	7	"F "	0	1	0	-2	"VODMHUELFRKGIZANQSXYBTPJ"	"ORPBYTNFSXZEJHMIGVAQDKUL"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	5	FALSE
"main"	35	"RN12 "	" oneCued "	0	" right "	2	180	"E "	0	10	"B "	0	1	0	1	"YKGERPDOLSQUAZFMTHINXJBV"	"JZRKNUSGFOBEIXYPLDTAVHMQ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	11	FALSE
"main"	36	"RN12 "	" oneCued "	0	" right "	2	0	"E "	0	9	"V "	0	1	0	1	"GTIUBRKEZPLSJHQFMXONDAYV"	"IRDOKZMHTVEUNFQYBGPJAXSL"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	FALSE
"main"	37	"RN12 "	" oneCued "	0	" right "	2	225	"H "	0	6	"Z "	0	1	0	1	"HFNIURXDKZTSBMPAGJQELOVY"	"TPVBOUZHFJRXGDYIMLQKESNA"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	7	FALSE
"main"	39	"RN12 "	" oneCued "	0	" right "	2	135	"P "	0	7	"N "	0	0	0	1	"KQZHOXGNPFTBDSYVEUAMRLIJ"	"UJOTDSZBAFVKGNLEYXPQMIHR"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	FALSE
"main"	41	"RN12 "	" oneCued "	0	" right "	2	90	"D "	0	7	"O "	0	1	0	10	"VOMQTBZGEPAHKFDLNRXYJUIS"	"UMHPXINOTLBYESGFVDAJZQRK"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	17	FALSE
"main"	42	"RN12 "	" oneCued "	0	" right "	2	180	"N "	0	6	"H "	0	1	0	3	"EHIUZSBJVNDXRFOLKAGPTYQM"	"AMDBJIHUTNQESPXYZLORFVKG"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	FALSE
