"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	0	"SH20"	"nStreams"	0	"right"	2	180	"E"	0	9	"F"	"False"	3	-45	0	-5	"JGMNZPUYTKSVIXALRDFQHEOB"	"JLAHOYSNPKVUIBQMDEZTXRGF"	"MZQOXGDEJYSITPVUHLABNFKR"	"KUNGETDQXFLPIVSHJRMOZABY"	"XMPVQLNHBODJKYSIEAUGZTFR"	"FZQJRVTAIHYMXBDGSEPKLONU"	"VSOPDUBNQYFJELKHRZTXIAMG"	"DOQXLPRBIAFMKSNEGVJUHZTY"	1	4	FALSE
"main"	1	"SH20"	"nStreams"	0	"right"	2	0	"L"	0	7	"I"	"False"	2	90	0	1	"MEPDFABYONUHKVLQXTJSGRZI"	"VUSDIAZBMGJOFKLYXPNQERHT"	"ZVYJGFQILAXTEHRBUKOMSPDN"	"TLGAHEVBQIZPROSYUJNFXDMK"	"LSTMKJGXVQOFDRNIUEABPHZY"	"UIRKOYTSLDABXHNZJFEGVPMQ"	"IEMYOUNQXTJKAPFDZHBVRLGS"	"LMHIUJKBSZDTOAVXGFRYENPQ"	1	8	FALSE
"main"	2	"SH20"	"nStreams"	0	"right"	2	90	"J"	0	10	"A"	"False"	3	-135	0	1	"DAMTKFHPEZVQGXRLIJOYSNUB"	"EYUGFHTBRXLDOMAKZNJSIPQV"	"PXRZHNDEIAVUBGJYOFQSMLKT"	"KSEMGUPOTFAJQHYRVLNIBXZD"	"GZPUVAYDIEHTKMLQXSOJNFBR"	"DKTMQZNLEUVIORHSGJYXABFP"	"UASXJMDOKQNRYVTLGFIHZEBP"	"TRESMVFPIOLZUDHYXJGANQKB"	0	11	FALSE
"main"	3	"SH20"	"nStreams"	0	"right"	2	180	"H"	0	6	"R"	"False"	3	-45	0	1	"XABKZJSRFVOYLHENUQPIMTDG"	"LDOIZVGHKATQPSYRFNJUXBME"	"SQHDFNATRUOKBPXLEJIVGZYM"	"JLBIMXRHFPOZQGUEVASYNDKT"	"HAROEPUZXTGLNJVDQSYMIKBF"	"NFHPYUOEJXGADIZRLMTKVSBQ"	"PENUIMKBQTJFZVRGDLASHYXO"	"SKFJRXAPZEBONYDILUGTQMVH"	1	7	FALSE
"main"	7	"SH20"	"nStreams"	0	"right"	2	45	"R"	0	7	"F"	"False"	2	135	0	10	"ROPUMYDLFNXEKVTZIABHSQJG"	"SAUXBKFZDGNHJMYRTVOEPQIL"	"DSJZBEMFOTHQPALVIRYKXUGN"	"FABGKJVXQPLUEOTDYZHMIRNS"	"ZUPIMENGKFQTSYBJVHLDAROX"	"NEPZIOFQJKBSRTXVMDGLUAYH"	"ELMPOZKDTAQXUHIGRVFJSNYB"	"RJGANPDBIYLOFXVETKHMZSUQ"	1	17	FALSE
"main"	12	"SH20"	"nStreams"	0	"right"	2	270	"M"	0	8	"O"	"False"	6	180	0	1	"SVHTYURNJOFIGXQEMZBPADKL"	"LZYIGVEMQDNBUKOJAFTXPHRS"	"NUMRXGIEDOBYTASKLFHQZJVP"	"QNOYZLUXHMVKIPGDJEBFSTRA"	"MKFZRVLXHPITAESDUBJYQNOG"	"LVQEAOTDIHSYJUXPMZFBGRKN"	"REVJIBAUOMSPDKNHZLGTXQFY"	"JKYFITDPVMZHOXEGBAULSRNQ"	1	9	FALSE
"main"	14	"SH20"	"nStreams"	0	"right"	2	90	"N"	0	8	"U"	"False"	7	45	0	1	"RVYIBKHGSAJFXZQUOMEPDTNL"	"EZSQYVJUKXNBTOARMPLFDGIH"	"DPXBUVJSFZAGLYTIHNORMKEQ"	"YSMBEDHRFJGLOKAVTUPIZNXQ"	"RBFHYUAOJSPXKLVDNTZIQMGE"	"VRGZYQKADFENPHSTIUBOLMJX"	"KAHQOJSEGFDYNVRBTMXZPLIU"	"YHPBLXGRUNDKOZIJFVQESAMT"	1	9	FALSE
"main"	18	"SH20"	"nStreams"	0	"right"	2	225	"P"	0	9	"A"	"False"	3	-1.40334185971e-14	0	5	"YJHEANXDSZOLPRTIGKFQUVMB"	"AOEJVRIKQYTXGBDUMZPNSLHF"	"JQHUGTABKPMDRLYIFNOSEXZV"	"QMZYIVDBXAEFHTPNSUOLKGJR"	"MAFGYIVQBERUXKOTJDNPHLSZ"	"UBPVXQAKYTDLNZRISHMOFJGE"	"EXOVHIKGNDYFMZTPALQJSBUR"	"MVYQHSAJIEOTUZBRNXFKLGDP"	1	14	FALSE
"main"	19	"SH20"	"nStreams"	0	"right"	2	180	"Y"	0	7	"Z"	"False"	4	-1.40334185971e-14	0	1	"LKNPGVAXFTDJQYZSBRHUOEIM"	"SZQHYVLJMKPUDXANEOTIFBGR"	"YVPXDMRZTESBKHIOLANUQGFJ"	"OZHBPFJGVKRNTXYSQUDELAMI"	"XDKPTRGZYUMLVANOEIHJBSQF"	"ITFHXZVJNAEDUBLKRPMGYSQO"	"JVDHLROINEZMUTQPBGSKFYAX"	"EBROGUZFDYINKJXSVQHAMTPL"	1	8	FALSE
"main"	23	"SH20"	"nStreams"	0	"right"	2	270	"U"	0	10	"N"	"False"	0	-90	0	-1	"IVRPQJAGLUNFYZOXDHBSEMKT"	"PZJDIKQSEYMRVUBLTGHXOFAN"	"JXKEODZTGSBRINFHQMPLVYUA"	"LQBROVXEATDZNPHIUGFMSJYK"	"NXBRAYTUOEFDGPZQKJSHLVMI"	"UMVJHYDKATXFGPNRZBSOELQI"	"ZMEDXQJYTUPFBNKASLIHGOVR"	"GYKALRJFBZEXDNQOVTHUIMPS"	1	9	FALSE
