"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"
"main"	1	"AC5SONA"	2	2	"Bouma"	"K"	0	9	"L"	"False"	60	240	0	1	1	2	"MYZNJKEROUHQSLIAFGVXTBDP"	"EGXAIJPVBLOKMYHTNSZRFUDQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11
"main"	2	"AC5SONA"	2	2	"Bouma"	"R"	0	10	"T"	"False"	60	240	0	1	1	2	"ZXKNQFLYIEPMRVHTOBDUJAGS"	"GAMONVPIDUTBREFJHZSQLYXK"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	12
"main"	9	"AC5SONA"	2	2	"Bouma"	"R"	0	6	"Y"	"False"	120	120	0	0	0	-4	"GURZMDYFTJNIHOXSBLAVKQPE"	"DGFYUTLEMIANKXHQSRZVPJOB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	2
"main"	12	"AC5SONA"	2	2	"Bouma"	"T"	0	10	"E"	"False"	0	180	0	1	1	-6	"GSMVJOIEZTKQLBFYXHUPRADN"	"ZMKOTGPSUIEQYBXNALJDHFRV"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	4
"main"	14	"AC5SONA"	2	2	"Bouma"	"S"	0	9	"Q"	"False"	0	180	0	1	1	1	"EYXLHSPMBITOVNGQRFZKUAJD"	"APEMFNYBDQSIOUGZJXRVKTLH"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	23	"AC5SONA"	2	2	"Bouma"	"R"	0	9	"S"	"False"	0	0	0	0	0	2	"QXBVHNOPUSLRTAMDFKJZEYIG"	"ZVUHBESRQTLNIPDYOGFAJMKX"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11
"main"	25	"AC5SONA"	2	2	"Bouma"	"B"	0	8	"H"	"False"	0	0	0	0	0	1	"RAQEIPTJHBVKLSYOZNFGXUMD"	"ESZLFOTRJKVBNYXIHQMUGPAD"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	42	"AC5SONA"	2	2	"Bouma"	"A"	0	7	"F"	"False"	120	120	0	0	0	-1	"OITXJVAFLMYHZKNERBQSDUPG"	"BEYXHKDSJPQVOULAITGMRFZN"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	6
"main"	44	"AC5SONA"	2	2	"Bouma"	"P"	0	10	"O"	"False"	120	300	0	1	1	4	"JKZHFVNTQLXRDPMSBUGIEAOY"	"EQGBVKSXALOFMDPHYJUZNTRI"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	14
"main"	47	"AC5SONA"	2	2	"Bouma"	"U"	0	7	"Z"	"False"	0	0	0	0	0	-3	"YISTUJGZFQMPVNXEABRHDOKL"	"YZVORJFXPNSBMKUHEILQTGAD"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	4
