"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"
"main"	4	"CH"	2	2	"Bouma"	"S"	0	8	"V"	"False"	0	0	0	0	0	-6	"FNSEOYGAVZQRJDLUHXMPKTIB"	"QIGHSEFPMLRZVBYXTDJNAOUK"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	2
"main"	9	"CH"	2	2	"Bouma"	"M"	0	10	"M"	"True"	60	60	0	0	0	0	"UVAFYDEQJHMLGSKZOTBPNIRX"	"MYBZNAUFGIKDRTQPLXJHEVOS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	15	"CH"	2	2	"Bouma"	"O"	0	7	"B"	"False"	60	240	0	1	1	-7	"NMEQSTFUAXYIGBLKOJDPVHRZ"	"OLKNIHTBDGEVMUXPSRZJYAFQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	0
"main"	17	"CH"	2	2	"Bouma"	"X"	0	10	"K"	"False"	0	0	0	0	0	-10	"XQMLSBHFITKJUVGZEROANDYP"	"BOFDMLJXYVHKGAENZITSRUQP"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	0
"main"	20	"CH"	2	2	"Bouma"	"F"	0	6	"Y"	"False"	60	60	0	0	0	16	"BRONZGYEPDHKTAVLMXIJSUFQ"	"GRZNOKEYITQVHJBPLFSMXDUA"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	22
"main"	28	"CH"	2	2	"Bouma"	"S"	0	10	"B"	"False"	0	180	0	1	1	1	"YFDBULNPZRVKOXIQHTMEJASG"	"ELMUIDZPQGBSFYHRKJOTXNVA"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11
"main"	29	"CH"	2	2	"Bouma"	"R"	0	8	"S"	"False"	120	120	0	0	0	12	"TQLMNZPFSVIAHKXJUDGBROYE"	"VKDAJTOQFNRPZYHSUGIMEXLB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	20
"main"	46	"CH"	2	2	"Bouma"	"I"	0	6	"M"	"False"	120	120	0	0	0	-3	"LVBIODMYZGHRSNFEAQXKJUPT"	"STAIUXZVPRJLHBDMGFKQEOYN"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	3
"main"	51	"CH"	2	2	"Bouma"	"O"	0	7	"Q"	"False"	120	300	0	1	1	9	"XRQNPUHKIAMLTBJGFYSEOVZD"	"GVUNREPQXMZYSBFJOATHKLID"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	16
"main"	53	"CH"	2	2	"Bouma"	"P"	0	8	"U"	"False"	0	180	0	1	1	3	"TPHQFSYIZJEKOLMANGBURVDX"	"SIJFAHDYUOTPRLXNBQKGEVZM"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11
