"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"
"main"	21	"RN2"	2	1	"Bouma"	"T"	0	10	"O"	"False"	120	330	0	1	1	-4	"ZQMAYOJGVHKPSLBIRNEUXFDT"	"EPZXYHTFJUONBQKLDMGSAVIR"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	6
"main"	24	"RN2"	2	1	"Bouma"	"H"	0	8	"U"	"False"	0	210	0	1	1	2	"LHXPYVSKJAZENROUDGBIQTFM"	"IKLQJRFMUTHNYPEXSAZGVDBO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	32	"RN2"	2	1	"Bouma"	"U"	0	6	"J"	"False"	60	90	0	0	0	6	"QGNKTOJHYDVZUBEAFIMSLRXP"	"IBAUXTHPEGZJVYQSNKFDLROM"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	12
"main"	33	"RN2"	2	1	"Bouma"	"J"	0	9	"A"	"False"	60	90	0	0	0	2	"EHUFZDXLIASJYTMQNVRGOPBK"	"RUMZGOLBFNYSPVKEHTJQXDAI"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11
"main"	42	"RN2"	2	1	"Bouma"	"G"	0	8	"K"	"False"	120	330	0	1	1	-7	"XBJMIOEGAYKQPNZDVUSLRFHT"	"ZGHQOBYUKVANPXDLESJMIRFT"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	1
"main"	47	"RN2"	2	1	"Bouma"	"H"	0	7	"S"	"False"	60	270	0	1	1	13	"JTXEGLSFMRVIPDYKNOUHBAZQ"	"QVOGAYMSUNXKPREFJIBZHTLD"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	20
"main"	56	"RN2"	2	1	"Bouma"	"H"	0	9	"Q"	"False"	60	270	0	1	1	1	"KFJOSRAZDIGHUXVPLMBQNETY"	"YAIBSUZJDQHXGRMFVLOPNKTE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	58	"RN2"	2	1	"Bouma"	"K"	0	8	"L"	"False"	120	150	0	0	0	13	"XIJGAEQDLBNUVZFTSHYOMKPR"	"AXUEYGVDHMOPRIBFJLSNKTZQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	21
"main"	64	"RN2"	2	1	"Bouma"	"E"	0	6	"T"	"False"	0	210	0	1	1	2	"ZPKSOVNLYMAQIRXEDFUBHGJT"	"VJSIUBTREGZDLHQNOYXFAPMK"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	67	"RN2"	2	1	"Bouma"	"M"	0	8	"Y"	"False"	0	30	0	0	0	-1	"HQJZFGIMYBRKOXVTLAUDNESP"	"EOFXRNYTUQASKLDHBJPMIVGZ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
