"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"
"main"	1	"PB"	2	2	"Yes"	"X"	0	9	"S"	"False"	60	60	0	0	0	-1	"HQUOMZTEXSAYVPIGLNDFKRJB"	"PTKAGOLRNEXHSMJZUYBIDVQF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	3	"PB"	2	0	"Yes"	"Z"	0	10	"Z"	"True"	60	60	0	0	0	0	"GSXDFTNOBJZLHAYRKMUEPIQV"	"VHAOITNZBGSEDUPKRJMXLFQY"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	4	"PB"	2	2	"Yes"	"K"	0	9	"K"	"True"	120	300	0	1	1	0	"HKBNFYJEQPDORZGTILSXVUMA"	"LHFGNRMUIKTSPBQOADVXJZYE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	5	"PB"	2	0	"Yes"	"M"	0	10	"N"	"False"	120	300	0	1	1	-2	"ZEKRBXVDIPUAQLSYJMHFNGOT"	"UQKOPTZSMVNYHIJDGBAXELRF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	6	"PB"	2	0	"Yes"	"G"	0	9	"D"	"False"	60	60	0	0	0	1	"XMVTUSILODGZBQKNEJARPHYF"	"FJSBNQPGHVLTAMXIOYDRKZUE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	8	"PB"	2	2	"Yes"	"P"	0	10	"R"	"False"	60	60	0	0	0	1	"XAYUTJFOHQRPVKZBESGDMLNI"	"TMLNVQDSEXYJIZGUKPFORHAB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11
"main"	9	"PB"	2	1	"Yes"	"X"	0	7	"A"	"False"	60	270	0	1	1	-7	"SBZGMKQNELHDYFJAURVTOIPX"	"XBJVZRUAYTQPIFHDMKLOEGNS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	0
"main"	10	"PB"	2	0	"Yes"	"S"	0	8	"G"	"False"	0	180	0	1	1	1	"XYZPJTGONEISKDBMLHUQRAVF"	"TKOHPVDYGSQNAEJZRUMFBIXL"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	13	"PB"	2	1	"Yes"	"A"	0	7	"A"	"True"	120	330	0	1	1	0	"AUPZLGBTOQXKEHIYRMJVDNFS"	"NPYZGSMAJQIXLBDKUTEFHOVR"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	17	"PB"	2	0	"Yes"	"M"	0	7	"E"	"False"	120	120	0	0	0	-3	"OXAGMSQENYBFTULZHPVDRKJI"	"IVNPFHMXOTGYRKDEJALSQZBU"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	4
"main"	19	"PB"	2	1	"Yes"	"G"	0	9	"K"	"False"	60	270	0	1	1	-2	"PMVGOJZENKRQAIUYDBSXTLFH"	"MJEYBDVGLKRUFTIAHXPNQZOS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	22	"PB"	2	1	"Yes"	"B"	0	9	"U"	"False"	0	210	0	1	1	14	"LBPGYSMQKTJVDXHRFOUNIEZA"	"TVDKPYANRUEIQOZFSHLXJMGB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	23
