"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"
"main"	3	"PB"	2	0	"Yes"	"Z"	0	10	"Z"	"True"	60	60	0	0	0	0	"GSXDFTNOBJZLHAYRKMUEPIQV"	"VHAOITNZBGSEDUPKRJMXLFQY"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	5	"PB"	2	0	"Yes"	"M"	0	10	"N"	"False"	120	300	0	1	1	-2	"ZEKRBXVDIPUAQLSYJMHFNGOT"	"UQKOPTZSMVNYHIJDGBAXELRF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	6	"PB"	2	0	"Yes"	"G"	0	9	"D"	"False"	60	60	0	0	0	1	"XMVTUSILODGZBQKNEJARPHYF"	"FJSBNQPGHVLTAMXIOYDRKZUE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	10	"PB"	2	0	"Yes"	"S"	0	8	"G"	"False"	0	180	0	1	1	1	"XYZPJTGONEISKDBMLHUQRAVF"	"TKOHPVDYGSQNAEJZRUMFBIXL"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	17	"PB"	2	0	"Yes"	"M"	0	7	"E"	"False"	120	120	0	0	0	-3	"OXAGMSQENYBFTULZHPVDRKJI"	"IVNPFHMXOTGYRKDEJALSQZBU"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	4
"main"	24	"PB"	2	0	"Yes"	"S"	0	6	"Y"	"False"	0	180	0	1	1	1	"XQRBZSPIAUOMEJHYTLNDVGKF"	"VBLEGTYSJXQKUNMZDFPAHORI"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	32	"PB"	2	0	"Yes"	"K"	0	6	"L"	"False"	60	240	0	1	1	1	"PHMBUAGSJLXORVEZDQKINFTY"	"ZDGVTELKUPFNSMIYJBAROXHQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	47	"PB"	2	0	"Yes"	"E"	0	6	"N"	"False"	60	60	0	0	0	-6	"EHVQDJNFRBOLZPSGAKMTXYUI"	"YOLPGDKVJTSNBUMRFXEAZHQI"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	0
"main"	53	"PB"	2	0	"Yes"	"Y"	0	7	"Y"	"True"	0	0	0	0	0	0	"UNDXLKHYOZFTJSMIPQABGREV"	"EBUHPZQJMXGISOVNRAKFTDLY"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	56	"PB"	2	0	"Yes"	"Q"	0	7	"G"	"False"	60	60	0	0	0	5	"MYJBLRZGOUPVQEKIDNSHXTAF"	"MKQYZBPTXAGOUHLRESDFNVIJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	12
"main"	69	"PB"	2	0	"Yes"	"R"	0	6	"P"	"False"	120	120	0	0	0	16	"AMDVYEPZJQGNLTFOKISUXHRB"	"TDRJPVAXMKZBIFEGQHLUYNOS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	22
"main"	74	"PB"	2	0	"Yes"	"K"	0	9	"J"	"False"	120	120	0	0	0	-5	"ODBAKZIXMJNSFPYVULTQERGH"	"XIHYAKFDQZGTRVPJUMOSBNEL"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	4
