"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"
"main"	5	"AC5SONA"	2	2	"Yes"	"P"	0	9	"P"	"True"	60	60	0	0	0	0	"KNRQUXMLGPIDYJBFSVEOZHTA"	"GPBXFZMVKITJQEDHALYORUSN"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	26	"AC5SONA"	2	2	"Yes"	"E"	0	6	"M"	"False"	120	120	0	0	0	-5	"TEZXHGMIYPNSBQULFRDOVAJK"	"LHZVGSPBQXKOYTMJDFREAUNI"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	1
"main"	27	"AC5SONA"	2	2	"Yes"	"E"	0	6	"H"	"False"	60	60	0	0	0	16	"LYSTBKHIAJOQNVGUXFDZPREM"	"XKAIJNZLMDRFGVQOPYEHBTUS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	22
"main"	36	"AC5SONA"	2	2	"Yes"	"M"	0	8	"N"	"False"	60	60	0	0	0	5	"SJHEZBFPNVKQRMAIXULDTYGO"	"LAYNXTROPZIHFJVDKUSEBQGM"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	13
"main"	41	"AC5SONA"	2	2	"Yes"	"N"	0	8	"N"	"True"	120	300	0	1	1	0	"GDPVUALMYEXFKRHSBIOJNQTZ"	"AVSILPOFNUXTDBMJKRYGZEQH"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	43	"AC5SONA"	2	2	"Yes"	"Z"	0	8	"I"	"False"	0	180	0	1	1	2	"RMLSYFGZKVQPIOEHNJXBDTAU"	"OTSBJYVDILZQKGARMHFPNXUE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	51	"AC5SONA"	2	2	"Yes"	"H"	0	6	"U"	"False"	60	240	0	1	1	1	"XLNYJZQUKGOPBFMSVAIEDHRT"	"GEZKTIUHSABNXDYFRPVQJMLO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	59	"AC5SONA"	2	2	"Yes"	"J"	0	10	"M"	"False"	120	120	0	0	0	9	"DPFXAIBSUOMZGKLTVRQJNHEY"	"RHXPZMKYEDLBQUOSANTGVJIF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	19
"main"	68	"AC5SONA"	2	2	"Yes"	"O"	0	10	"X"	"False"	60	240	0	1	1	1	"DMELTUYGJIVHZFSRQKPXBANO"	"YRGJUTVIAFXOQMDEZSLNPBHK"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11
"main"	70	"AC5SONA"	2	2	"Yes"	"N"	0	6	"S"	"False"	120	300	0	1	1	1	"ROMZFJIYXHTGNUQSPBLDVAKE"	"VIXULOSNYPAEQZRTGDKFBMJH"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	74	"AC5SONA"	2	2	"Yes"	"N"	0	9	"B"	"False"	120	300	0	1	1	1	"QRTXESVPAJFGKDZUYIHOBLMN"	"TAOFYZQREBNMSJKXHIUVDLPG"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	77	"AC5SONA"	2	2	"Yes"	"T"	0	8	"D"	"False"	120	120	0	0	0	1	"UYKIELSFDTHQJVRNAZPGMOBX"	"ODSNEQKIZRHAMVFUBPTYGLJX"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	79	"AC5SONA"	2	2	"Yes"	"H"	0	6	"S"	"False"	0	180	0	1	1	1	"HGASBUQFODELYTXIMJPVKRNZ"	"ABLQPVSHTZKGDNRUIEFMYOXJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	81	"AC5SONA"	2	2	"Yes"	"K"	0	8	"H"	"False"	60	240	0	1	1	2	"UPJHXYIMSBQFLKODNAGZRVTE"	"ERLSAPNDHUKYIQTJMFGXBZVO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	88	"AC5SONA"	2	2	"Yes"	"D"	0	9	"G"	"False"	0	180	0	1	1	1	"ANUFLRXTIKMEYDSBGHPVQZOJ"	"BINTOHMYXGDKRJAZVPFQLSEU"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	93	"AC5SONA"	2	2	"Yes"	"Z"	0	10	"L"	"False"	0	180	0	1	1	-1	"PAHLKRDBTVUGZIEOYXNMJSFQ"	"KETPARJYOZLXQMBUHGVSDNIF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	100	"AC5SONA"	2	2	"Yes"	"E"	0	7	"F"	"False"	120	120	0	0	0	1	"KZQILVUFEJHDOATYGRNPSMXB"	"IFPEMNVUKOYBLSTARZJHQGXD"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	103	"AC5SONA"	2	2	"Yes"	"X"	0	7	"L"	"False"	60	60	0	0	0	3	"ZYSFMAILJVXTOPBUDEHNQKRG"	"GIPLVHYMNJEFXBRTUSOQZDAK"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	115	"AC5SONA"	2	2	"Yes"	"Z"	0	10	"K"	"False"	0	0	0	0	0	2	"UAEJVGYNTRKSZOBDQMHPFIXL"	"LEVOQFHGDYPASNIXKRJZTBUM"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	12
"main"	119	"AC5SONA"	2	2	"Yes"	"D"	0	9	"S"	"False"	120	120	0	0	0	1	"JXNTBGYIFSDKOMAEQULRHZVP"	"ODBHAVIMFEJZGTULXYKNSQRP"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
