"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"
"main"	1	"PB"	2	2	"Yes"	"X"	0	9	"S"	"False"	60	60	0	0	0	-1	"HQUOMZTEXSAYVPIGLNDFKRJB"	"PTKAGOLRNEXHSMJZUYBIDVQF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	4	"PB"	2	2	"Yes"	"K"	0	9	"K"	"True"	120	300	0	1	1	0	"HKBNFYJEQPDORZGTILSXVUMA"	"LHFGNRMUIKTSPBQOADVXJZYE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	8	"PB"	2	2	"Yes"	"P"	0	10	"R"	"False"	60	60	0	0	0	1	"XAYUTJFOHQRPVKZBESGDMLNI"	"TMLNVQDSEXYJIZGUKPFORHAB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11
"main"	26	"PB"	2	2	"Yes"	"N"	0	10	"I"	"False"	0	180	0	1	1	-1	"XJGSZUMKBTOPNHYEVADIQRFL"	"PKHOLYRAJNIMSUGTDXQZBFVE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	33	"PB"	2	2	"Yes"	"X"	0	9	"N"	"False"	120	120	0	0	0	-2	"BRMDTQSXJNOLYZUHFPIEKAGV"	"AYOZUSNPJRTVKHXMEFIBGQLD"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	48	"PB"	2	2	"Yes"	"R"	0	7	"X"	"False"	60	240	0	1	1	9	"MAYNKLTXREIVSFGHQJBUDOPZ"	"JMOISZHXDULFNGAYRBVKQPET"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	16
"main"	52	"PB"	2	2	"Yes"	"P"	0	7	"A"	"False"	0	180	0	1	1	1	"JIAUEQDXTSGORNPHFMZBLKYV"	"LXUHJMQAPINRZVOGKYDSBTEF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	60	"PB"	2	2	"Yes"	"X"	0	7	"K"	"False"	120	120	0	0	0	9	"VIFMHNUKYJQEBAOGXRPDLSZT"	"XOLEMAUPRFHIQGJZKNVSTYDB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	16
"main"	63	"PB"	2	2	"Yes"	"X"	0	8	"L"	"False"	0	180	0	1	1	1	"QXBJANZPUYSOLHRKTVEGIMDF"	"FVZOUKAELXNRYPSQBTJDIGMH"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	79	"PB"	2	2	"Yes"	"Z"	0	8	"J"	"False"	60	60	0	0	0	2	"USMFIHEGJQZTKDPLBNXRAYVO"	"TYFMAZSHREJIQXBVULNPOKGD"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	80	"PB"	2	2	"Yes"	"D"	0	6	"U"	"False"	0	0	0	0	0	-5	"ZDLSQKUPERXNJHBOTAYFMIGV"	"TVLUBKSGMPDQAYOEIZXRNHJF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	1
"main"	92	"PB"	2	2	"Yes"	"H"	0	9	"U"	"False"	0	0	0	0	0	10	"VPLXJAYMFUETQORKGZIHBDSN"	"GBVLAXIDZYPENTMFUQSRJKOH"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	19
"main"	93	"PB"	2	2	"Yes"	"X"	0	8	"J"	"False"	120	120	0	0	0	3	"GEFPUAZNJHYXBRSIDKQTOVLM"	"UEAIOJMVDXFBLQHTYGPNKZRS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11
"main"	94	"PB"	2	2	"Yes"	"K"	0	6	"D"	"False"	120	120	0	0	0	3	"XIQNYLDPJKESZAHTUFOVMBRG"	"XKVOLNFDAZJHQBSEMGYIRPTU"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	96	"PB"	2	2	"Yes"	"S"	0	7	"V"	"False"	60	60	0	0	0	9	"HYMJPRQVOFXZGAETSUNLDBIK"	"ZKYFSJHNAEIQUDRXVMTGPBOL"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	16
"main"	106	"PB"	2	2	"Yes"	"S"	0	6	"B"	"False"	0	180	0	1	1	2	"OKAUYXDNLSIPJFBTVERZQGMH"	"FEVOTHBJSYQXNGKZPMIRUALD"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	109	"PB"	2	2	"Yes"	"E"	0	6	"M"	"False"	120	300	0	1	1	-2	"YNKOJFBMLRTEQPVAGXDHUZIS"	"HSDZEUMBLIYOVNTXKARFJQPG"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	4
"main"	119	"PB"	2	2	"Yes"	"N"	0	7	"P"	"False"	120	300	0	1	1	1	"TQBUNZMVSIAEPHRLGXOFJYDK"	"EVAXGZJPNQMODULKYTFIHRBS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	120	"PB"	2	2	"Yes"	"G"	0	8	"U"	"False"	0	0	0	0	0	10	"NVLMHJFBUPQYSRTIEDGOKZAX"	"FNIJMDAQZUXOVKHEBYLTGRPS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	18
"main"	123	"PB"	2	2	"Yes"	"V"	0	8	"H"	"False"	60	240	0	1	1	2	"JDRGINAQYXUBMPKVEOSHFZLT"	"NFXKDQZBHIVGUESLOPJAYRTM"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	128	"PB"	2	2	"Yes"	"K"	0	6	"R"	"False"	60	240	0	1	1	17	"OHVQXGEJPYBTUDAIZMRFLKNS"	"MQSLZURYNXIHVJGFODPEABTK"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	23
"main"	134	"PB"	2	2	"Yes"	"K"	0	10	"U"	"False"	120	300	0	1	1	2	"JNORHFTSEGUZQKYPILBMVDXA"	"SFQJLRZOEXUBKMINVYPTGDHA"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	12
