"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"
"main"	9	"PB"	2	1	"Yes"	"X"	0	7	"A"	"False"	60	270	0	1	1	-7	"SBZGMKQNELHDYFJAURVTOIPX"	"XBJVZRUAYTQPIFHDMKLOEGNS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	0
"main"	13	"PB"	2	1	"Yes"	"A"	0	7	"A"	"True"	120	330	0	1	1	0	"AUPZLGBTOQXKEHIYRMJVDNFS"	"NPYZGSMAJQIXLBDKUTEFHOVR"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	19	"PB"	2	1	"Yes"	"G"	0	9	"K"	"False"	60	270	0	1	1	-2	"PMVGOJZENKRQAIUYDBSXTLFH"	"MJEYBDVGLKRUFTIAHXPNQZOS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	22	"PB"	2	1	"Yes"	"B"	0	9	"U"	"False"	0	210	0	1	1	14	"LBPGYSMQKTJVDXHRFOUNIEZA"	"TVDKPYANRUEIQOZFSHLXJMGB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	23
"main"	23	"PB"	2	1	"Yes"	"A"	0	6	"F"	"False"	120	150	0	0	0	1	"IQEBXMFAPNTSLKZOGYHDRJUV"	"QMYUFJKDZNGBHXIRPSAOLVTE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	27	"PB"	2	1	"Yes"	"N"	0	8	"T"	"False"	60	270	0	1	1	1	"LNHVMSZRAXYUFIKTJOQPEDBG"	"EMBLFXDITNKVUGAJHSQZOPYR"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9
"main"	30	"PB"	2	1	"Yes"	"M"	0	6	"M"	"True"	0	210	0	1	1	0	"QRVIHGOZYKASXBNPJLUMDTFE"	"DVIZEUMNQHYGPFOKBAJRSTLX"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	6
"main"	35	"PB"	2	1	"Yes"	"V"	0	10	"L"	"False"	120	330	0	1	1	-2	"KNHISLOAGJDQETZPBUVMFYRX"	"PKBTUOSDVILYHEQFRMJANGXZ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	39	"PB"	2	1	"Yes"	"D"	0	6	"T"	"False"	60	90	0	0	0	-1	"MKJLGDTUBVOEHZNQFXRYSIAP"	"LTDYQKNIHRXJBOGFSEPAMVZU"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	5
"main"	46	"PB"	2	1	"Yes"	"Z"	0	6	"O"	"False"	120	330	0	1	1	1	"USQMZNBLPROHETXVAJFDKGIY"	"BJETDAOZQMYPXLVKFHGSUNIR"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	49	"PB"	2	1	"Yes"	"D"	0	9	"O"	"False"	60	90	0	0	0	11	"VQNUYHIMGOTLRSEBJAZFDXPK"	"DVTYEJPRAKOMQXSULIHFZBGN"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	20
"main"	54	"PB"	2	1	"Yes"	"Y"	0	10	"V"	"False"	60	90	0	0	0	4	"QPHIFMRGTBVOKDYZSNALEUXJ"	"GETKVAPZQHXOYNBRDULSFIMJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	14
"main"	57	"PB"	2	1	"Yes"	"M"	0	7	"M"	"True"	0	30	0	0	0	0	"DXSGETZMJVAKNQBIYFPORHLU"	"XLTIRSEOQDVNGFMHBKAYZUPJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	62	"PB"	2	1	"Yes"	"V"	0	8	"V"	"True"	0	210	0	1	1	0	"AFLGNIVEMXSZYTQBOHRUDJKP"	"ZKOJFNPTVQLBAGURHXYEMISD"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	67	"PB"	2	1	"Yes"	"Z"	0	10	"T"	"False"	0	210	0	1	1	1	"BOPUMDTRASGLINKJFEZXYHQV"	"NQRMFDSPJGTZBHEOIUAKYVLX"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11
"main"	68	"PB"	2	1	"Yes"	"V"	0	9	"G"	"False"	0	30	0	0	0	11	"DLRKSEBPOGTYHJINZQAXVUFM"	"IXTJHUPLFZSAODEKNGMVBRYQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	20
"main"	71	"PB"	2	1	"Yes"	"D"	0	8	"O"	"False"	60	90	0	0	0	-1	"IVZRKFGDOEHUTBNLMXASJPYQ"	"SQFBXAOPGJEUDTZVKRLIYMHN"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
